lower,upper,quantity,interval,phi_rib
0.11899760000000001,0.1239986,phi_mem_ppc,20%,0.03648648648648649
0.12027155,0.12277735,phi_mem_ppc,10%,0.03648648648648649
0.121517,0.121517,phi_mem_ppc,median,0.03648648648648649
0.1002029,0.142706375,phi_mem_ppc,95%,0.04256756756756757
0.10387885,0.1386142,phi_mem_ppc,90%,0.04256756756756757
0.1080997,0.1345672,phi_mem_ppc,80%,0.04256756756756757
0.11085455,0.13197515,phi_mem_ppc,70%,0.04256756756756757
0.1113392,0.13156148,phi_mem_ppc,68%,0.04256756756756757
0.112794,0.12980940000000002,phi_mem_ppc,60%,0.04256756756756757
0.114516,0.12806325000000002,phi_mem_ppc,50%,0.04256756756756757
0.1159704,0.12645630000000002,phi_mem_ppc,40%,0.04256756756756757
0.11739795,0.12510335,phi_mem_ppc,30%,0.04256756756756757
0.11870220000000001,0.12369079999999999,phi_mem_ppc,20%,0.04256756756756757
0.119982,0.12248445,phi_mem_ppc,10%,0.04256756756756757
0.12127299999999999,0.12127299999999999,phi_mem_ppc,median,0.04256756756756757
0.0998721725,0.1418751,phi_mem_ppc,95%,0.04864864864864865
0.10401094999999999,0.13809025,phi_mem_ppc,90%,0.04864864864864865
0.1080083,0.1342,phi_mem_ppc,80%,0.04864864864864865
0.11067685,0.13142215000000002,phi_mem_ppc,70%,0.04864864864864865
0.11108036,0.13100915999999999,phi_mem_ppc,68%,0.04864864864864865
0.1126508,0.12944920000000001,phi_mem_ppc,60%,0.04864864864864865
0.11432225,0.127734,phi_mem_ppc,50%,0.04864864864864865
0.11578279999999999,0.12616,phi_mem_ppc,40%,0.04864864864864865
0.1171856,0.12483570000000001,phi_mem_ppc,30%,0.04864864864864865
0.1184886,0.1234758,phi_mem_ppc,20%,0.04864864864864865
0.1197431,0.12219035,phi_mem_ppc,10%,0.04864864864864865
0.1209885,0.1209885,phi_mem_ppc,median,0.04864864864864865
0.0997232025,0.14172332499999998,phi_mem_ppc,95%,0.05472972972972973
0.10373565,0.13777810000000001,phi_mem_ppc,90%,0.05472972972972973
0.1079238,0.1335738,phi_mem_ppc,80%,0.05472972972972973
0.11063555,0.13117315000000002,phi_mem_ppc,70%,0.05472972972972973
0.11108084,0.13076232,phi_mem_ppc,68%,0.05472972972972973
0.112532,0.1291822,phi_mem_ppc,60%,0.05472972972972973
0.11426225000000001,0.12753425000000002,phi_mem_ppc,50%,0.05472972972972973
0.11576070000000001,0.1260713,phi_mem_ppc,40%,0.05472972972972973
0.11725465,0.12473605,phi_mem_ppc,30%,0.05472972972972973
0.118564,0.1234662,phi_mem_ppc,20%,0.05472972972972973
0.11979275,0.122246,phi_mem_ppc,10%,0.05472972972972973
0.121016,0.121016,phi_mem_ppc,median,0.05472972972972973
0.10030792499999999,0.14120394999999997,phi_mem_ppc,95%,0.060810810810810814
0.1036429,0.137175,phi_mem_ppc,90%,0.060810810810810814
0.107739,0.13313930000000002,phi_mem_ppc,80%,0.060810810810810814
0.11041785,0.13063615,phi_mem_ppc,70%,0.060810810810810814
0.11083988,0.13024516,phi_mem_ppc,68%,0.060810810810810814
0.112403,0.1287812,phi_mem_ppc,60%,0.060810810810810814
0.11403875,0.127038,phi_mem_ppc,50%,0.060810810810810814
0.115491,0.12553930000000002,phi_mem_ppc,40%,0.060810810810810814
0.116838,0.1242824,phi_mem_ppc,30%,0.060810810810810814
0.118183,0.12298179999999999,phi_mem_ppc,20%,0.060810810810810814
0.1193771,0.12182145,phi_mem_ppc,10%,0.060810810810810814
0.120571,0.120571,phi_mem_ppc,median,0.060810810810810814
0.100415025,0.140722325,phi_mem_ppc,95%,0.0668918918918919
0.10403605,0.1369838,phi_mem_ppc,90%,0.0668918918918919
