strain,carbon_source,replicate,clock_time,elapsed_time_hr,od_600nm
wildtype,sorbitol,1,13:39,3.583,0.332
wildtype,sorbitol,1,14:16,4.200,0.443
wildtype,sorbitol,2,10:05,0.000,0.049
wildtype,sorbitol,2,10:24,0.317,0.059
wildtype,sorbitol,2,10:46,0.683,0.067
wildtype,sorbitol,2,11:06,1.017,0.092
wildtype,sorbitol,2,11:31,1.433,0.118
wildtype,sorbitol,2,11:50,1.750,0.135
wildtype,sorbitol,2,12:25,2.333,0.176
wildtype,sorbitol,2,12:51,2.767,0.338
wildtype,sorbitol,2,13:16,3.183,0.269
wildtype,sorbitol,2,13:40,3.583,0.311
wildtype,sorbitol,2,14:17,4.200,0.485
wildtype,sorbitol,3,10:05,0.000,0.055
wildtype,sorbitol,3,10:25,0.333,0.071
wildtype,sorbitol,3,10:47,0.700,0.079
wildtype,sorbitol,3,11:06,1.017,0.091
wildtype,sorbitol,3,11:32,1.450,0.128
wildtype,sorbitol,3,11:50,1.750,0.149
wildtype,sorbitol,3,12:26,2.350,0.190
wildtype,sorbitol,3,12:51,2.767,0.246
wildtype,sorbitol,3,13:17,3.200,0.297
wildtype,sorbitol,3,13:40,3.583,0.350
wildtype,sorbitol,3,14:17,4.200,0.478
wildtype,acetate,1,10:33,0.000,0.065
wildtype,acetate,1,11:22,0.817,0.095
wildtype,acetate,1,12:08,1.583,0.142
wildtype,acetate,1,12:31,1.967,0.164
wildtype,acetate,1,13:39,3.100,0.277
wildtype,acetate,1,13:58,3.417,0.319
wildtype,acetate,1,14:16,3.717,0.374
wildtype,acetate,1,14:53,4.333,0.487
wildtype,acetate,2,10:34,0.000,0.060
wildtype,acetate,2,11:22,0.800,0.085
wildtype,acetate,2,12:09,1.583,0.154
wildtype,acetate,2,12:31,1.950,0.158
wildtype,acetate,2,13:39,3.083,0.277
wildtype,acetate,2,13:58,3.400,0.311
wildtype,acetate,2,14:16,3.700,0.352
wildtype,acetate,2,14:54,4.333,0.478
wildtype,acetate,3,10:34,0.000,0.049
wildtype,acetate,3,11:23,0.817,0.074
wildtype,acetate,3,12:09,1.583,0.098
wildtype,acetate,3,12:32,1.967,0.118
wildtype,acetate,3,13:40,3.100,0.190
wildtype,acetate,3,13:58,3.400,0.228
wildtype,acetate,3,14:16,3.700,0.262
wildtype,acetate,3,14:54,4.333,0.355
wildtype,LB,1,13:03,0.000,0.057
wildtype,LB,1,13:13,0.167,0.076
wildtype,LB,1,13:25,0.367,0.120
wildtype,LB,1,13:31,0.467,0.152
wildtype,LB,1,13:39,0.600,0.208
wildtype,LB,1,13:47,0.917,0.267
wildtype,LB,1,13:53,0.833,0.347
wildtype,LB,1,13:59,0.933,0.406
wildtype,LB,2,13:14,0.000,0.168
wildtype,LB,2,13:25,0.183,0.260
wildtype,LB,2,13:32,0.300,0.334
wildtype,LB,2,13:34,0.333,0.335
wildtype,LB,2,13:40,0.433,0.440
wildtype,LB,3,13:04,0.000,0.064
wildtype,LB,3,13:14,0.167,0.089
wildtype,LB,3,13:25,0.350,0.128
wildtype,LB,3,13:32,0.467,0.165
wildtype,LB,3,13:43,0.650,0.258
wildtype,LB,3,13:48,0.733,0.300
wildtype,LB,3,13:54,0.833,0.368
wildtype,LB,3,13:59,0.917,0.425
