overexpression,inducer_conc,ppGpp_per_biomass
relA,0,68.41
relA,0,35.62
relA,0,26.98
relA,0,26.81
relA,0,23.76
relA,0,33.39
meshI,0,23.24
meshI,0,34.75
meshI,0,26.61
meshI,0,17.70
meshI,0,39.51
meshI,0,23.87
relA,1,210.76
relA,1,214.80
relA,1,211.05
relA,1,164.27
relA,1,156.49
relA,2,227.26
relA,2,205.68
relA,2,309.39
relA,2,188.67
relA,2,417.15
relA,2,213.03
meshI,100,14.55
meshI,100,16.04
meshI,100,10.89
meshI,100,11.75
meshI,100,7.97
