overexpression,inducer_conc,key,width,lam,calc_phiRb,source,phiRb,growth_rate_hr
meshI,100.0,1,0.7592906514621989,1.1296263027576834,0.20025366290694413,Buke et al. 2022,0.141298,0.7829972868428434
none,0.0,2,0.6830911728803418,1.3221849590275412,,Buke et al. 2022,0.118508,0.916468776528707
