gene,localization,cyto_enrichment,peri_enrichment,relative_signal,fractional_peri,fractional_cyto
rbsB,periplasm,0.08890682018836131,9.794916643363099,110.1705878425437,0.07494568706537223,0.000680269466951424
livJ,periplasm,0.046734015162044076,18.798043378691506,402.2347173362219,0.06551279416622137,0.00016287205291496562
livK,periplasm,0.02197922826279565,22.104461543691606,1005.697801551474,0.0370218496598027,3.681210161013546e-05
mglB,periplasm,0.11180564012077177,14.46568015160332,129.38238299944067,0.03447966840791785,0.000266494306323504
gltI,periplasm,0.11917945151007843,16.42842304154616,137.8461037820508,0.031745221347066845,0.0002302946581447045
argT,periplasm,0.03439818237061827,15.862027430625426,461.1298137710386,0.025500143033612952,5.529927207498744e-05
hisJ,periplasm,0.045802774212608,14.902625251713268,325.3651227006041,0.023194614882393695,7.128795701848171e-05
tcyJ,periplasm,0.020497048387145132,24.703231493146124,1205.2092099581973,0.021107225346532244,1.7513328949140994e-05
glnH,periplasm,0.04421925937158171,10.050391251411499,227.28538185039258,0.01863459209714996,8.198764014403672e-05
dppA,periplasm,0.0376164697973568,15.43171419839683,410.23823557949,0.018051860540345264,4.400335945001752e-05
mdh,cytoplasm,1.241783044766403,1.879120357688288,1.5132436906817142,0.017462957488438038,0.011540082800920849
fliC,periplasm,0.5685063801141216,3.6369842362478924,6.39743785376306,0.015694586776342615,0.0024532613110279525
oppA,periplasm,0.04981654459447861,18.366572427542145,368.6841907051456,0.013942594262788741,3.781717419486343e-05
proX,periplasm,0.033692736768528485,19.046486965941487,565.2994916023657,0.013887762902453884,2.4567088965688654e-05
yncE,periplasm,0.13551955149006206,14.400410339164697,106.26075854612543,0.013264204531893526,0.00012482693247607327
tufA,cytoplasm,1.211046173274592,1.124672818239414,0.9286787267560326,0.012932605352726128,0.013925811995178363
fkpA,periplasm,0.06250879835555515,14.99337844651996,239.86028912660265,0.012459536516591043,5.194497414290479e-05
artJ,periplasm,0.03455524962050239,12.91460286271989,373.7377968485973,0.012028006589800537,3.218300822454179e-05
agp,periplasm,0.06709377996761523,18.811168607561513,280.3712746046097,0.011956322300531624,4.264460514862975e-05
icd,cytoplasm,1.089909270583451,0.8894749041221222,0.8160999526556627,0.011497258010975637,0.014088051314747076
cysP,periplasm,0.04386464606562534,17.56664637603272,400.4739112621924,0.011268200596590103,2.8137165192797672e-05
zinT,periplasm,0.04772690622843103,31.968833345365045,669.8283184825657,0.01019293625755751,1.5217236978945094e-05
znuA,periplasm,0.046828021243766664,23.081954556648597,492.9090306099805,0.008738837065302922,1.7729107244167373e-05
artI,periplasm,0.01594896257824034,25.6261910658301,1606.7622542918682,0.008547045986729276,5.31942169035837e-06
tpx,cytoplasm,1.0349736371741265,2.331705279417338,2.2529127271142713,0.008517137972001244,0.0037805006245895476
dsbA,periplasm,0.05211880477922482,23.803316883835702,456.71263922237887,0.008112667677583708,1.77631775012768e-05
potD,periplasm,0.02852438560046225,21.990563469172073,770.9390756804139,0.006988031377730275,9.064310784302627e-06
cspC,cytoplasm,0.9738019757655896,1.9717048675550704,2.024749298752391,0.00688359069137827,0.003399724941561801
cspE,cytoplasm,2.8172301217665403,2.862765311094278,1.0161631060863374,0.006675658779459382,0.006569475647635047
acpP,cytoplasm,0.8018884704359573,0.8815963139167114,1.0994001615179974,0.006266441181116746,0.005699872894746853
aceB,cytoplasm,1.017977853966954,1.0038590152072442,0.9861305049960664,0.005924397933314128,0.006007722003628474
tbpA,periplasm,0.02691763727649197,24.93463879904839,926.330886434249,0.005540341045774523,5.980952515899702e-06
ivy,periplasm,0.14759102311791827,52.86475643001882,358.1840908290362,0.005100740702311346,1.424055627514167e-05
modA,periplasm,0.007270147856573061,21.956545349008444,3020.0961221383095,0.004950251167885969,1.6391038456024564e-06
yceI,periplasm,0.02011619345450499,41.42990897887524,2059.530252210667,0.004892096694803641,2.3753458778051656e-06
sucC,cytoplasm,1.2429769091463334,0.38106312856457586,0.3065729747355379,0.00483940162123523,0.015785480195734447
tolB,periplasm,0.4999138005245714,9.539296550399273,19.081882797373193,0.004804034206993283,0.00025175892012367906
dsbC,periplasm,0.025815361284941645,18.132349295509663,702.3860365683297,0.0047556117069573614,6.770652403900295e-06
surA,periplasm,0.06738459059520548,19.738827348452077,292.9279108784335,0.004610106841653391,1.5738025194760656e-05
ndk,cytoplasm,1.7930920993018542,1.8697946784737414,1.0427767091281879,0.004538659917580783,0.004352475345728928
cysK,cytoplasm,1.0590024794479478,1.0566523351021573,0.9977807942933093,0.004414043189547253,0.004423860646339214
ahpC,cytoplasm,1.4172631134417628,0.6130403771813376,0.43255227019391995,0.003948332674496025,0.009127989717233307
sucD,cytoplasm,0.9031281396369784,0.49598408526433624,0.5491846212030356,0.003917475198982974,0.007133257283136246
pstS,periplasm,0.1026832849453648,14.996427902111988,146.04546309646415,0.0038980112528901626,2.669039606054381e-05
cpdB,periplasm,0.03100620424714901,25.358926247317463,817.8661936553937,0.0038151707993973145,4.664786035898715e-06
gapA,cytoplasm,1.1606739044077428,0.5265599579932735,0.45366743922959246,0.0037432491449321966,0.008251086194964521
lolA,periplasm,0.07262724151307302,16.395199371134282,225.74448691105968,0.003571634108040275,1.5821578444338493e-05
xylF,periplasm,0.11315297033057206,15.158187722222042,133.96190730069196,0.003536266693798429,2.6397554088722375e-05
araF,periplasm,0.008719571270056741,16.044385186518504,1840.0428977070676,0.0035049344878927673,1.9048112912260745e-06
acs,cytoplasm,1.1791540433766294,1.1012744446648048,0.9339529901548671,0.003476450664342266,0.003722297268694225
