cyto_intensity,peri_intensity,proteome_intensity,gene,localization
0.0006783384103117860,0.07473294142021660,0.007629767984891920,rbsB,periplasm
0.00016240971383544100,0.06532682533723880,0.003475192817742490,livJ,periplasm
3.67076044120545E-05,0.03691675705742440,0.0016701043354734500,livK,periplasm
0.0002657378184541240,0.03438179220466420,0.0023767836592774500,mglB,periplasm
0.00022964092892375900,0.03165510732102290,0.0019268500233388700,gltI,periplasm
5.5142296006385E-05,0.025427756688331800,0.0016030584236185400,argT,periplasm
7.10855944409728E-05,0.023128773157532500,0.0015519932070273000,hisJ,periplasm
1.7463614487749E-05,0.021047309019794500,0.0008520063063666990,tcyJ,periplasm
8.1754904758183E-05,0.01858169474610610,0.0018488528736129300,glnH,periplasm
4.38784486851453E-05,0.018000617368559200,0.0011664690738265200,dppA,periplasm
0.01150732438003280,0.017413386014712500,0.009266775245910680,mdh,cytoplasm
0.0024462973257636800,0.015650035113399400,0.004303025280512380,fliC,periplasm
3.77098239331328E-05,0.013903015918420600,0.0007569738977302530,oppA,periplasm
2.44973512476657E-05,0.013848340205910000,0.000727081074356348,proX,periplasm
0.00012447259072117500,0.013226551908225500,0.0009184843762579210,yncE,periplasm
0.013886281290033900,0.012895894027804800,0.011466351652378600,tufA,cytoplasm
5.1797519800042E-05,0.012424168075279000,0.0008286436655751530,fkpA,periplasm
3.20916514685245E-05,0.011993863117079400,0.0009287055316042230,artJ,periplasm
4.25235514310644E-05,0.011922382315442200,0.0006337927517512160,agp,periplasm
0.014048060066640600,0.011464621155289300,0.012889201372808200,icd,cytoplasm
2.80572932268956E-05,0.011236213958005100,0.0006396334119491020,cysP,periplasm
1.5174040351823E-05,0.010164001933448200,0.00031793471546634300,zinT,periplasm
1.76787802606359E-05,0.008714030440636900,0.00037752567354089100,znuA,periplasm
5.30432163799134E-06,0.008522783792548180,0.000332580982115349,artI,periplasm
0.0037697690524887300,0.008492960676633350,0.003642381715906990,tpx,cytoplasm
1.77127538037233E-05,0.008089638537594740,0.000339853415264523,dsbA,periplasm
9.03858024901491E-06,0.0069681947026388100,0.00031687203979145,potD,periplasm
0.003390074263792870,0.006864050488333070,0.003481276838781960,cspC,cytoplasm
0.006550827111745770,0.006656708825306180,0.0023252722811433200,cspE,cytoplasm
0.005683692869133990,0.006248652858344590,0.0070878845109768900,acpP,cytoplasm
0.0059906680977451600,0.005907580556493280,0.00588487075077332,aceB,cytoplasm
5.96397459960506E-06,0.005524613877523520,0.00022156382220121500,tbpA,periplasm
1.42001321166509E-05,0.005086261411854800,9.62127087181018E-05,ivy,periplasm
1.63445098005723E-06,0.004936199066696070,0.00022481674545031600,modA,periplasm
2.36860306829832E-06,0.004878209674639470,0.0001177460871837820,yceI,periplasm
0.015740670516887900,0.004825664184694300,0.012663686992945400,sucC,cytoplasm
0.0002510442610688220,0.004790397166668030,0.0005021750965974530,tolB,periplasm
6.75143279473805E-06,0.004742112121853550,0.0002615277284024490,dsbC,periplasm
1.56933502247305E-05,0.004597020296013960,0.00023289226937669900,surA,periplasm
0.004340120129415560,0.004525776185772990,0.0024204669303408100,ndk,cytoplasm
0.004411302791122500,0.004401513202794540,0.0041655264050204700,cysK,cytoplasm
0.009102078418833030,0.003937124683549390,0.006422292609259410,ahpC,cytoplasm
0.007113008360453960,0.003906354802049960,0.007875968036288950,sucD,cytoplasm
2.66146309865055E-05,0.003886946107565710,0.0002591914643232940,pstS,periplasm
4.65154427438341E-06,0.003804340810309570,0.00015001979079113200,cpdB,periplasm
0.008227664131273950,0.003732623317276290,0.0070886957137821600,gapA,cytoplasm
1.57766662946829E-05,0.003561495437860260,0.00021722794320709000,lolA,periplasm
2.63226202947305E-05,0.003526228419834000,0.0002326286284649890,xylF,periplasm
1.89940417144481E-06,0.003494985155542280,0.00021783228929701000,araF,periplasm
0.003711730916381090,0.0034665821880043500,0.00314779136553874,acs,cytoplasm
1.76270110521217E-05,0.003450487173066190,0.00023927643545411200,malE,periplasm
0.003962852022368800,0.003370722172563840,0.00335144382979977,sodA,cytoplasm
0.00048019985366276200,0.003301371593492060,0.0006670115066266950,grxC,cytoplasm
4.72110914832428E-06,0.003241725361662400,0.00015623360427943900,yhjJ,periplasm
8.68549806907084E-07,0.0032327310886087300,0.0001411208960174070,ytfQ,periplasm
4.03354934774591E-06,0.0032251569639319400,0.0001549072876928350,potF,periplasm
4.23860394709487E-05,0.0031936770082440700,0.0001743396508928870,mlaC,periplasm
1.38911346533321E-06,0.003034147007239370,0.00013688236135991300,ptrA,periplasm
1.89370146956943E-05,0.0030161584611320100,0.00014897739518637000,ydeN,periplasm
0.012416116657620800,0.0029929627043093700,0.012924083093434500,aceA,cytoplasm
7.27114711458699E-06,0.0029849151968402900,0.00011962807769199,aphA,periplasm
0.0025985311545505600,0.002905623579130230,0.0018808548242805200,gpmA,cytoplasm
0.0046495220396758300,0.002901599825395690,0.003409323149955220,glyA,cytoplasm
6.01897938365133E-06,0.002896392614680410,0.00019235646519775600,osmY,periplasm
0.003974419204896170,0.0028618356708425900,0.003968201322640480,talA,cytoplasm
0.00012461819162012100,0.0028500011010351200,0.00022121500499495300,opgG,periplasm
0.0016871504165368600,0.002828225492589370,0.002175240322310110,trxA,cytoplasm
2.61802549713166E-06,0.002826095270024030,0.00011603039325065300,ushA,periplasm
0.010830280199933800,0.0027903548692054700,0.013764083598283300,ompA,membrane
0.0,0.002735442465298800,7.01852667112699E-05,cpxP,periplasm
3.44358259415552E-06,0.0026935480881803600,0.00012565937054911300,ugpB,periplasm
