date,replicate,strain,carbon_source,inducer_conc,growth_rate_hr
2024-05-22,1,wildtype,glucose,0.0,0.8591408506447787
2024-05-22,1,wildtype,glucose+acetate,0.0,0.8536886249556442
2024-05-22,1,wildtype,glycerol,0.0,0.6737871653670509
2024-05-22,1,wildtype,sorbitol,0.0,0.6189821322967242
2024-05-22,2,wildtype,glucose,0.0,0.8840892213949154
2024-05-22,2,wildtype,glucose+acetate,0.0,0.7000527193406471
2024-05-22,2,wildtype,glycerol,0.0,0.6323276248776728
2024-05-22,2,wildtype,sorbitol,0.0,0.6088031254855759
2024-05-23,1,meshI,glucose,0.0,0.8892325330911993
2024-05-23,1,meshI,glucose,100.0,0.7207220956572482
2024-05-23,1,relA,glucose,0.0,0.8309082512168006
2024-05-23,1,relA,glucose,2.0,0.5953632487833751
2024-05-23,2,meshI,glucose,0.0,0.8200614327462847
2024-05-23,2,meshI,glucose,100.0,0.667204243559892
2024-05-23,2,relA,glucose,0.0,0.7652878227972052
2024-05-24,1,wildtype,LB,0.0,2.2690638773791805
2024-05-24,1,wildtype,glucoseCAA,0.0,1.4771279192381863
2024-05-24,2,wildtype,LB,0.0,2.272564591054877
2024-05-24,2,wildtype,glucoseCAA,0.0,1.3028032663667155
2024-05-25,1,relA,glucose,4.0,0.4339392796625571
2024-05-25,1,wildtype,acetate,0.0,0.3537727536958664
2024-05-25,2,relA,glucose,4.0,0.4050489280159054
2024-05-25,2,wildtype,acetate,0.0,0.3851859922434523
2024-05-26,2,relA,glucose,2.0,0.5748629870680184
2024-08-27,1,meshI,glucoseCAA,0.0,1.2406660694040064
2024-08-27,1,meshI,glucoseCAA,100.0,0.7735928329517952
2024-08-27,1,relA,glucoseCAA,0.0,1.3145881127898524
2024-08-27,1,relA,glucoseCAA,2.0,1.3106501093356155
2024-08-27,1,relA,glucoseCAA,4.0,1.0060209732262138
2024-08-27,2,meshI,glucoseCAA,0.0,1.2867785345592082
2024-08-27,2,meshI,glucoseCAA,100.0,0.9013009628777184
2024-08-27,2,relA,glucoseCAA,0.0,1.3218899385826106
2024-08-27,2,relA,glucoseCAA,2.0,1.3542007886450935
2024-08-27,2,relA,glucoseCAA,4.0,0.856633501311384
