phi_cyto,phi_mem,phi_peri,phiX-lacZ,phiX-relA,phi_rib,unassigned_sector,date,strain,carbon_source,inducer_conc,replicate
0.8184060069760208,0.11452439692736889,0.06601567445470335,0.0001489001640641,3.563601363857202e-05,0.17886632447142184,0.8198952177089686,2024-05-22,wildtype,glucose,0,1
0.796395020044409,0.12793281198876488,0.07439756927696664,8.269322930488659e-05,1.7968037634250142e-05,0.1930141022804248,0.8056106377627766,2024-05-22,wildtype,glucose,0,2
0.812312697245181,0.12098508782273998,0.06585552521835071,0.000188946670864,2.823919919659168e-05,0.1773643765021992,0.8215717479140119,2024-05-22,wildtype,glucose+acetate,0,1
0.8004363478931049,0.12931590963619388,0.06910286922336505,5.462759594069471e-05,2.0013368220435e-05,0.1866368478773229,0.8121436379111798,2024-05-22,wildtype,glucose+acetate,0,2
0.7870264204314066,0.11559575418699303,0.09663797545328935,0.0001007968806492,4.208223612955221e-05,0.1558391572212695,0.8432781137336407,2024-05-22,wildtype,glycerol,0,1
0.7876462234871167,0.11526372200677448,0.09613918891442422,8.058352180605341e-05,4.160697163716373e-05,0.165689127932587,0.8332378159822851,2024-05-22,wildtype,glycerol,0,2
0.7843273506768644,0.11268330467924825,0.10226986440884114,0.0001473953382977,4.736838140850128e-05,0.152751532811954,0.8463342232332935,2024-05-22,wildtype,sorbitol,0,1
0.7802566730700231,0.11383689823414947,0.1049260703111607,9.7756796878419e-05,3.8090135122401626e-05,0.162645337452014,0.8362384572313184,2024-05-22,wildtype,sorbitol,0,2
0.820816036556986,0.113087217531439,0.06504529343853396,0.0001388221510107,3.0091063222160733e-05,0.1830980672429174,0.8156815670698087,2024-05-23,meshI,glucose,0,1
0.8103041077866018,0.1201430433709546,0.0681550220801945,0.0001047239850968,1.927083653334032e-05,0.190484872722201,0.8079933056939198,2024-05-23,meshI,glucose,0,2
0.8259360150887616,0.1061178271693228,0.06690362783018945,0.0001272162737084,4.817846456688786e-05,0.17661751000082446,0.822164565349174,2024-05-23,meshI,glucose,100,1
0.8200952209884096,0.11066181604420314,0.06780860761526489,0.0001271123727377,3.757751484404469e-05,0.1850950092939901,0.8133059454663059,2024-05-23,meshI,glucose,100,2
0.8135694960971185,0.11591105571148033,0.06946561844595742,0.0001654285750754,5.952048772813085e-05,0.18013380594490366,0.818587415246849,2024-05-23,relA,glucose,0,1
0.8160691789501812,0.11482412855124778,0.06770831441376779,0.0001019290080591,4.965009101638446e-05,0.1842218340539388,0.8142282087621825,2024-05-23,relA,glucose,0,2
0.7753744739282747,0.14299866043282863,0.08038764863114466,0.0001453255495872,0.0002385253467223,0.149186902470514,0.8491900296254246,2024-05-23,relA,glucose,2,1
0.8488387460858463,0.11445706862577239,0.03601818232847162,0.0001335416300176,2.0616422606698565e-05,0.2864114214864838,0.7127484175009822,2024-05-24,wildtype,LB,0,1
0.8705540338103629,0.0981260087366953,0.030090698634717215,9.8668031348451e-05,1.959510078916366e-05,0.322739178050412,0.6759132999992258,2024-05-24,wildtype,LB,0,2
0.8265088619044894,0.1151532232350555,0.05729793966282944,0.0001563661302227,3.537762940638892e-05,0.2024358409275961,0.7963324401151491,2024-05-24,wildtype,glucoseCAA,0,1
0.8267062855704475,0.11777414645386018,0.054148202110462125,0.0001099911823688,2.552063960206997e-05,0.2146760574253641,0.7838170648874349,2024-05-24,wildtype,glucoseCAA,0,2
0.8073792163829785,0.12251152123941844,0.06887917845878269,0.0008146914357376,5.451130229101575e-05,0.17516906843635918,0.8227316449067917,2024-05-25,lacZ,glucose,0,1
0.8012050586800866,0.1263526785653806,0.07072131232394306,0.0006717933955801,4.10742802223158e-05,0.1835521119171117,0.8140140699764962,2024-05-25,lacZ,glucose,0,2
0.8172306327078641,0.11476989818160581,0.06680367641444734,0.0006778433646175,4.599380748624352e-05,0.16779776925237738,0.8302826008794362,2024-05-25,lacZ,glucose,5,1
0.8040680597623026,0.12534566609433653,0.06897159061405886,0.0005455776650258,3.543944650664244e-05,0.1730927119653786,0.8247115873937869,2024-05-25,lacZ,glucose,5,2
0.749079882680149,0.15694525959272598,0.09255280690901255,0.0001934570393867,0.0007210054269394,0.1225385120425624,0.8751249746729991,2024-05-25,relA,glucose,4,1
0.7300431852765463,0.17818689262140583,0.0900713987589123,0.0001107132226692,0.0004280105758122,0.1354439770108582,0.8623187758475248,2024-05-25,relA,glucose,4,2
0.7764783022728795,0.11043298964722544,0.11258456350284243,0.000126336459099,5.613307021760929e-05,0.1119190303210079,0.8873943555726229,2024-05-25,wildtype,acetate,0,1
0.7634605172946535,0.11262392810356975,0.12312743960527556,9.236219010030104e-05,3.744079250083376e-05,0.1165653664391429,0.8825167155817547,2024-05-25,wildtype,acetate,0,2
0.8157712393369686,0.11922714788850285,0.06328196473500824,0.0014131945333228,3.6685517355521866e-05,0.1951140338773048,0.8017164380324966,2024-05-26,lacZ,glucose,3,2
0.7662906187946636,0.1484162161636483,0.083695696507864,0.0001394634335363,0.0002419024368448,0.1609326674947163,0.8370884981010785,2024-05-26,relA,glucose,2,2
0.8181793650026353,0.11635440022929278,0.06418810849732662,0.000935219204398,6.00001100568808e-05,0.17464678378292825,0.8230798706318716,2024-05-28,lacZ,glucose,1,1
0.7989559084044617,0.12967561794729562,0.06995562562320545,0.0004989079000413,4.498789964975854e-05,0.1862541926331547,0.8117890635421171,2024-05-28,lacZ,glucose,1,2
0.8148638754098974,0.1184590066062297,0.06535472086985711,0.0013931003547499,4.102935434860077e-05,0.1724296148350194,0.8248138583418663,2024-05-29,lacZ,glucose,3,1
