strain,carbon_source,date,inducer_conc,replicate,entry,name,synonyms,intensity,norm_intensity,common_intensity,mass_frac,rel_mass_frac,localization
relA,glucose,2024-05-25,4,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0021306668131122,1.11137771245872,3568488600.0,0.0021306668131122,0.0006116765067427,phi_mem
lacZ,glucose,2024-05-25,0,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0021788104313588,1.22162917998101,3568488600.0,0.0021788104313588,0.0006723563564115,phi_mem
lacZ,glucose,2024-05-28,1,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0024318341973762,1.38165307601743,3568488600.0,0.0024318341973762,0.0007604297959143,phi_mem
lacZ,glucose,2024-05-26,3,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0020596170028603,1.14279743508083,3568488600.0,0.0020596170028603,0.0006289691930732,phi_mem
lacZ,glucose,2024-05-25,5,2,ACRA_ECOLI,acrA,lir mtcA b0463 JW0452,0.0021542387183984,1.18599998381316,3568488600.0,0.0021542387183984,0.0006527468735096,phi_mem
wildtype,glucose,2024-05-22,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,4.35e-05,0.767782869204083,112887100.0,4.3472832763078486e-05,0.0002857145,phi_mem
wildtype,glucose+acetate,2024-05-22,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,4.27e-05,0.732332925410946,112887100.0,4.270782220966478e-05,0.0002725225373082,phi_mem
wildtype,glycerol,2024-05-22,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,9.66e-05,1.56576862804512,112887100.0,9.657550322118836e-05,0.0005826683801129,phi_mem
wildtype,sorbitol,2024-05-22,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,0.0001302249221182,2.06759830896542,112887100.0,0.0001302249221182,0.0007694139069022,phi_mem
wildtype,glucoseCAA,2024-05-24,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,5.89e-05,1.00467445707642,112887100.0,5.891378468162925e-05,0.0003738688002558,phi_mem
