date,replicate,strain,carbon_source,inducer_conc,width_um,length_um,volume_fL,surface_area_um2,surface_to_volume_inv_um
2024-05-22,1.0,wildtype,glucose,0,0.6630765594619777,2.6262268435949507,0.8354369521826924,5.467237061422662,6.670527509737892
2024-05-22,1.0,wildtype,glucose+acetate,0,0.6612555244049989,2.5358160015683904,0.7955896804465221,5.257261329584978,6.698969535328553
2024-05-22,1.0,wildtype,glycerol,0,0.5929045277008699,2.418407920373901,0.6150457397757861,4.496052033545452,7.429426607591108
2024-05-22,1.0,wildtype,sorbitol,0,0.6050137892552402,2.3218093747938493,0.6163763094401792,4.4138642950900175,7.345541108225926
2024-05-22,2.0,wildtype,glucose,0,0.6992737205223856,2.3710306148816995,0.8179305430500351,5.185072444936789,6.4200625837596785
2024-05-22,2.0,wildtype,glucose+acetate,0,0.6636672989682646,2.428859675426443,0.7594866192192317,5.0323705877517675,6.725699841042956
2024-05-22,2.0,wildtype,glycerol,0,0.6034219222305484,2.270243899927926,0.5877313658050634,4.277102261044027,7.360772633425486
2024-05-22,2.0,wildtype,sorbitol,0,0.6206026552018625,2.3155683946276735,0.642569117413495,4.50582269975772,7.181252884615595
2024-05-23,1.0,meshI,glucose,0,0.6588415892987279,2.662000473401798,0.8390045348636251,5.505096954405943,6.719054327181657
2024-05-23,1.0,meshI,glucose,100,0.7509119540720762,2.392612117003501,0.9470324800691378,5.620435579222647,6.0293384598746655
2024-05-23,1.0,relA,glucose,0,0.6883040915111236,2.4039736867642247,0.8127218338455476,5.190473838728893,6.5100766415498255
2024-05-23,1.0,relA,glucose,2,0.6642173617561008,2.17527207258393,0.672672978965825,4.515378497316318,6.776163086381294
2024-05-23,2.0,meshI,glucose,0,0.7147486414028106,2.393175820010338,0.8647931824980012,5.355782067086363,6.308364989120924
2024-05-23,2.0,meshI,glucose,100,0.7496581823362733,2.5114054549855735,1.0029107494499523,5.903571413644261,6.012778862078166
2024-05-23,2.0,relA,glucose,0,0.6467667577642511,2.4724476027829336,0.7549960687564352,5.037231508262301,6.8930392987530595
2024-05-24,1.0,wildtype,LB,0,0.9191568467813629,3.851755191002302,2.37049318955766,11.138295984571116,4.7728944864664795
2024-05-24,1.0,wildtype,glucoseCAA,0,0.8741181273172054,3.182365868402838,1.7709008421435068,8.769337945395133,5.167673330016131
2024-05-24,2.0,wildtype,LB,0,0.923620121546266,4.212333327277585,2.6494472570122407,12.25577804247867,4.73596130980739
2024-05-24,2.0,wildtype,glucoseCAA,0,0.8636618213569093,3.3411583159116893,1.8284226719216083,9.12514800674283,5.170441426289228
2024-05-25,1.0,relA,glucose,4,0.6404901325444792,2.1003015168046635,0.606767812487391,4.209461886300064,7.050192966784704
2024-05-25,1.0,wildtype,acetate,0,0.598027009932458,2.045167088941241,0.5218901328135779,3.840922405269179,7.5074877471914165
2024-05-25,2.0,relA,glucose,4,0.644114736341047,1.9756865828873922,0.5761057761176038,3.9912186894269657,7.069383768132812
2024-05-25,2.0,wildtype,acetate,0,0.6097572423790127,2.0636399500905576,0.5438705612563395,3.9447470266833533,7.360883684014174
2024-05-26,2.0,relA,glucose,2,0.6229106793080815,2.16174291698594,0.6050781580784031,4.232881643482761,7.233883840340177
2024-08-27,1.0,meshI,glucoseCAA,0,0.7181091222991373,2.827907891809775,1.1108682050133263,6.493810279566292,6.394361744408569
2024-08-27,1.0,meshI,glucoseCAA,100,0.8688484324156854,3.3046259194355905,1.876011175075188,9.152880639033155,5.22922805104673
2024-08-27,1.0,relA,glucoseCAA,0,0.79704952792381,3.079495848473664,1.4313160033119927,7.754393623454118,5.575617905682313
2024-08-27,1.0,relA,glucoseCAA,2,0.7711661681099791,3.000591270412677,1.3148582065698302,7.3219300971741434,5.760561706025921
2024-08-27,1.0,relA,glucoseCAA,4,0.6633838144882354,2.5021908110709505,0.796865184031182,5.22628164232658,6.689575439661565
2024-08-27,2.0,meshI,glucoseCAA,0,0.7973332026411698,2.7510639897824203,1.2875051552234669,6.9650718719093225,5.699800012980113
2024-08-27,2.0,meshI,glucoseCAA,100,0.8379108234242545,3.367956657153429,1.8815220456548996,9.163856003623387,5.521553368556243
2024-08-27,2.0,relA,glucoseCAA,0,0.7529730168987556,2.696599606936755,1.147947391788608,6.492469905042573,6.024643093715955
2024-08-27,2.0,relA,glucoseCAA,2,0.7655347539167399,2.730336608591434,1.1523583785085547,6.57958678177635,5.839935638695476
2024-08-27,2.0,relA,glucoseCAA,4,0.6630228240498994,2.2990461413054586,0.7230133678479085,4.794603754177282,6.736020009955991
