strain,carbon_source,date,inducer_conc,replicate,phi_cyto,phi_mem,phi_peri,phi_rib
meshI,glucose,2024-05-23,0,1,0.820816036556986,0.113087217531439,0.06504529343853396,0.1830980672429174
meshI,glucose,2024-05-23,0,2,0.8103041077866019,0.1201430433709546,0.0681550220801945,0.190484872722201
meshI,glucose,2024-05-23,100,1,0.8259360150887615,0.1061178271693228,0.06690362783018945,0.17661751000082446
meshI,glucose,2024-05-23,100,2,0.8200952209884096,0.11066181604420314,0.06780860761526489,0.1850950092939901
meshI,glucoseCAA,2024-08-27,0,1,0.8627406191844836,0.09853065178964959,0.036099474120305994,0.18848924803199335
meshI,glucoseCAA,2024-08-27,0,2,0.858488908497863,0.1012039254121078,0.03773764519445926,0.18253372486478817
meshI,glucoseCAA,2024-08-27,100,1,0.8742858089036626,0.08864222868204062,0.034553267761134814,0.18886623296493874
meshI,glucoseCAA,2024-08-27,100,2,0.8707738323240758,0.09075299911082112,0.036051374265392434,0.1813352308097487
relA,glucose,2024-05-23,0,1,0.8135694960971185,0.11591105571148033,0.06946561844595742,0.18013380594490366
relA,glucose,2024-05-23,0,2,0.8160691789501812,0.11482412855124778,0.06770831441376779,0.1842218340539388
relA,glucose,2024-05-23,2,1,0.7753744739282747,0.14299866043282863,0.08038764863114466,0.149186902470514
relA,glucose,2024-05-25,4,1,0.749079882680149,0.15694525959272598,0.09255280690901255,0.1225385120425624
relA,glucose,2024-05-25,4,2,0.7300431852765463,0.17818689262140583,0.0900713987589123,0.1354439770108582
relA,glucose,2024-05-26,2,2,0.7662906187946636,0.1484162161636483,0.083695696507864,0.1609326674947163
relA,glucoseCAA,2024-08-27,0,1,0.8644539659813013,0.09705283241621755,0.036020233186850714,0.18775035131440332
relA,glucoseCAA,2024-08-27,0,2,0.8666125601416231,0.09492583551751109,0.036016615597957644,0.1878995254594025
relA,glucoseCAA,2024-08-27,2,1,0.8489091206460707,0.10817427341865578,0.040354132161005724,0.17613062627938503
relA,glucoseCAA,2024-08-27,2,2,0.8477605703515902,0.10786549832087336,0.04166243790741339,0.16981961139823423
relA,glucoseCAA,2024-08-27,4,1,0.8292004428933528,0.1202455436705839,0.04801236700888578,0.15405968026403513
relA,glucoseCAA,2024-08-27,4,2,0.8207272407478546,0.12556358193478576,0.0512303589262024,0.14737166276034352
wildtype,LB,2024-05-24,0,1,0.8488387460858463,0.11445706862577239,0.03601818232847162,0.2864114214864838
wildtype,LB,2024-05-24,0,2,0.8705540338103629,0.0981260087366953,0.030090698634717215,0.322739178050412
wildtype,acetate,2024-05-25,0,1,0.7764783022728796,0.11043298964722544,0.11258456350284243,0.1119190303210079
wildtype,acetate,2024-05-25,0,2,0.7634605172946535,0.11262392810356975,0.12312743960527556,0.1165653664391429
wildtype,glucose,2024-05-22,0,1,0.8184060069760208,0.11452439692736889,0.06601567445470335,0.17886632447142184
wildtype,glucose,2024-05-22,0,2,0.796395020044409,0.12793281198876488,0.07439756927696664,0.1930141022804248
wildtype,glucose+acetate,2024-05-22,0,1,0.812312697245181,0.12098508782273998,0.06585552521835071,0.1773643765021992
wildtype,glucose+acetate,2024-05-22,0,2,0.8004363478931049,0.12931590963619388,0.06910286922336505,0.1866368478773229
wildtype,glucoseCAA,2024-05-24,0,1,0.8265088619044894,0.1151532232350555,0.05729793966282944,0.2024358409275961
wildtype,glucoseCAA,2024-05-24,0,2,0.8267062855704475,0.11777414645386018,0.054148202110462125,0.2146760574253641
wildtype,glycerol,2024-05-22,0,1,0.7870264204314065,0.11559575418699303,0.09663797545328935,0.1558391572212695
wildtype,glycerol,2024-05-22,0,2,0.7876462234871167,0.11526372200677448,0.09613918891442422,0.165689127932587
wildtype,sorbitol,2024-05-22,0,1,0.7843273506768644,0.11268330467924825,0.10226986440884114,0.152751532811954
wildtype,sorbitol,2024-05-22,0,2,0.780256673070023,0.11383689823414947,0.1049260703111607,0.162645337452014
