date,strain,carbon_source,inducer_conc,replicate,phiX-lacZ,phiX-relA,phi_mem,phi_peri,phi_rib,width_median,width_var,length,volume,surface_area,surface_to_volume,growth_rate_hr,od_init,growth_rate_hr_std,od_555nm_per_od_600nm,od_260nm_per_od_600nm,ug_protein_per_od_600nm,ug_RNA_per_od_600nm,RNA_to_protein
2024-05-22,wildtype,glucose,0,1,0.0,0.000115566925,0.1235783023136072,0.0308121182569995,0.1478250028499993,0.6630765594619777,0.0017954817967252,2.6262268435949507,0.8354369521826924,5.467237061422662,6.670527509737892,0.859140850644779,0.0392769057299449,1.3899736615692774e-07,0.0927536231884058,1.5555555555555554,422.5147386558583,48.22222222222221,0.11413145580585202
2024-05-22,wildtype,glucose,0,2,0.0,0.000115566925,0.12208987577910739,0.0311203316419995,0.1478250028499993,0.6992737205223856,0.0015878388437046,2.3710306148816995,0.8179305430500351,5.185072444936789,6.420062583759679,0.8840892213949152,0.0502988663544059,1.923873498439674e-09,0.1052154195011337,1.5419501133786848,505.30945143029305,47.80045351473923,0.09459639707794631
2024-05-22,wildtype,glucose+acetate,0,1,0.0,8.891549998086712e-05,0.11924973744060885,0.031116394213746575,0.1489690985482804,0.6612555244049989,0.0015420363684943,2.5358160015683904,0.7955896804465221,5.257261329584978,6.698969535328553,0.853688624955644,0.0486611208325199,2.6364040901955623e-11,0.0888888888888888,1.4242878560719645,396.8378973523943,44.152923538230894,0.11126186241991613
2024-05-22,wildtype,glucose+acetate,0,2,0.0,0.0001242293728476,0.12043681005868404,0.02997114499310064,0.1426221415830941,0.6636672989682646,0.0015406447786561,2.428859675426443,0.7594866192192317,5.032370587751768,6.725699841042956,0.7000527193406471,0.0419719141458264,1.1432977766594464e-06,0.0935672514619883,1.4167812929848695,427.9203894565876,43.92022008253095,0.1026364276268884
2024-05-22,wildtype,glycerol,0,1,0.0,0.0001252804717913,0.15077092403960432,0.04165037780346269,0.1390362989406423,0.5929045277008699,0.0012928025556467,2.418407920373901,0.6150457397757861,4.496052033545452,7.429426607591108,0.6737871653670506,0.0390524135156517,7.73480760866722e-12,0.0948148148148148,1.059190031152648,436.20905401770574,32.83489096573209,0.07527329078410033
2024-05-22,wildtype,glycerol,0,2,0.0,0.0002372717882003,0.16177448934954647,0.03388264627383157,0.1701959038402988,0.6034219222305484,0.0011329617665681,2.270243899927926,0.5877313658050634,4.277102261044027,7.360772633425486,0.6323276248776727,0.0613238204869905,2.14743026789117e-07,0.0873294346978557,1.2481514344868383,386.47706665099656,38.69269446909199,0.10011640484746527
2024-05-22,wildtype,sorbitol,0,1,0.0,0.0001380971038682,0.1582450344018493,0.04497980951427185,0.1390190114240744,0.6050137892552402,0.0014502974212346,2.3218093747938493,0.6163763094401792,4.4138642950900175,7.345541108225926,0.6189821322967243,0.0456122460734829,1.9224492305331752e-12,0.1134965473948525,1.0985703536493605,560.3282936744505,34.05568096313017,0.060778085539468486
2024-05-22,wildtype,sorbitol,0,2,0.0,0.0002126442651025,0.15974454025213647,0.03604164157075681,0.1635823530146245,0.6206026552018625,0.0013565275729067,2.315568394627673,0.642569117413495,4.50582269975772,7.181252884615595,0.608803125485576,0.0485850664029311,9.444029327206749e-14,0.1128747795414462,1.3688494265630775,556.1973409977027,42.43433222345541,0.07629366251075026
2024-05-23,meshI,glucose,0,1,0.0,9.819815097772956e-05,0.11819552119814852,0.030622405676853228,0.1633671067717292,0.6588415892987279,0.0017393855028832,2.662000473401798,0.8390045348636251,5.505096954405943,6.719054327181657,0.8892325330911994,0.0451950296564829,1.1203108716858074e-07,0.079835390946502,1.1967418546365916,336.687519113724,37.09899749373434,0.11018821722703445
2024-05-23,meshI,glucose,0,2,0.0,0.0001225349388848,0.1179138932216343,0.02858618402827175,0.149625412321734,0.7147486414028106,0.0016575494369861,2.393175820010338,0.8647931824980012,5.355782067086363,6.308364989120924,0.8200614327462846,0.0565806306803586,9.147672703221628e-08,0.074975845410628,1.4429741650913674,304.4012686599239,44.7321991178324,0.1469514214403852
2024-05-23,meshI,glucose,100,1,0.0,0.000155140599499,0.10667360625722168,0.031136347780738267,0.1442001508740942,0.7509119540720762,0.0018716387997736,2.392612117003501,0.9470324800691378,5.620435579222647,6.0293384598746655,0.7207220956572481,0.0493846364513423,1.7490916027281252e-10,0.0860986547085201,1.555352241537054,378.29990878800993,48.21591948764868,0.12745421917261868
2024-05-23,meshI,glucose,100,2,0.0,0.0002364426180391,0.10790817503227233,0.027697980177143765,0.1475715195322531,0.7496581823362733,0.0023883984161339,2.511405454985573,1.0029107494499525,5.903571413644261,6.012778862078166,0.667204243559892,0.0382392658218866,1.6195583427826057e-12,0.0795908879590888,1.2792335869258946,335.0630699486629,39.65624119470273,0.11835455695185598
2024-05-23,relA,glucose,0,1,0.0,0.0001863419722513,0.11692858890024403,0.031879774021682634,0.14309303431005221,0.6883040915111236,0.001701852629779,2.4039736867642247,0.8127218338455476,5.190473838728893,6.5100766415498255,0.8309082512168002,0.0480010743766685,1.4390332549349505e-08,0.0844689993861264,1.9938837920489296,367.4726700053387,61.81039755351682,0.16820406685650616
2024-05-23,relA,glucose,0,2,0.0,0.0002989574948545,0.11582046148345865,0.02598896928824603,0.1540327957160071,0.6467667577642511,0.0015995679143202,2.4724476027829336,0.7549960687564352,5.037231508262301,6.89303929875306,0.7652878227972052,0.0584063361364826,7.011568502340096e-09,0.0941798941798941,1.3473423980222496,431.9907158035652,41.76761433868974,0.09668637035635347
