date,strain,carbon_source,inducer_conc,replicate,phi_cyto,phi_mem,phi_peri
2024-05-22,wildtype,glucose,0,1,0.6342694449837082,0.11677001926765411,0.030545400167830788
2024-05-22,wildtype,glucose,0,2,0.6317511979266129,0.11599187588581851,0.030666016009401668
2024-05-22,wildtype,glucose+acetate,0,1,0.6349083155811723,0.11388538781189676,0.0316169491257805
2024-05-22,wildtype,glucose+acetate,0,2,0.6547160598778526,0.11508381014588451,0.03104142210535493
2024-05-22,wildtype,glycerol,0,1,0.7156884137232912,0.15204256752093506,0.05443665645177378
2024-05-22,wildtype,glycerol,0,2,0.8537194717182163,0.1699788646152476,0.04640213021806261
2024-05-22,wildtype,sorbitol,0,1,0.7130147477738175,0.16168064352946623,0.07477685138434997
2024-05-22,wildtype,sorbitol,0,2,0.8398986267445739,0.16734921637677244,0.05259333585816201
2024-05-23,meshI,glucose,0,1,0.6489995053732578,0.1124890126031522,0.030202885312969444
2024-05-23,meshI,glucose,0,2,0.6650368528147983,0.11212600206755258,0.029668110851933698
2024-05-23,meshI,glucose,100,1,0.6358992027798303,0.101666521893621,0.03234565216164459
2024-05-23,meshI,glucose,100,2,0.6937087508424628,0.10391271474519624,0.028674265969929294
2024-05-23,relA,glucose,0,1,0.6051230255239295,0.11067339687639619,0.03093102271241346
2024-05-23,relA,glucose,0,2,0.7012577009610934,0.10825099945192293,0.026666597164630712
2024-05-23,relA,glucose,2,1,0.604206610660796,0.11717162022748398,0.037012124639194635
2024-05-24,wildtype,LB,0,1,0.808108417300563,0.15377830286689936,0.025699004593003387
2024-05-24,wildtype,LB,0,2,0.7068710574224653,0.1360697271912196,0.019255217359440212
2024-05-24,wildtype,glucoseCAA,0,1,0.6271026742240681,0.10615799871684971,0.027113512357879725
2024-05-24,wildtype,glucoseCAA,0,2,0.6742293674073264,0.103239909422812,0.023152175243044283
2024-05-25,lacZ,glucose,0,1,0.611437055708894,0.11163208750062281,0.02997364876944042
2024-05-25,lacZ,glucose,0,2,0.6605537163477748,0.11096061585476043,0.03136329448122276
2024-05-25,lacZ,glucose,5,1,0.6229266407237671,0.10464783492098724,0.029052064604600362
2024-05-25,lacZ,glucose,5,2,0.6695310165291614,0.1102226566310025,0.03051000877923058
2024-05-25,relA,glucose,4,1,0.5294428278288634,0.12533864001250805,0.0394900015398802
2024-05-25,relA,glucose,4,2,0.550921866311346,0.13573809987947977,0.038118976769481894
2024-05-25,wildtype,acetate,0,1,0.7207273821991333,0.12404813522794324,0.094067908386102
2024-05-25,wildtype,acetate,0,2,0.8792416008236383,0.12226618657641478,0.07446827701613677
2024-05-26,lacZ,glucose,3,2,0.6755131336154329,0.11095925371154605,0.03177526943664068
2024-05-26,relA,glucose,2,2,0.5912337118772222,0.1272354081216917,0.03451915814907254
2024-05-28,lacZ,glucose,1,1,0.6306373150334588,0.10710410728645388,0.028290654235137384
2024-05-28,lacZ,glucose,1,2,0.659925702170731,0.11363667976115277,0.03165077193362388
2024-05-29,lacZ,glucose,3,1,0.6353456096939375,0.10995423665507847,0.02888092279958
