lower,upper,quantity,interval,phi_M
1.0027485989020637,1.2366002158002294,width_um,95%,0.001
1.0431923634828288,1.206156714667589,width_um,75%,0.001
1.1064130883626464,1.1502501190867962,width_um,25%,0.001
1.1286985486675158,1.1286985486675158,width_um,median,0.001
0.9968512559738529,1.2274636057769623,width_um,95%,0.0014974874371859296
1.0365730097679011,1.1971836681378076,width_um,75%,0.0014974874371859296
1.0990029181265948,1.1422889272938606,width_um,25%,0.0014974874371859296
1.120877902914238,1.120877902914238,width_um,median,0.0014974874371859296
0.9912783200002766,1.2183709331360244,width_um,95%,0.0019949748743718593
1.0300150996543411,1.1881120242526815,width_um,75%,0.0019949748743718593
1.091744630451354,1.134454579440171,width_um,25%,0.0019949748743718593
1.1131972312060152,1.1131972312060152,width_um,median,0.0019949748743718593
0.984730198817642,1.20932618885337,width_um,95%,0.002492462311557789
1.0236785446231407,1.1792779414011398,width_um,75%,0.002492462311557789
1.0843985999079886,1.1267077336518703,width_um,25%,0.002492462311557789
1.1053278906047423,1.1053278906047423,width_um,median,0.002492462311557789
0.9787855973032258,1.2003030773628718,width_um,95%,0.0029899497487437185
1.0172757455564068,1.170713309746224,width_um,75%,0.0029899497487437185
1.0770615560541401,1.11896498988999,width_um,25%,0.0029899497487437185
1.097720519598009,1.097720519598009,width_um,median,0.0029899497487437185
0.9730236194709291,1.1913932295227667,width_um,95%,0.003487437185929648
1.0108707053968753,1.161829486075831,width_um,75%,0.003487437185929648
1.069794404336598,1.111169469571215,width_um,25%,0.003487437185929648
1.0899856438339808,1.0899856438339808,width_um,median,0.003487437185929648
0.9671261533632065,1.1823875566541067,width_um,95%,0.003984924623115577
1.004505494515494,1.1533597278285654,width_um,75%,0.003984924623115577
1.0625781714905145,1.1035114767583976,width_um,25%,0.003984924623115577
1.0824540850111755,1.0824540850111755,width_um,median,0.003984924623115577
0.9617090282394639,1.1738215985804663,width_um,95%,0.0044824120603015076
0.9980789587264401,1.1448473759708875,width_um,75%,0.0044824120603015076
1.0553515302819758,1.0957843248673378,width_um,25%,0.0044824120603015076
1.0750419697022147,1.0750419697022147,width_um,median,0.0044824120603015076
0.9558718300941529,1.1649141579534357,width_um,95%,0.004979899497487437
0.9918067629751612,1.1363368240990686,width_um,75%,0.004979899497487437
1.0481622136696176,1.0879597636256069,width_um,25%,0.004979899497487437
1.0675899610438322,1.0675899610438322,width_um,median,0.004979899497487437
0.950238080861196,1.156133389999113,width_um,95%,0.005477386934673366
0.9856714232410493,1.1280839657166166,width_um,75%,0.005477386934673366
1.040915882111816,1.080337036018061,width_um,25%,0.005477386934673366
1.0602804046772576,1.0602804046772576,width_um,median,0.005477386934673366
0.9446637231071889,1.14747650991507,width_um,95%,0.005974874371859296
0.9794351285305801,1.1199116467813854,width_um,75%,0.005974874371859296
1.033941751029286,1.072488337523087,width_um,25%,0.005974874371859296
1.0529133804815571,1.0529133804815571,width_um,median,0.005974874371859296
0.9389041304212663,1.1388288251107197,width_um,95%,0.006472361809045226
0.9734296571657223,1.1116973963697574,width_um,75%,0.006472361809045226
1.0269015444141876,1.0647776261208577,width_um,25%,0.006472361809045226
1.0456229964215737,1.0456229964215737,width_um,median,0.006472361809045226
0.9332190536692512,1.1302250918754229,width_um,95%,0.0069698492462311554
0.9672042043675314,1.1035023521425327,width_um,75%,0.0069698492462311554
1.0199514156154554,1.0573176641388273,width_um,25%,0.0069698492462311554
1.0382802693403268,1.0382802693403268,width_um,median,0.0069698492462311554
0.9277061520840387,1.1218620902912544,width_um,95%,0.007467336683417085
0.961110503572302,1.0955375761950261,width_um,75%,0.007467336683417085
1.0130284102322786,1.0500928918948023,width_um,25%,0.007467336683417085
1.0311526103470825,1.0311526103470825,width_um,median,0.007467336683417085
0.9221187838996162,1.1133557602008204,width_um,95%,0.007964824120603016
0.9550144771255606,1.0874258518423048,width_um,75%,0.007964824120603016
1.0063094894279012,1.0427384342808832,width_um,25%,0.007964824120603016
1.0240457151311801,1.0240457151311801,width_um,median,0.007964824120603016
0.9166109093267857,1.1050268198832898,width_um,95%,0.008462311557788944
0.948599550074074,1.079302599898108,width_um,75%,0.008462311557788944
0.9992303463510365,1.0352809846670126,width_um,25%,0.008462311557788944
1.0169483115540698,1.0169483115540698,width_um,median,0.008462311557788944
0.911103643798383,1.0969162289368175,width_um,95%,0.008959798994974875
0.9424909618103621,1.0710810452387545,width_um,75%,0.008959798994974875
0.9921585827026292,1.0279566163981864,width_um,25%,0.008959798994974875
1.0099052764991812,1.0099052764991812,width_um,median,0.008959798994974875
0.9051480181292627,1.0886611745324128,width_um,95%,0.009457286432160802
0.9363239665870994,1.063118759670145,width_um,75%,0.009457286432160802
0.985421895174129,1.0207046093474514,width_um,25%,0.009457286432160802
1.0030274829987824,1.0030274829987824,width_um,median,0.009457286432160802
0.899408144544018,1.0805631762202144,width_um,95%,0.009954773869346734
0.9302299232618156,1.055259857495833,width_um,75%,0.009954773869346734
0.9785275390426718,1.0132385580209986,width_um,25%,0.009954773869346734
0.9959459803188058,0.9959459803188058,width_um,median,0.009954773869346734
0.8936752667182105,1.0723578696889726,width_um,95%,0.010452261306532661
