lower,upper,quantity,interval,growth_rate_hr
0.58495659,0.671176939,width,95%,0.1
0.60285765,0.6580978,width,75%,0.1
0.6273232000000001,0.64105955,width,25%,0.1
0.6344536999999999,0.6344536999999999,width,median,0.1
2.82275824,3.29582628,alpha,95%,0.1
2.9030937375,3.2078527875000002,alpha,75%,0.1
3.0125963374999998,3.0917826125,alpha,25%,0.1
3.0535144,3.0535144,alpha,median,0.1
1.64417425,2.03785666,length,95%,0.1
1.7351729875,1.9852651250000002,length,75%,0.1
1.8433616,1.9070124750000002,length,25%,0.1
1.87587945,1.87587945,length,median,0.1
6.6707962499999995,7.312633149999999,sav,95%,0.1
6.747375875,7.132892624999999,sav,75%,0.1
6.858399125,6.951481625,sav,25%,0.1
6.903681499999999,6.903681499999999,sav,median,0.1
0.5867275328093646,0.6724250093645485,width,95%,0.10802675585284281
0.6045017296822742,0.6593833137959866,width,75%,0.10802675585284281
0.6287880930183947,0.6424550622073578,width,25%,0.10802675585284281
0.6359168642140468,0.6359168642140468,width,median,0.10802675585284281
2.8265368588795985,3.2967272255518396,alpha,95%,0.10802675585284281
2.90733654611204,3.2092975976923075,alpha,75%,0.10802675585284281
3.016115612750836,3.093967276839465,alpha,25%,0.10802675585284281
3.05659984180602,3.05659984180602,alpha,median,0.10802675585284281
1.6526773224749165,2.043236734765886,length,95%,0.10802675585284281
1.743306858026756,1.9916497221571907,length,75%,0.10802675585284281
1.8507240613712375,1.9135213061872909,length,25%,0.10802675585284281
1.8826121428093645,1.8826121428093645,length,median,0.10802675585284281
6.661946092976589,7.300193383110368,sav,95%,0.10802675585284281
6.738464732441471,7.121530948996655,sav,75%,0.10802675585284281
6.848556097408027,6.941102273829432,sav,25%,0.10802675585284281
6.893299620401338,6.893299620401338,sav,median,0.10802675585284281
0.5883386781939799,0.6736851387959866,width,95%,0.11605351170568562
0.6062640174331103,0.6606933525919733,width,75%,0.11605351170568562
0.6302935440635452,0.6438519964046823,width,25%,0.11605351170568562
0.6374087414715719,0.6374087414715719,width,median,0.11605351170568562
2.830509182759197,3.297727670100335,alpha,95%,0.11605351170568562
2.9109958332775916,3.2104753362918057,alpha,75%,0.11605351170568562
3.019079704765886,3.096270310242475,alpha,25%,0.11605351170568562
3.059333581939799,3.059333581939799,alpha,median,0.11605351170568562
1.6616667364548494,2.0486335204849495,length,95%,0.11605351170568562
1.75139304138796,1.9976004631688964,length,75%,0.11605351170568562
1.8583542429765885,1.9199350892558527,length,25%,0.11605351170568562
1.8895744046822742,1.8895744046822742,length,median,0.11605351170568562
6.652941445652174,7.287384424581939,sav,95%,0.11605351170568562
6.729953086956522,7.110341548494983,sav,75%,0.11605351170568562
6.838907902591973,6.930816320652173,sav,25%,0.11605351170568562
6.88332154180602,6.88332154180602,sav,median,0.11605351170568562
0.5900127269063545,0.6749067611538461,width,95%,0.12408026755852844
0.6079430367892976,0.6619973218227424,width,75%,0.12408026755852844
0.631804556354515,0.6452803404682275,width,25%,0.12408026755852844
0.6388472454849499,0.6388472454849499,width,median,0.12408026755852844
2.83464373958194,3.298497623668562,alpha,95%,0.12408026755852844
2.914549137541806,3.212160336580267,alpha,75%,0.12408026755852844
3.0219715300585284,3.098653028804348,alpha,25%,0.12408026755852844
3.061945195986622,3.061945195986622,alpha,median,0.12408026755852844
1.670347753394649,2.0535824223076924,length,95%,0.12408026755852844
1.7599565885033446,2.003769319230769,length,75%,0.12408026755852844
1.8654822917642142,1.9265227986204014,length,25%,0.12408026755852844
1.8964776627090303,1.8964776627090303,length,median,0.12408026755852844
6.6443042610367895,7.273491447826086,sav,95%,0.12408026755852844
6.720905683110368,7.099403331939799,sav,75%,0.12408026755852844
6.829134463628763,6.920522819816053,sav,25%,0.12408026755852844
6.873195984949833,6.873195984949833,sav,median,0.12408026755852844
0.5918688375418061,0.6760181365384615,width,95%,0.13210702341137123
0.6096055589464883,0.6631715986622073,width,75%,0.13210702341137123
0.633295900083612,0.6466901030518395,width,25%,0.13210702341137123
0.6402817324414716,0.6402817324414716,width,median,0.13210702341137123
2.8385806976588626,3.3000973593227423,alpha,95%,0.13210702341137123
2.9181963260869566,3.214371928302676,alpha,75%,0.13210702341137123
3.0250254090719064,3.1012031260451502,alpha,25%,0.13210702341137123
3.0647380050167223,3.0647380050167223,alpha,median,0.13210702341137123
1.6787963946488293,2.0585356387959868,length,95%,0.13210702341137123
1.7679120363712373,2.0096134293478256,length,75%,0.13210702341137123
1.8727362504180602,1.9329318426003346,length,25%,0.13210702341137123
1.9032536722408024,1.9032536722408024,length,median,0.13210702341137123
6.635820593311037,7.260423038461537,sav,95%,0.13210702341137123
6.711966711956522,7.088322869983278,sav,75%,0.13210702341137123
6.819577721571906,6.910007901337792,sav,25%,0.13210702341137123
6.863082976588629,6.863082976588629,sav,median,0.13210702341137123
0.593706339347826,0.6771540047324415,width,95%,0.14013377926421405
0.6112631533444817,0.6644668983277592,width,75%,0.14013377926421405
0.6347940694397993,0.6481015169732441,width,25%,0.14013377926421405
