quantity,strain,inducer_conc,carbon_source,replicate,growth_rate_hr,mean,median,sig2_lower,sig2_upper,sig1_lower,sig1_upper
prot_per_cell,meshI,0,glucose,1.0,0.8892325330911993,249.45543475,248.562,212.362125,291.2753,230.28784,269.17448
prot_per_cell,meshI,100,glucose,1.0,0.7207220956572482,281.5746415,280.5665,239.70489999999998,328.778475,259.9392,303.83311999999995
prot_per_cell,relA,0,glucose,1.0,0.8309082512168006,241.64097999999998,240.776,205.7092,282.150275,223.074,260.74232
prot_per_cell,relA,2,glucose,1.0,0.5953632487833751,200.00121049999998,199.285,170.2615,233.53005,184.63364,215.81152
prot_per_cell,meshI,0,glucose,2.0,0.8200614327462847,257.12299825,256.202,218.889075,300.22735,237.36668,277.44864
prot_per_cell,meshI,100,glucose,2.0,0.667204243559892,298.18854074999996,297.1205,253.848775,348.177575,275.27688,321.76027999999997
prot_per_cell,relA,0,glucose,2.0,0.7652878227972052,224.47777149999996,223.67399999999998,191.098325,262.11017499999997,207.22932,242.22299999999998
prot_per_cell,relA,4,glucose,1.0,0.4339392796625571,180.406093,179.76049999999998,153.580625,210.64995000000002,166.54396,194.66719999999998
prot_per_cell,relA,4,glucose,2.0,0.4050489280159054,171.28956349999999,170.6765,145.8197,200.0049,158.12812,184.83004
prot_per_cell,relA,2,glucose,2.0,0.5748629870680184,179.903724,179.2595,153.15265,210.06295,166.08096,194.1252
prot_per_cell,meshI,0,glucoseCAA,1.0,1.2406660694040064,330.28678274999993,329.10400000000004,281.17355,385.65675,304.9084,356.39592
prot_per_cell,meshI,100,glucoseCAA,1.0,0.7735928329517952,557.781473,555.7845,474.84082500000005,651.289925,514.92356,601.87408
prot_per_cell,relA,0,glucoseCAA,1.0,1.3145881127898524,425.56331824999995,424.0395,362.282825,496.906225,392.8648,459.20368
prot_per_cell,relA,2,glucoseCAA,1.0,1.3106501093356155,390.93772275,389.538,332.806075,456.47605,360.89944,421.84104
prot_per_cell,relA,4,glucoseCAA,1.0,1.0060209732262138,236.926429,236.078,201.696225,276.64525000000003,218.722,255.65532000000002
prot_per_cell,meshI,0,glucoseCAA,2.0,1.2867785345592082,382.80502875,381.43399999999997,325.883125,446.98,353.39160000000004,413.06588
prot_per_cell,meshI,100,glucoseCAA,2.0,0.9013009628777184,559.41998025,557.4165,476.2358,653.202925,516.4357200000001,603.64208
prot_per_cell,relA,0,glucoseCAA,2.0,1.3218899385826106,341.31127925000004,340.089,290.55942500000003,398.52977500000003,315.08624,368.29208
prot_per_cell,relA,2,glucoseCAA,2.0,1.3542007886450935,342.622767,341.39599999999996,291.67545,400.06080000000003,316.29708,369.70708
prot_per_cell,relA,4,glucoseCAA,2.0,0.856633501311384,214.96858250000002,214.199,183.0034,251.006125,198.45132,231.96184
rna_per_cell,meshI,0,glucose,1.0,0.8892325330911993,100.208000925,99.8492,85.30735,117.007525,92.50832,108.12976
rna_per_cell,meshI,100,glucose,1.0,0.7207220956572482,109.107095,108.7165,92.8831825,127.39855,100.72323999999999,117.73192
rna_per_cell,relA,0,glucose,1.0,0.8309082512168006,95.497388175,95.15545,81.297185,111.5065,88.159684,103.0466
rna_per_cell,relA,2,glucose,1.0,0.5953632487833751,65.461962025,65.22755000000001,55.72791,76.4362425,60.432096,70.63668399999999
rna_per_cell,meshI,0,glucose,2.0,0.8200614327462847,107.45511072500001,107.07,91.476795,125.46955,99.198592,115.94908
