value,kde,parameter,strain,carbon_source,overexpression,inducer_conc
0.007414295,3.9448175003044644e-140,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.01185692867735471,5.510178127105565e-136,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.016299562354709418,6.630079828409229e-132,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.02074219603206413,6.872049406620878e-128,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.025184829709418842,6.1357574815446834e-124,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.02962746338677355,4.7191577469100834e-120,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.03407009706412826,3.126620712145152e-116,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.038512730741482974,1.7844332336451314e-112,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.04295536441883768,8.7728317890924e-109,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.04739799809619239,3.71529837963637e-105,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.0518406317735471,1.3553828645729452e-101,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.056283265450901815,4.259363256141044e-98,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.06072589912825652,1.1530330771177848e-94,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.06516853280561123,2.688767492457784e-91,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.06961116648296595,5.401061571708403e-88,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.07405380016032065,9.345862868607764e-85,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.07849643383767536,1.39307364857154e-81,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.08293906751503008,1.7887232280221335e-78,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.08738170119238478,1.978456987303433e-75,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.0918243348697395,1.8850569521707462e-72,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.0962669685470942,1.5471653677488473e-69,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.10070960222444891,1.0938641567104177e-66,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.10515223590180363,6.661997184425593e-64,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.10959486957915833,3.495102321499266e-61,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.11403750325651305,1.579536772441305e-58,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.11848013693386776,6.149134381331228e-56,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.12292277061122246,2.0621137776566603e-53,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.12736540428857718,5.956973394837535e-51,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.13180803796593188,1.482357973246107e-48,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.13625067164328658,3.1775685149201632e-46,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.14069330532064128,5.86747368139079e-44,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.145135938997996,9.333010911529135e-42,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.1495785726753507,1.2788122670705831e-39,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.15402120635270541,1.5094064807894501e-37,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.15846384003006014,1.534687740194097e-35,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.16290647370741485,1.3441515399005163e-33,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.16734910738476955,1.0141234863205883e-31,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.17179174106212428,6.590947378657981e-30,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.17623437473947898,3.689939491371756e-28,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.18067700841683368,1.7795288837360503e-26,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.18511964209418838,7.392736640412775e-25,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.1895622757715431,2.6455734619393214e-23,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.1940049094488978,8.155466582554242e-22,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.1984475431262525,2.1656695800028948e-20,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.20289017680360724,4.9539312676059e-19,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.20733281048096194,9.761625766247903e-18,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.21177544415831664,1.6569474235289992e-16,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.21621807783567137,2.4227561197620782e-15,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.22066071151302608,3.051582166275801e-14,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.22510334519038078,3.3109668809238873e-13,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2295459788677355,3.0945607240214664e-12,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2339886125450902,2.4914811087017277e-11,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2384312462224449,1.727947878643908e-10,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.24287387989979964,1.032329218746939e-09,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.24731651357715434,5.312764773074353e-09,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.25175914725450904,2.3552575552091747e-08,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2562017809318638,8.994426406544806e-08,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2606444146092185,2.958902685399529e-07,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2650870482865732,8.385392305845194e-07,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2695296819639279,2.0473314116119953e-06,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.2739723156412826,4.307502127230252e-06,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.27841494931863736,7.814709451539196e-06,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.28285758299599206,1.2246654142526714e-05,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
0.28730021667334676,1.6659279714313815e-05,width_mu,malE-rbsB-fliC-KO,acetate,malE,10.0
