lower,upper,quantity,interval,growth_rate_hr
0.028813245,0.38792515,phi_peri_rep,95%,0.0
0.0494819375,0.20739174999999999,phi_peri_rep,75%,0.0
0.066161175,0.14921075,phi_peri_rep,50%,0.0
0.0815341125,0.118712,phi_peri_rep,25%,0.0
0.09034456,0.10563655000000004,phi_peri_rep,10%,0.0
0.09725685,0.09725685,phi_peri_rep,median,0.0
0.030072522500000004,0.36339327500000007,phi_peri_rep,95%,0.003103103103103103
0.0495089125,0.2015335,phi_peri_rep,75%,0.003103103103103103
0.0658567,0.14643250000000002,phi_peri_rep,50%,0.003103103103103103
0.08055517499999999,0.11805075000000001,phi_peri_rep,25%,0.003103103103103103
0.09069623,0.10627120000000001,phi_peri_rep,10%,0.003103103103103103
0.09835540000000001,0.09835540000000001,phi_peri_rep,median,0.003103103103103103
0.028229315,0.34610902500000007,phi_peri_rep,95%,0.006206206206206206
0.050087475,0.203377875,phi_peri_rep,75%,0.006206206206206206
0.0658908,0.1452195,phi_peri_rep,50%,0.006206206206206206
0.081656425,0.1168035,phi_peri_rep,25%,0.006206206206206206
0.091041805,0.10500575000000001,phi_peri_rep,10%,0.006206206206206206
0.09761030000000001,0.09761030000000001,phi_peri_rep,median,0.006206206206206206
0.028381405000000002,0.38740400000000036,phi_peri_rep,95%,0.009309309309309309
0.05019095,0.20342437500000002,phi_peri_rep,75%,0.009309309309309309
0.065938875,0.14803475,phi_peri_rep,50%,0.009309309309309309
0.0814723125,0.117849125,phi_peri_rep,25%,0.009309309309309309
0.091528485,0.10576765,phi_peri_rep,10%,0.009309309309309309
0.0989457,0.0989457,phi_peri_rep,median,0.009309309309309309
0.0284158875,0.35254027500000007,phi_peri_rep,95%,0.012412412412412413
0.0499157875,0.1992035,phi_peri_rep,75%,0.012412412412412413
0.06593405,0.1446525,phi_peri_rep,50%,0.012412412412412413
0.0814268875,0.116546625,phi_peri_rep,25%,0.012412412412412413
0.090771525,0.10535979999999999,phi_peri_rep,10%,0.012412412412412413
0.0971423,0.0971423,phi_peri_rep,median,0.012412412412412413
0.0270526025,0.35751292500000004,phi_peri_rep,95%,0.015515515515515516
0.0492499375,0.20160937499999998,phi_peri_rep,75%,0.015515515515515516
0.06578195,0.14786275000000002,phi_peri_rep,50%,0.015515515515515516
0.08060116249999999,0.11747225,phi_peri_rep,25%,0.015515515515515516
0.090233295,0.10471710000000001,phi_peri_rep,10%,0.015515515515515516
0.09761375,0.09761375,phi_peri_rep,median,0.015515515515515516
0.028607785,0.37515622500000007,phi_peri_rep,95%,0.018618618618618618
0.0494488625,0.19496575,phi_peri_rep,75%,0.018618618618618618
0.06580925,0.14478575,phi_peri_rep,50%,0.018618618618618618
0.0813298,0.116187375,phi_peri_rep,25%,0.018618618618618618
0.08989363,0.10384365000000002,phi_peri_rep,10%,0.018618618618618618
0.0964178,0.0964178,phi_peri_rep,median,0.018618618618618618
0.02835365,0.356517025,phi_peri_rep,95%,0.021721721721721723
0.048339825,0.2017715,phi_peri_rep,75%,0.021721721721721723
0.06433517500000001,0.1437795,phi_peri_rep,50%,0.021721721721721723
0.07888948750000001,0.11690112500000001,phi_peri_rep,25%,0.021721721721721723
0.08866667499999999,0.1036374,phi_peri_rep,10%,0.021721721721721723
0.09578805,0.09578805,phi_peri_rep,median,0.021721721721721723
0.0278042425,0.3494876,phi_peri_rep,95%,0.024824824824824825
0.049605025000000004,0.1972195,phi_peri_rep,75%,0.024824824824824825
0.0649535,0.14225749999999998,phi_peri_rep,50%,0.024824824824824825
0.080014725,0.11615275,phi_peri_rep,25%,0.024824824824824825
0.08868948,0.10348165000000002,phi_peri_rep,10%,0.024824824824824825
0.0957949,0.0957949,phi_peri_rep,median,0.024824824824824825
0.0269819525,0.3866622750000003,phi_peri_rep,95%,0.027927927927927927
0.0492362625,0.1977495,phi_peri_rep,75%,0.027927927927927927
0.0661154,0.14634525,phi_peri_rep,50%,0.027927927927927927
0.0817926625,0.1178345,phi_peri_rep,25%,0.027927927927927927
0.09179987499999999,0.10647005000000001,phi_peri_rep,10%,0.027927927927927927
0.0979807,0.0979807,phi_peri_rep,median,0.027927927927927927
0.02491089,0.3577503250000001,phi_peri_rep,95%,0.031031031031031032
0.0475906625,0.193218,phi_peri_rep,75%,0.031031031031031032
0.064115775,0.1413215,phi_peri_rep,50%,0.031031031031031032
0.079579625,0.11503125,phi_peri_rep,25%,0.031031031031031032
0.089027515,0.1027562,phi_peri_rep,10%,0.031031031031031032
0.095394,0.095394,phi_peri_rep,median,0.031031031031031032
0.028473342500000005,0.36200647500000016,phi_peri_rep,95%,0.03413413413413414
0.048820987499999996,0.19856375,phi_peri_rep,75%,0.03413413413413414
0.0651629,0.142739,phi_peri_rep,50%,0.03413413413413414
0.0792540125,0.11507437499999999,phi_peri_rep,25%,0.03413413413413414
0.08936216,0.10302790000000002,phi_peri_rep,10%,0.03413413413413414
0.0964184,0.0964184,phi_peri_rep,median,0.03413413413413414
0.026346645000000002,0.355677675,phi_peri_rep,95%,0.037237237237237236
0.0475632125,0.195883375,phi_peri_rep,75%,0.037237237237237236
0.064238825,0.14196875,phi_peri_rep,50%,0.037237237237237236
0.0787048125,0.113091,phi_peri_rep,25%,0.037237237237237236
0.08737719,0.10182050000000002,phi_peri_rep,10%,0.037237237237237236
0.0947026,0.0947026,phi_peri_rep,median,0.037237237237237236
0.026689535,0.35925422500000004,phi_peri_rep,95%,0.04034034034034034
0.0495825125,0.199761125,phi_peri_rep,75%,0.04034034034034034
