value,kde,parameter,strain,carbon_source,overexpression,inducer_conc_ng_mL
0.000402468,0.0,phi_peri,lpp14,acetate,none,0.0
0.000804936,0.0,phi_peri,lpp14,acetate,none,0.0
0.001207404,0.0,phi_peri,lpp14,acetate,none,0.0
0.0016098719999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.0020123399999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.0024148079999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.0028172759999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.0032197439999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.0036222119999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.004024679999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.004427147999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.004829616,0.0,phi_peri,lpp14,acetate,none,0.0
0.005232084,0.0,phi_peri,lpp14,acetate,none,0.0
0.005634551999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.006037019999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.006439488,0.0,phi_peri,lpp14,acetate,none,0.0
0.006841956,0.0,phi_peri,lpp14,acetate,none,0.0
0.007244423999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.007646891999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.008049359999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.008451827999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.008854296,0.0,phi_peri,lpp14,acetate,none,0.0
0.009256763999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.009659231999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.010061699999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.010464167999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.010866635999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.011269103999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.011671571999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.012074039999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.012476507999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.012878975999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.013281443999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.013683911999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.014086379999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.014488847999999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.014891315999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.015293783999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.015696251999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.016098719999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.016501187999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.016903655999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.017306124,0.0,phi_peri,lpp14,acetate,none,0.0
0.017708592,0.0,phi_peri,lpp14,acetate,none,0.0
0.01811106,0.0,phi_peri,lpp14,acetate,none,0.0
0.018513527999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.018915995999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.019318463999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.019720931999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.020123399999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.020525867999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.020928336,0.0,phi_peri,lpp14,acetate,none,0.0
0.021330804,0.0,phi_peri,lpp14,acetate,none,0.0
0.021733271999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.022135739999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.022538207999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.022940675999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.023343143999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.023745611999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.024148079999999995,0.0,phi_peri,lpp14,acetate,none,0.0
0.024550548,0.0,phi_peri,lpp14,acetate,none,0.0
0.024953015999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.025355483999999998,0.0,phi_peri,lpp14,acetate,none,0.0
0.025757951999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.026160419999999997,0.0,phi_peri,lpp14,acetate,none,0.0
0.026562887999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.026965355999999996,0.0,phi_peri,lpp14,acetate,none,0.0
0.027367823999999995,9e-323,phi_peri,lpp14,acetate,none,0.0
0.027770291999999995,2.41354730589279e-306,phi_peri,lpp14,acetate,none,0.0
0.028172759999999998,2.4342807327991736e-290,phi_peri,lpp14,acetate,none,0.0
0.028575227999999998,8.992023947854814e-275,phi_peri,lpp14,acetate,none,0.0
0.028977695999999997,1.2165114333543128e-259,phi_peri,lpp14,acetate,none,0.0
0.029380163999999997,6.027634113312289e-245,phi_peri,lpp14,acetate,none,0.0
0.029782631999999996,1.0938292085469583e-230,phi_peri,lpp14,acetate,none,0.0
0.030185099999999996,7.269827353641793e-217,phi_peri,lpp14,acetate,none,0.0
0.030587567999999996,1.769581727657951e-203,phi_peri,lpp14,acetate,none,0.0
0.030990035999999995,1.5775716756878053e-190,phi_peri,lpp14,acetate,none,0.0
0.031392503999999995,5.150857345308518e-178,phi_peri,lpp14,acetate,none,0.0
0.031794972,6.159449388465738e-166,phi_peri,lpp14,acetate,none,0.0
0.03219744,2.6975916390662766e-154,phi_peri,lpp14,acetate,none,0.0
0.032599908,4.326955907988244e-143,phi_peri,lpp14,acetate,none,0.0
0.033002376,2.541912984216379e-132,phi_peri,lpp14,acetate,none,0.0
0.033404843999999996,5.469036682098664e-122,phi_peri,lpp14,acetate,none,0.0
0.033807312,4.309560083986036e-112,phi_peri,lpp14,acetate,none,0.0
0.03420978,1.2437325220524401e-102,phi_peri,lpp14,acetate,none,0.0
0.034612248,1.3145980641228164e-93,phi_peri,lpp14,acetate,none,0.0
0.035014716,5.088982214244978e-85,phi_peri,lpp14,acetate,none,0.0
0.035417184,7.215074580278738e-77,phi_peri,lpp14,acetate,none,0.0
0.035819652,3.7464734841498955e-69,phi_peri,lpp14,acetate,none,0.0
0.03622212,7.124861864441291e-62,phi_peri,lpp14,acetate,none,0.0
0.036624588,4.9625189849115714e-55,phi_peri,lpp14,acetate,none,0.0
0.037027055999999996,1.2659013432721017e-48,phi_peri,lpp14,acetate,none,0.0
0.037429524,1.1826860850702257e-42,phi_peri,lpp14,acetate,none,0.0
0.037831992,4.046793656360203e-37,phi_peri,lpp14,acetate,none,0.0
0.03823446,5.071361635389673e-32,phi_peri,lpp14,acetate,none,0.0
0.038636928,2.3276091096081108e-27,phi_peri,lpp14,acetate,none,0.0
