lower,upper,quantity,interval,source,growth_rate_hr
8.062223750000001,7.85773875,ms_m_peri,25%,Mori et al. 2021,0.7701635339554948
7.958589999999999,7.958589999999999,ms_m_peri,median,Mori et al. 2021,0.7701635339554948
7.819253,9.212751249999998,ms_m_peri,95%,Mori et al. 2021,0.81
8.107217499999999,8.91256875,ms_m_peri,75%,Mori et al. 2021,0.81
8.62106375,8.4018525,ms_m_peri,25%,Mori et al. 2021,0.81
8.50715,8.50715,ms_m_peri,median,Mori et al. 2021,0.81
7.369286,8.677652250000001,ms_m_peri,95%,Mori et al. 2021,0.8317766166719343
7.64080875,8.393600000000001,ms_m_peri,75%,Mori et al. 2021,0.8317766166719343
8.12105375,7.9124225,ms_m_peri,25%,Mori et al. 2021,0.8317766166719343
8.012425,8.012425,ms_m_peri,median,Mori et al. 2021,0.8317766166719343
7.074033,8.325338250000001,ms_m_peri,95%,Mori et al. 2021,0.8487516496652392
7.3330062499999995,8.05266125,ms_m_peri,75%,Mori et al. 2021,0.8487516496652392
7.793265,7.59513,ms_m_peri,25%,Mori et al. 2021,0.8487516496652392
7.689435,7.689435,ms_m_peri,median,Mori et al. 2021,0.8487516496652392
7.6451325,8.99271925,ms_m_peri,95%,Mori et al. 2021,0.9041050181216675
7.92805375,8.707139999999999,ms_m_peri,75%,Mori et al. 2021,0.9041050181216675
8.423282500000001,8.2110125,ms_m_peri,25%,Mori et al. 2021,0.9041050181216675
8.313690000000001,8.313690000000001,ms_m_peri,median,Mori et al. 2021,0.9041050181216675
7.579505,8.98036,ms_m_peri,95%,Mori et al. 2021,1.1240224549620734
7.8805,8.6605775,ms_m_peri,75%,Mori et al. 2021,1.1240224549620734
8.38176375,8.16541125,ms_m_peri,25%,Mori et al. 2021,1.1240224549620734
8.277135,8.277135,ms_m_peri,median,Mori et al. 2021,1.1240224549620734
9.336444,11.6934,ms_m_peri,95%,Peebo et al. 2015,0.21
9.80995,11.1811375,ms_m_peri,75%,Peebo et al. 2015,0.21
10.6705375,10.2907,ms_m_peri,25%,Peebo et al. 2015,0.21
10.47265,10.47265,ms_m_peri,median,Peebo et al. 2015,0.21
8.475905,10.6042225,ms_m_peri,95%,Peebo et al. 2015,0.22
8.90435875,10.144,ms_m_peri,75%,Peebo et al. 2015,0.22
9.683304999999999,9.34147875,ms_m_peri,25%,Peebo et al. 2015,0.22
9.505030000000001,9.505030000000001,ms_m_peri,median,Peebo et al. 2015,0.22
9.17569725,11.421710000000001,ms_m_peri,95%,Peebo et al. 2015,0.25
9.62267125,10.93905,ms_m_peri,75%,Peebo et al. 2015,0.25
10.452075,10.09,ms_m_peri,25%,Peebo et al. 2015,0.25
10.2631,10.2631,ms_m_peri,median,Peebo et al. 2015,0.25
8.35281825,10.381815,ms_m_peri,95%,Peebo et al. 2015,0.26
8.753805,9.9453625,ms_m_peri,75%,Peebo et al. 2015,0.26
9.503525,9.1778075,ms_m_peri,25%,Peebo et al. 2015,0.26
9.335535,9.335535,ms_m_peri,median,Peebo et al. 2015,0.26
9.168089,11.31771,ms_m_peri,95%,Peebo et al. 2015,0.31
9.59439375,10.851424999999999,ms_m_peri,75%,Peebo et al. 2015,0.31
10.391975,10.0427625,ms_m_peri,25%,Peebo et al. 2015,0.31
10.21075,10.21075,ms_m_peri,median,Peebo et al. 2015,0.31
10.091735,12.3962825,ms_m_peri,95%,Peebo et al. 2015,0.35
10.5548,11.8988,ms_m_peri,75%,Peebo et al. 2015,0.35
11.406575,11.0341,ms_m_peri,25%,Peebo et al. 2015,0.35
11.21565,11.21565,ms_m_peri,median,Peebo et al. 2015,0.35
7.68798475,9.4355135,ms_m_peri,95%,Peebo et al. 2015,0.36
8.044912499999999,9.059531250000001,ms_m_peri,75%,Peebo et al. 2015,0.36
8.68774375,8.40454125,ms_m_peri,25%,Peebo et al. 2015,0.36
8.542445,8.542445,ms_m_peri,median,Peebo et al. 2015,0.36
7.0122445,8.55120275,ms_m_peri,95%,Peebo et al. 2015,0.41
7.32698,8.21949375,ms_m_peri,75%,Peebo et al. 2015,0.41
7.889911250000001,7.6428625,ms_m_peri,25%,Peebo et al. 2015,0.41
7.767415,7.767415,ms_m_peri,median,Peebo et al. 2015,0.41
11.116385000000001,13.546225000000002,ms_m_peri,95%,Peebo et al. 2015,0.42
11.6176625,13.020975,ms_m_peri,75%,Peebo et al. 2015,0.42
12.5001125,12.1131,ms_m_peri,25%,Peebo et al. 2015,0.42
12.3079,12.3079,ms_m_peri,median,Peebo et al. 2015,0.42
9.76360975,11.850805,ms_m_peri,95%,Peebo et al. 2015,0.45
10.194325,11.3981625,ms_m_peri,75%,Peebo et al. 2015,0.45
10.9477875,10.618325,ms_m_peri,25%,Peebo et al. 2015,0.45
10.78655,10.78655,ms_m_peri,median,Peebo et al. 2015,0.45
6.121786,7.419185250000001,ms_m_peri,95%,Peebo et al. 2015,0.46
6.3869912499999995,7.136835,ms_m_peri,75%,Peebo et al. 2015,0.46
6.858285,6.651307500000001,ms_m_peri,25%,Peebo et al. 2015,0.46
6.757015,6.757015,ms_m_peri,median,Peebo et al. 2015,0.46
5.562276000000001,6.70224525,ms_m_peri,95%,Peebo et al. 2015,0.51
5.792995,6.4526475,ms_m_peri,75%,Peebo et al. 2015,0.51
6.21043375,6.02799875,ms_m_peri,25%,Peebo et al. 2015,0.51
6.119635,6.119635,ms_m_peri,median,Peebo et al. 2015,0.51
9.08039725,10.909225000000001,ms_m_peri,95%,Peebo et al. 2015,0.53
9.4485425,10.51325,ms_m_peri,75%,Peebo et al. 2015,0.53
10.1212375,9.82663875,ms_m_peri,25%,Peebo et al. 2015,0.53
9.97419,9.97419,ms_m_peri,median,Peebo et al. 2015,0.53
8.57778725,10.274855,ms_m_peri,95%,Peebo et al. 2015,0.55
8.92259625,9.9121575,ms_m_peri,75%,Peebo et al. 2015,0.55
9.5483425,9.27504875,ms_m_peri,25%,Peebo et al. 2015,0.55
9.411795,9.411795,ms_m_peri,median,Peebo et al. 2015,0.55
10.487119999999999,12.456085,ms_m_peri,95%,Peebo et al. 2015,0.63
10.8855875,12.032425,ms_m_peri,75%,Peebo et al. 2015,0.63
11.6169875,11.2971,ms_m_peri,25%,Peebo et al. 2015,0.63
11.45885,11.45885,ms_m_peri,median,Peebo et al. 2015,0.63
9.07741525,10.782585000000001,ms_m_peri,95%,Peebo et al. 2015,0.65
9.43070125,10.4072,ms_m_peri,75%,Peebo et al. 2015,0.65
10.0546875,9.78258875,ms_m_peri,25%,Peebo et al. 2015,0.65
9.921,9.921,ms_m_peri,median,Peebo et al. 2015,0.65
14.658262500000001,17.333625,ms_m_peri,95%,Peebo et al. 2015,0.73
15.207925,16.7491,ms_m_peri,75%,Peebo et al. 2015,0.73
16.190037500000003,15.772237500000001,ms_m_peri,25%,Peebo et al. 2015,0.73
15.98095,15.98095,ms_m_peri,median,Peebo et al. 2015,0.73
9.121103499999998,10.775414999999999,ms_m_peri,95%,Peebo et al. 2015,0.74
9.45822625,10.4132,ms_m_peri,75%,Peebo et al. 2015,0.74
10.068774999999999,9.80988625,ms_m_peri,25%,Peebo et al. 2015,0.74
9.94023,9.94023,ms_m_peri,median,Peebo et al. 2015,0.74
7.59960775,8.95705175,ms_m_peri,95%,Peebo et al. 2015,0.78
7.8761575,8.66292375,ms_m_peri,75%,Peebo et al. 2015,0.78
8.37736125,8.16632,ms_m_peri,25%,Peebo et al. 2015,0.78
8.270275,8.270275,ms_m_peri,median,Peebo et al. 2015,0.78
3.15376975,3.71599025,ms_m_peri,95%,Peebo et al. 2015,0.82
3.27053,3.59413625,ms_m_peri,75%,Peebo et al. 2015,0.82
3.4770575,3.3880725,ms_m_peri,25%,Peebo et al. 2015,0.82
3.43045,3.43045,ms_m_peri,median,Peebo et al. 2015,0.82
8.294534,10.55781,ms_m_peri,95%,Schmidt et al. 2016,0.12
8.7578525,10.069025,ms_m_peri,75%,Schmidt et al. 2016,0.12
9.5777575,9.2199875,ms_m_peri,25%,Schmidt et al. 2016,0.12
9.38374,9.38374,ms_m_peri,median,Schmidt et al. 2016,0.12
9.245323749999999,11.6037775,ms_m_peri,95%,Schmidt et al. 2016,0.2
9.7180725,11.0885,ms_m_peri,75%,Schmidt et al. 2016,0.2
10.57815,10.1990625,ms_m_peri,25%,Schmidt et al. 2016,0.2
10.379999999999999,10.379999999999999,ms_m_peri,median,Schmidt et al. 2016,0.2
11.3946425,14.1625225,ms_m_peri,95%,Schmidt et al. 2016,0.26
11.9416375,13.5670625,ms_m_peri,75%,Schmidt et al. 2016,0.26
12.964375,12.520025,ms_m_peri,25%,Schmidt et al. 2016,0.26
12.735199999999999,12.735199999999999,ms_m_peri,median,Schmidt et al. 2016,0.26
7.2692185,8.985727,ms_m_peri,95%,Schmidt et al. 2016,0.3
7.6080425,8.61462375,ms_m_peri,75%,Schmidt et al. 2016,0.3
8.247512500000001,7.96815875,ms_m_peri,25%,Schmidt et al. 2016,0.3
8.102475,8.102475,ms_m_peri,median,Schmidt et al. 2016,0.3
10.1097325,12.4182825,ms_m_peri,95%,Schmidt et al. 2016,0.35
10.5736,11.9199,ms_m_peri,75%,Schmidt et al. 2016,0.35
11.426874999999999,11.0537,ms_m_peri,25%,Schmidt et al. 2016,0.35
11.23555,11.23555,ms_m_peri,median,Schmidt et al. 2016,0.35
8.911431,10.87921,ms_m_peri,95%,Schmidt et al. 2016,0.4
9.31158,10.4517375,ms_m_peri,75%,Schmidt et al. 2016,0.4
10.0322,9.71498375,ms_m_peri,25%,Schmidt et al. 2016,0.4
9.87357,9.87357,ms_m_peri,median,Schmidt et al. 2016,0.4
9.996965750000001,12.1821225,ms_m_peri,95%,Schmidt et al. 2016,0.42
10.447675,11.7097625,ms_m_peri,75%,Schmidt et al. 2016,0.42
11.2413125,10.8932625,ms_m_peri,25%,Schmidt et al. 2016,0.42
11.068449999999999,11.068449999999999,ms_m_peri,median,Schmidt et al. 2016,0.42
9.553670499999999,11.6084525,ms_m_peri,95%,Schmidt et al. 2016,0.44
9.97794,11.1658375,ms_m_peri,75%,Schmidt et al. 2016,0.44
10.7237,10.39835,ms_m_peri,25%,Schmidt et al. 2016,0.44
10.56295,10.56295,ms_m_peri,median,Schmidt et al. 2016,0.44
9.05765375,10.9772275,ms_m_peri,95%,Schmidt et al. 2016,0.46
9.45004625,10.5595,ms_m_peri,75%,Schmidt et al. 2016,0.46
10.147337499999999,9.841111249999999,ms_m_peri,25%,Schmidt et al. 2016,0.46
9.997515,9.997515,ms_m_peri,median,Schmidt et al. 2016,0.46
9.089986,12.381852499999999,ms_m_peri,95%,Schmidt et al. 2016,0.47
9.55333375,11.838925,ms_m_peri,75%,Schmidt et al. 2016,0.47
11.118475,10.171050000000001,ms_m_peri,25%,Schmidt et al. 2016,0.47
10.6064,10.6064,ms_m_peri,median,Schmidt et al. 2016,0.47
8.806242249999999,10.622720000000001,ms_m_peri,95%,Schmidt et al. 2016,0.5
9.16997125,10.2239125,ms_m_peri,75%,Schmidt et al. 2016,0.5
9.836288750000001,9.54549875,ms_m_peri,25%,Schmidt et al. 2016,0.5
9.691089999999999,9.691089999999999,ms_m_peri,median,Schmidt et al. 2016,0.5
6.84389525,10.655935,ms_m_peri,95%,Schmidt et al. 2016,0.55
7.178353749999999,10.214875000000001,ms_m_peri,75%,Schmidt et al. 2016,0.55
9.603931249999999,7.6348825,ms_m_peri,25%,Schmidt et al. 2016,0.55
8.524145,8.524145,ms_m_peri,median,Schmidt et al. 2016,0.55
7.5261325,8.990401499999999,ms_m_peri,95%,Schmidt et al. 2016,0.58
7.8241375,8.67509,ms_m_peri,75%,Schmidt et al. 2016,0.58
8.36493625,8.128935,ms_m_peri,25%,Schmidt et al. 2016,0.58
8.247755,8.247755,ms_m_peri,median,Schmidt et al. 2016,0.58
10.50832,12.4812875,ms_m_peri,95%,Schmidt et al. 2016,0.63
10.9075875,12.056812500000001,ms_m_peri,75%,Schmidt et al. 2016,0.63
11.6404875,11.32,ms_m_peri,25%,Schmidt et al. 2016,0.63
11.48195,11.48195,ms_m_peri,median,Schmidt et al. 2016,0.63
8.298337250000001,9.857147000000001,ms_m_peri,95%,Schmidt et al. 2016,0.65
8.6213025,9.51398125,ms_m_peri,75%,Schmidt et al. 2016,0.65
9.19171125,8.94298375,ms_m_peri,25%,Schmidt et al. 2016,0.65
9.06952,9.06952,ms_m_peri,median,Schmidt et al. 2016,0.65
7.12815475,8.461565250000001,ms_m_peri,95%,Schmidt et al. 2016,0.66
7.4071425,8.168244999999999,ms_m_peri,75%,Schmidt et al. 2016,0.66
7.8919175,7.6807425,ms_m_peri,25%,Schmidt et al. 2016,0.66
7.78826,7.78826,ms_m_peri,median,Schmidt et al. 2016,0.66
13.338815,15.95485,ms_m_peri,95%,Schmidt et al. 2016,1.27
13.875225,15.354387500000001,ms_m_peri,75%,Schmidt et al. 2016,1.27
14.8166125,14.407987499999999,ms_m_peri,25%,Schmidt et al. 2016,1.27
14.61875,14.61875,ms_m_peri,median,Schmidt et al. 2016,1.27
14.037912500000001,18.383427500000003,ms_m_peri,95%,Schmidt et al. 2016,1.9
14.870225,17.35745,ms_m_peri,75%,Schmidt et al. 2016,1.9
16.422,15.7509625,ms_m_peri,25%,Schmidt et al. 2016,1.9
16.110599999999998,16.110599999999998,ms_m_peri,median,Schmidt et al. 2016,1.9
11.5189,13.649505,ms_m_peri,95%,Soufi et al. 2015,0.6931471805599453
11.9571375,13.1824625,ms_m_peri,75%,Soufi et al. 2015,0.6931471805599453
12.7400125,12.403025,ms_m_peri,25%,Soufi et al. 2015,0.6931471805599453
12.5713,12.5713,ms_m_peri,median,Soufi et al. 2015,0.6931471805599453
71.55235250000001,90.508785,ms_rho_peri,95%,Caglar et al. 2017,0.6630116912775283
75.124,86.3457,ms_rho_peri,75%,Caglar et al. 2017,0.6630116912775283
82.1054,78.8815,ms_rho_peri,25%,Caglar et al. 2017,0.6630116912775283
80.56530000000001,80.56530000000001,ms_rho_peri,median,Caglar et al. 2017,0.6630116912775283
61.17506,76.89401,ms_rho_peri,95%,Caglar et al. 2017,0.7747553284413429
64.2229625,73.311025,ms_rho_peri,75%,Caglar et al. 2017,0.7747553284413429
69.943375,67.28773749999999,ms_rho_peri,25%,Caglar et al. 2017,0.7747553284413429
68.69704999999999,68.69704999999999,ms_rho_peri,median,Caglar et al. 2017,0.7747553284413429
72.9233375,91.9596825,ms_rho_peri,95%,Li et al. 2014,0.738700370046123
76.67045,87.687225,ms_rho_peri,75%,Li et al. 2014,0.738700370046123
83.5671375,80.379325,ms_rho_peri,25%,Li et al. 2014,0.738700370046123
82.0452,82.0452,ms_rho_peri,median,Li et al. 2014,0.738700370046123
60.016357500000005,77.66876500000001,ms_rho_peri,95%,Li et al. 2014,1.5693898427772346
63.5050875,73.9545375,ms_rho_peri,75%,Li et al. 2014,1.5693898427772346
69.9697625,67.1254375,ms_rho_peri,25%,Li et al. 2014,1.5693898427772346
68.49515,68.49515,ms_rho_peri,median,Li et al. 2014,1.5693898427772346
30.560004999999997,41.2339825,ms_rho_peri,95%,Li et al. 2014,1.934364224818452
32.607775000000004,38.872975,ms_rho_peri,75%,Li et al. 2014,1.934364224818452
36.486475,34.7672125,ms_rho_peri,25%,Li et al. 2014,1.934364224818452
35.5848,35.5848,ms_rho_peri,median,Li et al. 2014,1.934364224818452
107.08612500000001,146.66420000000002,ms_rho_peri,95%,Mori et al. 2021,0.33
114.42575000000001,138.006,ms_rho_peri,75%,Mori et al. 2021,0.33
128.73525,122.29425,ms_rho_peri,25%,Mori et al. 2021,0.33
125.436,125.436,ms_rho_peri,median,Mori et al. 2021,0.33
106.003575,144.52830000000003,ms_rho_peri,95%,Mori et al. 2021,0.34
113.07987499999999,136.081875,ms_rho_peri,75%,Mori et al. 2021,0.34
127.033375,120.7495,ms_rho_peri,25%,Mori et al. 2021,0.34
123.8065,123.8065,ms_rho_peri,median,Mori et al. 2021,0.34
107.597525,146.20407500000002,ms_rho_peri,95%,Mori et al. 2021,0.35
114.687,137.763375,ms_rho_peri,75%,Mori et al. 2021,0.35
128.665125,122.424625,ms_rho_peri,25%,Mori et al. 2021,0.35
125.4845,125.4845,ms_rho_peri,median,Mori et al. 2021,0.35
94.6288175,123.41977500000002,ms_rho_peri,95%,Mori et al. 2021,0.48
99.8950875,117.212,ms_rho_peri,75%,Mori et al. 2021,0.48
110.574,105.6755,ms_rho_peri,25%,Mori et al. 2021,0.48
108.14250000000001,108.14250000000001,ms_rho_peri,median,Mori et al. 2021,0.48
100.31835,130.55655000000002,ms_rho_peri,95%,Mori et al. 2021,0.4892803627481966
105.863625,124.09400000000001,ms_rho_peri,75%,Mori et al. 2021,0.4892803627481966
117.08462499999999,111.94449999999999,ms_rho_peri,25%,Mori et al. 2021,0.4892803627481966
114.551,114.551,ms_rho_peri,median,Mori et al. 2021,0.4892803627481966
93.3305975,121.43745,ms_rho_peri,95%,Mori et al. 2021,0.49
98.490675,115.4395,ms_rho_peri,75%,Mori et al. 2021,0.49
108.920875,104.1435,ms_rho_peri,25%,Mori et al. 2021,0.49
106.5635,106.5635,ms_rho_peri,median,Mori et al. 2021,0.49
92.2841725,119.85205,ms_rho_peri,95%,Mori et al. 2021,0.5
97.3264,113.934125,ms_rho_peri,75%,Mori et al. 2021,0.5
107.57374999999999,102.879875,ms_rho_peri,25%,Mori et al. 2021,0.5
105.277,105.277,ms_rho_peri,median,Mori et al. 2021,0.5
68.341845,88.74504,ms_rho_peri,95%,Mori et al. 2021,0.5010702510071894
72.0711625,84.3602625,ms_rho_peri,75%,Mori et al. 2021,0.5010702510071894
79.65845,76.17938749999999,ms_rho_peri,25%,Mori et al. 2021,0.5010702510071894
77.963,77.963,ms_rho_peri,median,Mori et al. 2021,0.5010702510071894
94.31686499999999,121.363625,ms_rho_peri,95%,Mori et al. 2021,0.55
99.343075,115.51925,ms_rho_peri,75%,Mori et al. 2021,0.55
109.36862500000001,104.734,ms_rho_peri,25%,Mori et al. 2021,0.55
107.155,107.155,ms_rho_peri,median,Mori et al. 2021,0.55
63.620075,80.478065,ms_rho_peri,95%,Mori et al. 2021,0.6817841120261757
66.850275,76.7504625,ms_rho_peri,75%,Mori et al. 2021,0.6817841120261757
73.04225000000001,70.1780125,ms_rho_peri,25%,Mori et al. 2021,0.6817841120261757
71.64155,71.64155,ms_rho_peri,median,Mori et al. 2021,0.6817841120261757
74.43165250000001,94.03965,ms_rho_peri,95%,Mori et al. 2021,0.71
78.284075,89.63275,ms_rho_peri,75%,Mori et al. 2021,0.71
85.373425,82.1185125,ms_rho_peri,25%,Mori et al. 2021,0.71
83.78195,83.78195,ms_rho_peri,median,Mori et al. 2021,0.71
70.4985775,88.9868475,ms_rho_peri,95%,Mori et al. 2021,0.72
74.1217,84.828025,ms_rho_peri,75%,Mori et al. 2021,0.72
80.8140875,77.73705,ms_rho_peri,25%,Mori et al. 2021,0.72
79.32145,79.32145,ms_rho_peri,median,Mori et al. 2021,0.72
54.035250000000005,67.94166750000001,ms_rho_peri,95%,Mori et al. 2021,0.7701635339554948
56.724250000000005,64.7923125,ms_rho_peri,75%,Mori et al. 2021,0.7701635339554948
61.8050125,59.4561375,ms_rho_peri,25%,Mori et al. 2021,0.7701635339554948
60.6882,60.6882,ms_rho_peri,median,Mori et al. 2021,0.7701635339554948
56.0188175,70.2523525,ms_rho_peri,95%,Mori et al. 2021,0.81
58.7561375,67.032475,ms_rho_peri,75%,Mori et al. 2021,0.81
63.9767,61.577625,ms_rho_peri,25%,Mori et al. 2021,0.81
62.8307,62.8307,ms_rho_peri,median,Mori et al. 2021,0.81
51.886224999999996,65.02203,ms_rho_peri,95%,Mori et al. 2021,0.8317766166719343
54.411825,62.0482875,ms_rho_peri,75%,Mori et al. 2021,0.8317766166719343
59.2315875,57.0391375,ms_rho_peri,25%,Mori et al. 2021,0.8317766166719343
58.15975,58.15975,ms_rho_peri,median,Mori et al. 2021,0.8317766166719343
49.170725000000004,61.54967,ms_rho_peri,95%,Mori et al. 2021,0.8487516496652392
51.540037500000004,58.751175,ms_rho_peri,75%,Mori et al. 2021,0.8487516496652392
56.1095375,54.0086125,ms_rho_peri,25%,Mori et al. 2021,0.8487516496652392
55.08365,55.08365,ms_rho_peri,median,Mori et al. 2021,0.8487516496652392
51.0623025,63.7522175,ms_rho_peri,95%,Mori et al. 2021,0.9041050181216675
