source,growth_rate_hr,quantity,interval,lower,upper
Mori et al. 2021,0.81,ms_rho_mem_inner,median,2.015405,2.015405
Mori et al. 2021,0.6817841120261757,ms_rho_mem_inner,95%,1.83828675,2.4386685
Mori et al. 2021,0.6817841120261757,ms_rho_mem_inner,75%,1.94909875,2.2923675
Mori et al. 2021,0.6817841120261757,ms_rho_mem_inner,25%,2.06430125,2.1578
Mori et al. 2021,0.6817841120261757,ms_rho_mem_inner,median,2.109095,2.109095
Mori et al. 2021,0.5010702510071894,ms_rho_mem_inner,95%,1.7749629999999998,2.5654435
Mori et al. 2021,0.5010702510071894,ms_rho_mem_inner,75%,1.907165,2.35591375
Mori et al. 2021,0.5010702510071894,ms_rho_mem_inner,25%,2.05439875,2.17472375
Mori et al. 2021,0.5010702510071894,ms_rho_mem_inner,median,2.114945,2.114945
Mori et al. 2021,1.1240224549620734,ms_rho_mem_inner,95%,1.9067372500000002,2.4232825
Mori et al. 2021,1.1240224549620734,ms_rho_mem_inner,75%,2.00204875,2.3043662499999997
Mori et al. 2021,1.1240224549620734,ms_rho_mem_inner,25%,2.10370375,2.18787
Mori et al. 2021,1.1240224549620734,ms_rho_mem_inner,median,2.14437,2.14437
Mori et al. 2021,0.8487516496652392,ms_rho_mem_inner,95%,2.05722,2.6170735
Mori et al. 2021,0.8487516496652392,ms_rho_mem_inner,75%,2.15792625,2.482285
Mori et al. 2021,0.8487516496652392,ms_rho_mem_inner,25%,2.26848375,2.35762875
Mori et al. 2021,0.8487516496652392,ms_rho_mem_inner,median,2.31271,2.31271
Mori et al. 2021,0.9041050181216675,ms_rho_mem_inner,95%,2.20823875,2.79755025
Mori et al. 2021,0.9041050181216675,ms_rho_mem_inner,75%,2.31638375,2.65658625
Mori et al. 2021,0.9041050181216675,ms_rho_mem_inner,25%,2.43093625,2.52490375
Mori et al. 2021,0.9041050181216675,ms_rho_mem_inner,median,2.476705,2.476705
Mori et al. 2021,0.8317766166719343,ms_rho_mem_inner,95%,1.91075525,2.43977375
Mori et al. 2021,0.8317766166719343,ms_rho_mem_inner,75%,2.00649875,2.31283875
Mori et al. 2021,0.8317766166719343,ms_rho_mem_inner,25%,2.111205,2.19507875
Mori et al. 2021,0.8317766166719343,ms_rho_mem_inner,median,2.15259,2.15259
Mori et al. 2021,0.7701635339554948,ms_rho_mem_inner,95%,1.91274725,2.47530325
Mori et al. 2021,0.7701635339554948,ms_rho_mem_inner,75%,2.0155624999999997,2.34067625
Mori et al. 2021,0.7701635339554948,ms_rho_mem_inner,25%,2.1250075,2.21380375
Mori et al. 2021,0.7701635339554948,ms_rho_mem_inner,median,2.1691000000000003,2.1691000000000003
Peebo et al. 2015,0.21,ms_rho_mem_inner,95%,0.7175401,1.3139585000000003
Peebo et al. 2015,0.21,ms_rho_mem_inner,75%,0.799965625,1.12615875
Peebo et al. 2015,0.21,ms_rho_mem_inner,25%,0.8975615,0.989425875
Peebo et al. 2015,0.21,ms_rho_mem_inner,median,0.9417015,0.9417015
Peebo et al. 2015,0.22,ms_rho_mem_inner,95%,0.723025825,1.30922675
Peebo et al. 2015,0.22,ms_rho_mem_inner,75%,0.80559925,1.12687
Peebo et al. 2015,0.22,ms_rho_mem_inner,25%,0.90149075,0.9925385
Peebo et al. 2015,0.22,ms_rho_mem_inner,median,0.945098,0.945098
Peebo et al. 2015,0.26,ms_rho_mem_inner,95%,0.7095213,1.231304
Peebo et al. 2015,0.26,ms_rho_mem_inner,75%,0.78511125,1.0737462500000001
Peebo et al. 2015,0.26,ms_rho_mem_inner,25%,0.87213925,0.954718375
Peebo et al. 2015,0.26,ms_rho_mem_inner,median,0.9113635,0.9113635
Peebo et al. 2015,0.31,ms_rho_mem_inner,95%,0.76797465,1.2729670000000002
Peebo et al. 2015,0.31,ms_rho_mem_inner,75%,0.8421805,1.12219
Peebo et al. 2015,0.31,ms_rho_mem_inner,25%,0.92869775,1.00823375
Peebo et al. 2015,0.31,ms_rho_mem_inner,median,0.9667049999999999,0.9667049999999999
Peebo et al. 2015,0.36,ms_rho_mem_inner,95%,0.805043975,1.2789275
Peebo et al. 2015,0.36,ms_rho_mem_inner,75%,0.878457,1.1421475
Peebo et al. 2015,0.36,ms_rho_mem_inner,25%,0.96096025,1.0353774999999998
Peebo et al. 2015,0.36,ms_rho_mem_inner,median,0.9969255,0.9969255
Peebo et al. 2015,0.41,ms_rho_mem_inner,95%,0.8238643000000001,1.2604005
Peebo et al. 2015,0.41,ms_rho_mem_inner,75%,0.893488,1.13893625
Peebo et al. 2015,0.41,ms_rho_mem_inner,25%,0.97120925,1.0391825
Peebo et al. 2015,0.41,ms_rho_mem_inner,median,1.005105,1.005105
Peebo et al. 2015,0.46,ms_rho_mem_inner,95%,0.8385628749999999,1.2416315
Peebo et al. 2015,0.46,ms_rho_mem_inner,75%,0.90582825,1.1335275
Peebo et al. 2015,0.46,ms_rho_mem_inner,25%,0.979436,1.04191
Peebo et al. 2015,0.46,ms_rho_mem_inner,median,1.0110350000000001,1.0110350000000001
Peebo et al. 2015,0.51,ms_rho_mem_inner,95%,0.8685967,1.2481997500000002
Peebo et al. 2015,0.51,ms_rho_mem_inner,75%,0.9324916249999999,1.1486687500000001
Peebo et al. 2015,0.51,ms_rho_mem_inner,25%,1.00301625,1.06160375
Peebo et al. 2015,0.51,ms_rho_mem_inner,median,1.03247,1.03247
Peebo et al. 2015,0.25,ms_rho_mem_inner,95%,0.6958504750000001,1.2198505
Peebo et al. 2015,0.25,ms_rho_mem_inner,75%,0.770816125,1.06090625
Peebo et al. 2015,0.25,ms_rho_mem_inner,25%,0.857984375,0.94082875
Peebo et al. 2015,0.25,ms_rho_mem_inner,median,0.8976035,0.8976035
Peebo et al. 2015,0.35,ms_rho_mem_inner,95%,0.749386125,1.199733
Peebo et al. 2015,0.35,ms_rho_mem_inner,75%,0.818733375,1.0695412499999999
Peebo et al. 2015,0.35,ms_rho_mem_inner,25%,0.89683675,0.96817525
Peebo et al. 2015,0.35,ms_rho_mem_inner,median,0.930443,0.930443
Peebo et al. 2015,0.42,ms_rho_mem_inner,95%,0.805606975,1.22354475
Peebo et al. 2015,0.42,ms_rho_mem_inner,75%,0.87289075,1.10956375
Peebo et al. 2015,0.42,ms_rho_mem_inner,25%,0.9477645,1.0137325000000001
Peebo et al. 2015,0.42,ms_rho_mem_inner,median,0.9806475,0.9806475
Peebo et al. 2015,0.45,ms_rho_mem_inner,95%,0.7590231000000001,1.1303442499999998
Peebo et al. 2015,0.45,ms_rho_mem_inner,75%,0.820597,1.0306087499999999
Peebo et al. 2015,0.45,ms_rho_mem_inner,25%,0.8879376250000001,0.9459021249999999
Peebo et al. 2015,0.45,ms_rho_mem_inner,median,0.9173804999999999,0.9173804999999999
Peebo et al. 2015,0.53,ms_rho_mem_inner,95%,0.820436775,1.1674909999999998
Peebo et al. 2015,0.53,ms_rho_mem_inner,75%,0.878665375,1.075865
Peebo et al. 2015,0.53,ms_rho_mem_inner,25%,0.943335625,0.996596125
Peebo et al. 2015,0.53,ms_rho_mem_inner,median,0.969997,0.969997
Peebo et al. 2015,0.55,ms_rho_mem_inner,95%,0.74873855,1.05233925
Peebo et al. 2015,0.55,ms_rho_mem_inner,75%,0.800153,0.973333875
Peebo et al. 2015,0.55,ms_rho_mem_inner,25%,0.85671475,0.9038722499999999
Peebo et al. 2015,0.55,ms_rho_mem_inner,median,0.8805305000000001,0.8805305000000001
Peebo et al. 2015,0.63,ms_rho_mem_inner,95%,0.847315125,1.1448705000000001
Peebo et al. 2015,0.63,ms_rho_mem_inner,75%,0.90070225,1.07200125
Peebo et al. 2015,0.63,ms_rho_mem_inner,25%,0.95819575,1.00519125
Peebo et al. 2015,0.63,ms_rho_mem_inner,median,0.981232,0.981232
Peebo et al. 2015,0.65,ms_rho_mem_inner,95%,0.788148425,1.0567215
Peebo et al. 2015,0.65,ms_rho_mem_inner,75%,0.8370730000000001,0.991372125
Peebo et al. 2015,0.65,ms_rho_mem_inner,25%,0.888629875,0.930715875
Peebo et al. 2015,0.65,ms_rho_mem_inner,median,0.9092795,0.9092795
Peebo et al. 2015,0.73,ms_rho_mem_inner,95%,0.84801525,1.1100365
Peebo et al. 2015,0.73,ms_rho_mem_inner,75%,0.8964791249999999,1.0463274999999999
Peebo et al. 2015,0.73,ms_rho_mem_inner,25%,0.94615225,0.987884
Peebo et al. 2015,0.73,ms_rho_mem_inner,median,0.9670135,0.9670135
Peebo et al. 2015,0.74,ms_rho_mem_inner,95%,0.86881955,1.1322215
Peebo et al. 2015,0.74,ms_rho_mem_inner,75%,0.9167001250000001,1.06846625
Peebo et al. 2015,0.74,ms_rho_mem_inner,25%,0.9674827500000001,1.0092625
Peebo et al. 2015,0.74,ms_rho_mem_inner,median,0.9882615,0.9882615
Peebo et al. 2015,0.78,ms_rho_mem_inner,95%,0.890611975,1.1495987500000002
Peebo et al. 2015,0.78,ms_rho_mem_inner,75%,0.938925,1.08875125
Peebo et al. 2015,0.78,ms_rho_mem_inner,25%,0.989334375,1.0302387499999999
Peebo et al. 2015,0.78,ms_rho_mem_inner,median,1.0095800000000001,1.0095800000000001
Peebo et al. 2015,0.82,ms_rho_mem_inner,95%,0.8955199,1.14612925
Peebo et al. 2015,0.82,ms_rho_mem_inner,75%,0.940826625,1.08607375
