quantity,phi_rib,mean_val,2sig_lower,2sig_upper,1sig_lower,1sig_upper
phi_mem_mu,0.0,0.12286238052500001,0.10670022500000001,0.13821005,0.11560088,0.13007032
phi_mem_mu,0.004545454545454545,0.12268768122500001,0.106911625,0.13764342499999999,0.11556836000000001,0.12975272
phi_mem_mu,0.00909090909090909,0.12251297397500001,0.107122,0.137134125,0.11557836,0.12939632
phi_mem_mu,0.013636363636363636,0.122338276675,0.1073339,0.136624675,0.115579,0.12904916
phi_mem_mu,0.01818181818181818,0.122163562675,0.1075153,0.13611410000000002,0.11555955999999999,0.12869016
phi_mem_mu,0.022727272727272728,0.12198887089999999,0.107695725,0.1355884,0.11556652,0.12834515999999999
phi_mem_mu,0.02727272727272727,0.121814163925,0.10788684999999999,0.135037475,0.11555452000000001,0.12799964
phi_mem_mu,0.031818181818181815,0.12163945505000001,0.1081599,0.134585325,0.11553868,0.12767696
phi_mem_mu,0.03636363636363636,0.12146474967500001,0.108274925,0.134097625,0.11554824,0.12734631999999999
phi_mem_mu,0.04090909090909091,0.121290047525,0.108471475,0.1336947,0.11549676,0.12702748
phi_mem_mu,0.045454545454545456,0.121115350575,0.108751225,0.13323327499999998,0.11548320000000001,0.12671132
phi_mem_mu,0.049999999999999996,0.1209406478,0.1090256,0.13278007500000003,0.115445,0.12637196
phi_mem_mu,0.05454545454545454,0.12076593635,0.1091928,0.132205775,0.11541384,0.12604316
phi_mem_mu,0.05909090909090909,0.1205912333,0.1093897,0.13172715000000002,0.11537584000000001,0.12571163999999999
phi_mem_mu,0.06363636363636363,0.12041652535,0.109606925,0.131113025,0.11535772,0.12536616
phi_mem_mu,0.06818181818181818,0.120241823575,0.109653,0.13053692500000003,0.11532688,0.1250208
phi_mem_mu,0.07272727272727272,0.120067119,0.10983195,0.13005715,0.11531168,0.12469996
phi_mem_mu,0.07727272727272727,0.1198924155,0.1099228,0.12953915,0.11528004,0.12439516
phi_mem_mu,0.08181818181818182,0.11971771875000001,0.11014195,0.129051025,0.11526868,0.12407416
phi_mem_mu,0.08636363636363636,0.119543008,0.11033280000000001,0.12859802499999998,0.11525604,0.12377060000000001
phi_mem_mu,0.09090909090909091,0.11936830849999999,0.11046170000000001,0.12812645,0.1152348,0.1234528
phi_mem_mu,0.09545454545454544,0.11919360600000001,0.110507625,0.1276731,0.11517652,0.12313916
phi_mem_mu,0.09999999999999999,0.11901889924999999,0.110640975,0.1271274,0.11510252,0.12283316
phi_mem_mu,0.10454545454545454,0.11884420025,0.110697425,0.12667307500000002,0.115049,0.12252732
phi_mem_mu,0.10909090909090909,0.118669487,0.11084625000000001,0.126222025,0.11502752000000001,0.122226
phi_mem_mu,0.11363636363636363,0.11849479099999999,0.110990275,0.12576305000000002,0.11499552,0.12191748
phi_mem_mu,0.11818181818181818,0.11832008574999998,0.11110925,0.12531835000000002,0.11495284,0.12161732
phi_mem_mu,0.12272727272727273,0.1181453765,0.111152925,0.124913375,0.114932,0.12131016
phi_mem_mu,0.12727272727272726,0.11797068075000001,0.111256275,0.1244871,0.114879,0.12099516
phi_mem_mu,0.1318181818181818,0.11779597750000001,0.111354975,0.12406645,0.1148152,0.12072716
phi_mem_mu,0.13636363636363635,0.11762127775,0.1115215,0.123710525,0.11474936000000001,0.120434
phi_mem_mu,0.1409090909090909,0.11744656325,0.11151979999999999,0.123345225,0.114699,0.12016316
phi_mem_mu,0.14545454545454545,0.117271864,0.11157322500000001,0.122946975,0.11465384,0.11989612
phi_mem_mu,0.15,0.11709715875,0.111624925,0.12264315,0.11455884,0.11964416
phi_mem_mu,0.15454545454545454,0.11692245775,0.111697,0.122278225,0.11449,0.11939164
phi_mem_mu,0.1590909090909091,0.1167477485,0.111692,0.121912375,0.114395,0.11915548
phi_mem_mu,0.16363636363636364,0.116573043,0.11175855,0.12157545,0.11427684,0.11889960000000001
phi_mem_mu,0.16818181818181818,0.116398349,0.11164125000000001,0.1212784,0.114165,0.11865331999999999
phi_mem_mu,0.17272727272727273,0.11622363275,0.11153070000000001,0.12091505,0.11399768,0.118436
phi_mem_mu,0.17727272727272728,0.11604892925,0.1114435,0.1206781,0.113849,0.11824064
phi_mem_mu,0.18181818181818182,0.11587423575,0.111276975,0.12042270000000001,0.11369484,0.11805316
phi_mem_mu,0.18636363636363634,0.1156995205,0.11115195,0.120240025,0.11351736,0.11785748
phi_mem_mu,0.1909090909090909,0.11552483024999999,0.11095980000000001,0.120105275,0.11335408,0.11768916
phi_mem_mu,0.19545454545454544,0.1153501205,0.1107513,0.120007325,0.113152,0.117537
phi_mem_mu,0.19999999999999998,0.11517542274999999,0.110527975,0.11991205,0.11293736,0.11739432
phi_mem_mu,0.20454545454545453,0.115000719,0.11025195,0.11978925000000001,0.112707,0.11725448
phi_mem_mu,0.20909090909090908,0.114826016,0.109990875,0.11982755,0.11246436,0.11715716
phi_mem_mu,0.21363636363636362,0.11465130999999999,0.10962232499999999,0.1197217,0.11224388,0.11704016
phi_mem_mu,0.21818181818181817,0.11447660700000001,0.109339875,0.11970670000000001,0.11201584,0.11691664
phi_mem_mu,0.22272727272727272,0.11430189949999998,0.108939675,0.1196822,0.11176036,0.116807
phi_mem_mu,0.22727272727272727,0.11412719975,0.108635625,0.11973442499999999,0.11147868,0.116734
phi_mem_mu,0.2318181818181818,0.113952489,0.108198,0.119795025,0.11121072,0.11663432
phi_mem_mu,0.23636363636363636,0.11377778275,0.10781715,0.119811025,0.11094008,0.11656748
phi_mem_mu,0.2409090909090909,0.113603088825,0.10745679999999999,0.119838125,0.11065384,0.11652947999999999
phi_mem_mu,0.24545454545454545,0.113428381475,0.10705089999999999,0.1199801,0.11036188,0.11646848
phi_mem_mu,0.25,0.1132536674,0.10662215,0.1200484,0.110059,0.116427
phi_mem_mu,0.2545454545454545,0.11307896685,0.106110975,0.12016162500000001,0.10973384,0.11640616
phi_mem_mu,0.2590909090909091,0.11290427112500001,0.105627975,0.1202348,0.10941536,0.11637847999999999
phi_mem_mu,0.2636363636363636,0.1127295664,0.1051849,0.12035505,0.10914568000000001,0.11633076
phi_mem_mu,0.2681818181818182,0.11255486590000001,0.104697325,0.12051605,0.10883384,0.11628596
phi_mem_mu,0.2727272727272727,0.112380148075,0.104246875,0.120697675,0.10850788,0.11626144
phi_mem_mu,0.2772727272727273,0.1122054517,0.10374275000000001,0.120944075,0.10816884,0.116231
phi_mem_mu,0.2818181818181818,0.11203074610000002,0.103201975,0.1211271,0.107836,0.11622064
