quantity,growth_rate_hr,mean_val,lower,upper
prot_per_cell_ppc,0.0,124.75607025000002,72.9056575,195.77100000000002
prot_per_cell_ppc,0.025252525252525252,128.04552895,75.2097775,200.98610000000002
prot_per_cell_ppc,0.050505050505050504,129.77912585,76.73443499999999,206.233775
prot_per_cell_ppc,0.07575757575757576,132.521820475,76.692085,206.99200000000005
prot_per_cell_ppc,0.10101010101010101,135.45632872500002,78.825625,215.25015000000005
prot_per_cell_ppc,0.12626262626262627,137.771903425,79.968115,218.00725000000003
prot_per_cell_ppc,0.15151515151515152,140.76647322500003,82.08671,224.353
prot_per_cell_ppc,0.17676767676767677,144.022983525,83.30668,231.27395
prot_per_cell_ppc,0.20202020202020202,145.8264312,85.1797825,235.28567500000005
prot_per_cell_ppc,0.22727272727272727,151.138770625,86.3572875,243.95115
prot_per_cell_ppc,0.25252525252525254,153.88126485,89.99014749999999,246.89467500000003
prot_per_cell_ppc,0.2777777777777778,156.0831032,91.733245,247.65517500000004
prot_per_cell_ppc,0.30303030303030304,158.78609295,94.8737675,250.291825
prot_per_cell_ppc,0.3282828282828283,162.423849475,95.9635475,259.272925
prot_per_cell_ppc,0.35353535353535354,165.13695954999997,95.72765000000001,262.52245
prot_per_cell_ppc,0.3787878787878788,169.997396625,100.93655,271.2946
prot_per_cell_ppc,0.40404040404040403,172.20931432499998,100.236925,273.808375
prot_per_cell_ppc,0.4292929292929293,175.867114725,102.358275,278.4144
prot_per_cell_ppc,0.45454545454545453,179.071332975,103.825975,281.643425
prot_per_cell_ppc,0.4797979797979798,182.93734845,107.835725,288.66395000000006
prot_per_cell_ppc,0.5050505050505051,186.702055325,111.16272500000001,301.85985
prot_per_cell_ppc,0.5303030303030303,189.034837675,113.213575,303.2986250000001
prot_per_cell_ppc,0.5555555555555556,195.38894047499997,112.91785,307.5966
prot_per_cell_ppc,0.5808080808080808,198.92571095,117.30315,313.8625
prot_per_cell_ppc,0.6060606060606061,201.8474694,121.03602500000001,320.4948000000001
prot_per_cell_ppc,0.6313131313131313,206.903695,121.855925,328.35880000000003
prot_per_cell_ppc,0.6565656565656566,210.586500175,126.019575,330.40655000000004
prot_per_cell_ppc,0.6818181818181818,213.2289146,125.413525,344.87625
prot_per_cell_ppc,0.7070707070707071,217.57028147500003,128.36417500000002,352.01815
prot_per_cell_ppc,0.7323232323232323,223.968916425,133.838875,349.9130000000001
prot_per_cell_ppc,0.7575757575757576,226.96696534999998,132.87030000000001,359.23085
prot_per_cell_ppc,0.7828282828282828,232.904902325,137.302525,364.1228750000001
prot_per_cell_ppc,0.8080808080808081,238.01521670000002,138.78505,382.8337250000001
prot_per_cell_ppc,0.8333333333333334,241.66708150000002,142.2368,383.52042500000005
prot_per_cell_ppc,0.8585858585858586,247.626509,145.6428,392.21147500000006
prot_per_cell_ppc,0.8838383838383839,252.429063125,148.67147500000002,401.299225
prot_per_cell_ppc,0.9090909090909091,258.10615147500005,147.88639999999998,411.7941250000001
prot_per_cell_ppc,0.9343434343434344,261.50550605,154.450275,406.75055
prot_per_cell_ppc,0.9595959595959596,265.62742587500003,157.24412500000003,420.583925
prot_per_cell_ppc,0.9848484848484849,273.43436282499994,162.692225,434.51645
prot_per_cell_ppc,1.0101010101010102,276.8818665,163.328575,432.21110000000004
prot_per_cell_ppc,1.0353535353535352,283.64211075,168.12675000000002,447.48650000000004
prot_per_cell_ppc,1.0606060606060606,289.74248897499996,170.351425,465.82572500000015
prot_per_cell_ppc,1.0858585858585859,296.92526175,172.62425,471.9041500000001
prot_per_cell_ppc,1.1111111111111112,304.05693675,179.17765,478.9693
prot_per_cell_ppc,1.1363636363636362,310.16787675,183.53487500000003,493.72025
prot_per_cell_ppc,1.1616161616161615,313.39235175000005,189.631475,491.7452750000001
prot_per_cell_ppc,1.1868686868686869,319.8828545,187.367325,510.95575
prot_per_cell_ppc,1.2121212121212122,327.67211525000005,194.60545000000002,515.98585
prot_per_cell_ppc,1.2373737373737375,332.84455325,198.76865,525.155425
prot_per_cell_ppc,1.2626262626262625,339.615586,198.208825,546.4124500000001
prot_per_cell_ppc,1.2878787878787878,345.89175875000006,203.57399999999998,551.272125
prot_per_cell_ppc,1.3131313131313131,354.8051095,206.940625,560.3126250000001
prot_per_cell_ppc,1.3383838383838385,360.26292099999995,206.219225,562.5839500000001
prot_per_cell_ppc,1.3636363636363635,369.41317725000005,222.40772500000003,580.8100750000002
prot_per_cell_ppc,1.3888888888888888,377.743445,222.20725,604.21735
prot_per_cell_ppc,1.4141414141414141,383.68294525,229.28977500000002,608.1220999999999
prot_per_cell_ppc,1.4393939393939394,390.36953324999996,238.045275,610.79475
prot_per_cell_ppc,1.4646464646464645,398.54942900000003,233.91255,635.1806500000001
prot_per_cell_ppc,1.4898989898989898,406.8297125,237.906,656.44795
prot_per_cell_ppc,1.5151515151515151,416.58694125000005,250.15267500000002,653.701125
prot_per_cell_ppc,1.5404040404040404,423.94522825000007,249.208025,672.5362250000002
prot_per_cell_ppc,1.5656565656565655,433.34487075,248.47934999999998,705.8005750000002
prot_per_cell_ppc,1.5909090909090908,443.16842425,257.1266,709.8667750000001
prot_per_cell_ppc,1.6161616161616161,450.4305615,263.260475,735.3429250000003
prot_per_cell_ppc,1.6414141414141414,458.0489502500001,267.56825,723.4712750000001
prot_per_cell_ppc,1.6666666666666667,466.44071025,270.88415,740.7542500000001
prot_per_cell_ppc,1.6919191919191918,480.97334225,278.742125,760.9405499999999
prot_per_cell_ppc,1.7171717171717171,489.99484625,286.6647,789.05115
