carbon_source,replicate,sig2_lower,sig2_upper,sig1_lower,sig1_upper,mean,quantity,strain
glucoseCAA,1,28.7044954,24.68595,33.1269975,26.655284,30.704051999999997,peri_prot_per_cell,wildtype
glucoseCAA,2,23.957488749999996,21.022137500000003,27.0708225,22.487156000000002,25.439256,peri_prot_per_cell,wildtype
glycerol,1,27.378689575,23.852494999999998,30.7962625,25.675568,29.070051999999997,peri_prot_per_cell,wildtype
glycerol,2,26.4523738,22.919774999999998,29.839822500000004,24.738892,28.136656,peri_prot_per_cell,wildtype
sorbitol,1,27.875661775,24.12698,31.459845000000005,26.052076,29.66666,peri_prot_per_cell,wildtype
sorbitol,2,28.395164049999998,24.537935,32.0904025,26.530392,30.234896,peri_prot_per_cell,wildtype
LB,1,101.213238675,76.51305,132.57180000000002,87.617432,114.31624,mem_prot_per_cell,wildtype
LB,2,86.99132242499999,65.73052,113.99772500000002,75.284356,98.29537199999999,mem_prot_per_cell,wildtype
acetate,1,24.975812025,20.7805275,28.9451325,22.925824,27.018456,mem_prot_per_cell,wildtype
acetate,2,26.03975415,21.7577325,30.054775,23.976444,28.107044,mem_prot_per_cell,wildtype
glucose,1,36.985641775,32.7882825,41.1008975,34.922024,39.0288,mem_prot_per_cell,wildtype
glucose,2,42.051640675,37.31857,46.6938975,39.712872,44.34968,mem_prot_per_cell,wildtype
glucose+acetate,1,38.921722849999995,34.50248,43.250032499999996,36.740823999999996,41.073636,mem_prot_per_cell,wildtype
glucose+acetate,2,37.32215535,32.6362875,41.8558825,35.048952,39.594748,mem_prot_per_cell,wildtype
glucoseCAA,1,57.688204825,49.6119,66.57619749999999,53.5698,61.70682,mem_prot_per_cell,wildtype
glucoseCAA,2,52.108336924999996,45.723847500000005,58.8799475,48.910312000000005,55.331176,mem_prot_per_cell,wildtype
glycerol,1,32.749654299999996,28.531692500000002,36.837615,30.712384,34.772796,mem_prot_per_cell,wildtype
glycerol,2,31.714425175,27.47907,35.7757075,29.660144,33.733804,mem_prot_per_cell,wildtype
sorbitol,1,30.714050675,26.5836175,34.6631525,28.704844,32.687376,mem_prot_per_cell,wildtype
sorbitol,2,30.806619875,26.6219025,34.8157025,28.783528,32.802512,mem_prot_per_cell,wildtype
