value,kde,parameter,strain,carbon_source,overexpression,inducer_conc_ng_mL
0.0002589585,0.0,phi_M,lpp14,acetate,none,0.0
0.0005179169999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.0007768755,0.0,phi_M,lpp14,acetate,none,0.0
0.0010358339999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.0012947924999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.0015537509999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.0018127094999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.0020716679999999996,0.0,phi_M,lpp14,acetate,none,0.0
0.0023306264999999994,0.0,phi_M,lpp14,acetate,none,0.0
0.0025895849999999993,0.0,phi_M,lpp14,acetate,none,0.0
0.002848543499999999,0.0,phi_M,lpp14,acetate,none,0.0
0.0031075019999999994,0.0,phi_M,lpp14,acetate,none,0.0
0.0033664604999999992,0.0,phi_M,lpp14,acetate,none,0.0
0.003625418999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.0038843774999999994,0.0,phi_M,lpp14,acetate,none,0.0
0.004143335999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.004402294499999999,0.0,phi_M,lpp14,acetate,none,0.0
0.004661252999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.004920211499999999,0.0,phi_M,lpp14,acetate,none,0.0
0.005179169999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.005438128499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.005697086999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.005956045499999999,0.0,phi_M,lpp14,acetate,none,0.0
0.006215003999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.006473962499999999,0.0,phi_M,lpp14,acetate,none,0.0
0.0067329209999999985,0.0,phi_M,lpp14,acetate,none,0.0
0.006991879499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.007250837999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.007509796499999999,0.0,phi_M,lpp14,acetate,none,0.0
0.007768754999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.008027713499999999,0.0,phi_M,lpp14,acetate,none,0.0
0.008286671999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.008545630499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.008804588999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.009063547499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.009322505999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.009581464499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.009840422999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.010099381499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.010358339999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.010617298499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.010876256999999999,0.0,phi_M,lpp14,acetate,none,0.0
0.011135215499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.011394173999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.011653132499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.011912090999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.012171049499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.012430007999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.012688966499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.012947924999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.013206883499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.013465841999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.013724800499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.013983758999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.014242717499999996,0.0,phi_M,lpp14,acetate,none,0.0
0.014501675999999996,0.0,phi_M,lpp14,acetate,none,0.0
0.014760634499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.015019592999999998,0.0,phi_M,lpp14,acetate,none,0.0
0.015278551499999998,0.0,phi_M,lpp14,acetate,none,0.0
0.015537509999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.015796468499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.016055426999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.016314385499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.016573343999999997,0.0,phi_M,lpp14,acetate,none,0.0
0.016832302499999997,0.0,phi_M,lpp14,acetate,none,0.0
0.017091260999999996,9.7941255e-316,phi_M,lpp14,acetate,none,0.0
0.017350219499999996,8.986095256690907e-300,phi_M,lpp14,acetate,none,0.0
0.017609177999999996,3.130838597699493e-284,phi_M,lpp14,acetate,none,0.0
0.017868136499999996,4.14223417364216e-269,phi_M,lpp14,acetate,none,0.0
0.018127094999999996,2.0810998700476872e-254,phi_M,lpp14,acetate,none,0.0
0.018386053499999996,3.970411349898684e-240,phi_M,lpp14,acetate,none,0.0
0.018645011999999996,2.8764868437123234e-226,phi_M,lpp14,acetate,none,0.0
0.018903970499999995,7.913590751588866e-213,phi_M,lpp14,acetate,none,0.0
0.019162928999999995,8.267402636469301e-200,phi_M,lpp14,acetate,none,0.0
0.019421887499999995,3.2798116009719944e-187,phi_M,lpp14,acetate,none,0.0
0.019680845999999995,4.940979057226208e-175,phi_M,lpp14,acetate,none,0.0
0.019939804499999995,2.826580999652995e-163,phi_M,lpp14,acetate,none,0.0
0.020198762999999995,6.140364670646256e-152,phi_M,lpp14,acetate,none,0.0
0.020457721499999994,5.0653703043717087e-141,phi_M,lpp14,acetate,none,0.0
0.020716679999999994,1.5867647443394087e-130,phi_M,lpp14,acetate,none,0.0
0.020975638499999994,1.8875488140864906e-120,phi_M,lpp14,acetate,none,0.0
0.021234596999999997,8.52644800085125e-111,phi_M,lpp14,acetate,none,0.0
0.021493555499999997,1.4625893631523392e-101,phi_M,lpp14,acetate,none,0.0
0.021752513999999997,9.527105626233496e-93,phi_M,lpp14,acetate,none,0.0
0.022011472499999997,2.356589056558304e-84,phi_M,lpp14,acetate,none,0.0
0.022270430999999997,2.2135586819670415e-76,phi_M,lpp14,acetate,none,0.0
0.022529389499999997,7.895552572224327e-69,phi_M,lpp14,acetate,none,0.0
0.022788347999999996,1.0694446846444169e-61,phi_M,lpp14,acetate,none,0.0
0.023047306499999996,5.50070595172265e-55,phi_M,lpp14,acetate,none,0.0
0.023306264999999996,1.074392183187104e-48,phi_M,lpp14,acetate,none,0.0
0.023565223499999996,7.96877485887249e-43,phi_M,lpp14,acetate,none,0.0
0.023824181999999996,2.244422328798026e-37,phi_M,lpp14,acetate,none,0.0
0.024083140499999996,2.4005011103245353e-32,phi_M,lpp14,acetate,none,0.0
0.024342098999999996,9.749527047963994e-28,phi_M,lpp14,acetate,none,0.0
0.024601057499999995,1.5036594655995217e-23,phi_M,lpp14,acetate,none,0.0
0.024860015999999995,8.806427080266289e-20,phi_M,lpp14,acetate,none,0.0
0.025118974499999995,1.9585483665711133e-16,phi_M,lpp14,acetate,none,0.0
