2.5%,12.5%,25%,45%,55%,75%,87.5%,97.5%,mean,median,parameter,carbon_source,strain,inducer,inducer_conc,temperature_C
0.46632005,0.6665869999999999,0.773287,0.91153305,0.9713122000000001,1.1112225,1.24568,1.4630169999999998,0.9485257547499969,0.940506,width_um,LB,lpp14,noind,0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,length_um,LB,lpp14,noind,0,37.0
1.24568825,1.8023337499999998,2.14024,2.5511035,2.737506,3.1459725,3.49728,4.237246749999998,2.6599498133333466,2.6440349999999997,volume_fL,LB,lpp14,noind,0,37.0
3.37579825,4.05991,4.4644725,4.933577,5.16357,5.7040275000000005,6.163213750000001,7.018315499999999,5.097544154166687,5.04678,SAV_inv_um,LB,lpp14,noind,0,37.0
0.69851565,0.8651345,0.95799525,1.06106,1.1062735000000001,1.20564,1.28861875,1.4541417499999998,1.0804945753333346,1.08413,width_um,LB,lpp21,noind,0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,length_um,LB,lpp21,noind,0,37.0
2.3221265,2.92562625,3.210715,3.534105,3.6738325,3.9886274999999998,4.256621249999999,4.7132545,3.5885372816666754,3.60095,volume_fL,LB,lpp21,noind,0,37.0
2.95106925,3.42344375,3.668265,3.9558139999999997,4.0881515,4.372455,4.64177375,5.157483,4.030175587500011,4.024795,SAV_inv_um,LB,lpp21,noind,0,37.0
0.7492989,0.795553875,0.81405125,0.83170365,0.8395948000000001,0.85752025,0.8756475,0.9183303749999999,0.8352832249999961,0.835655,width_um,LB,minKO,noind,0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,length_um,LB,minKO,noind,0,37.0
1.52391275,1.6416975,1.6954475,1.754621,1.7805214999999999,1.840815,1.9056525,2.0546265,1.7718910550000029,1.7673999999999999,volume_fL,LB,minKO,noind,0,37.0
5.03578975,5.17899625,5.2390475,5.299764,5.3260335,5.38236,5.44189375,5.571098,5.3105655149999915,5.313115,SAV_inv_um,LB,minKO,noind,0,37.0
0.47670185,0.64590125,0.75584375,0.88311095,0.9422741,1.07174,1.1908874999999999,1.40195875,0.9186223385833323,0.9127475,width_um,LB,wildtype,noind,0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,length_um,LB,wildtype,noind,0,37.0
1.209556,1.7335462499999998,2.0731825,2.4547815,2.6429045,3.05932,3.41839625,4.141230999999999,2.5794249377500043,2.54887,volume_fL,LB,wildtype,noind,0,37.0
2.9572392499999998,3.61831125,3.986235,4.4096795,4.6077825,5.0655375,5.47508125,6.308455499999999,4.5408559516666545,4.50689,SAV_inv_um,LB,wildtype,noind,0,37.0
0.8787946999999999,0.9216099999999999,0.94092575,0.96304855,0.9724173,0.994445,1.01505125,1.0553302500000001,0.9676643421666643,0.967738,width_um,LB,wildtype,none,0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,length_um,LB,wildtype,none,0,37.0
2.2446335,2.371255,2.4333324999999997,2.4988465,2.5294245,2.59499,2.66077,2.79541825,2.5149135508333313,2.51456,volume_fL,LB,wildtype,none,0,37.0
4.32696875,4.4695487499999995,4.54199,4.61963,4.65527,4.73895,4.82407375,4.9875805,4.64420545333335,4.636514999999999,SAV_inv_um,LB,wildtype,none,0,37.0
0.42479655,0.612813,0.74071025,0.8799142,0.9219395,1.0151249999999998,1.15161125,1.4627884999999996,0.8958422745,0.903727,width_um,RDM,lpp14,noind,0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,length_um,RDM,lpp14,noind,0,37.0
1.0205012500000001,1.5402099999999999,1.8891149999999999,2.2603095,2.3817045,2.7098750000000003,3.130225,4.191256749999999,2.3582177109166675,2.32357,volume_fL,RDM,lpp14,noind,0,37.0
2.8961152500000003,3.76334875,4.278535,4.7219815,4.845379,5.2962875,5.87906375,7.19572275,4.8274502491666755,4.785185,SAV_inv_um,RDM,lpp14,noind,0,37.0
