replicate,strain,carbon_source,inducer_conc,measured_SAV,psi_mem,psi_peri,phi_rib,growth_rate_hr,predicted_SAV_median,predicted_SAV_mean,predicted_SAV_sig2_lower,predicted_SAV_sig2_upper,predicted_SAV_sig1_lower,predicted_SAV_sig1_upper
1.0,wildtype,glucose,0,6.670527509737892,0.1145243969273688,0.0650386667558162,0.1788663244714218,0.8591408506447787,6.35508294820596,6.3556553438225665,6.010758646706586,6.692467689503214,6.193043036485615,6.514452853509537
1.0,wildtype,glucose+acetate,0,6.698969535328553,0.1209850878227399,0.0649854002924459,0.1773643765021992,0.8536886249556442,6.767732518807494,6.768342081335584,6.401050479994637,7.127024396448755,6.5951709977648685,6.937450664020181
1.0,wildtype,glycerol,0,7.429426607591108,0.115595754186993,0.0834063746863211,0.1558391572212695,0.6737871653670509,6.806882392214032,6.807495480929917,6.438079176868254,7.1682526958992545,6.633322639978775,6.977582320303243
1.0,wildtype,sorbitol,0,7.345541108225926,0.1126833046792482,0.0874660297643338,0.152751532811954,0.6189821322967242,6.6816453667299935,6.682247175479117,6.319627609838983,7.036366967040589,6.511278868889517,6.84920465715097
2.0,wildtype,glucose,0,6.420062583759679,0.1279328119887648,0.073485942019077,0.1930141022804248,0.8840892213949154,7.046071068366396,7.046705700554001,6.664308388208917,7.420139649994265,6.866412558288934,7.222769262249896
2.0,wildtype,glucose+acetate,0,6.725699841042956,0.1293159096361938,0.0683655925663757,0.1866368478773229,0.7000527193406471,7.182403758337155,7.183050669866315,6.793254446309046,7.563710100622283,6.999269080092021,7.362520841960962
2.0,wildtype,glycerol,0,7.360772633425486,0.1152637220067744,0.0854523150036396,0.165689127932587,0.6323276248776728,6.671355555499911,6.671956437456593,6.3098953101462385,7.025530880438784,6.501251424038745,6.8386568026735075
2.0,wildtype,sorbitol,0,7.181252884615595,0.1138368982341494,0.0923157010749742,0.162645337452014,0.6088031254855759,6.658109345264013,6.658709034148513,6.297366791893933,7.011581442684061,6.488342961516724,6.825078409948706
1.0,meshI,glucose,0,6.719054327181657,0.113087217531439,0.0641389423353678,0.1830980672429174,0.8892325330911993,6.215825802787545,6.216385655659978,5.879046582873381,6.5458175271307,6.057336626082608,6.371703480175443
1.0,meshI,glucose,100,6.0293384598746655,0.1061178271693228,0.066293226573705,0.1766175100008244,0.7207220956572482,5.8777939329861475,5.8783233396846875,5.559329593995253,6.189839897081537,5.727923786872582,6.02519459952794
1.0,relA,glucose,0,6.5100766415498255,0.1159110557114803,0.0686690228976837,0.1801338059449036,0.8309082512168006,6.44394477495779,6.444525174265383,6.094805857083516,6.786047098177138,6.279639092250735,6.6055431170937355
1.0,relA,glucose,2,6.776163086381294,0.1429986604328286,0.0796219517876546,0.149186902470514,0.5953632487833751,8.711744800702114,8.712529458365523,8.239734369400132,9.174242267656863,8.48961546424169,8.930214009559373
2.0,meshI,glucose,0,6.308364989120924,0.1201430433709546,0.0672292826512428,0.190484872722201,0.8200614327462847,6.5712638921237,6.571855758929857,6.2152267061319275,6.920125454798662,6.403711866501216,6.736055085684472
2.0,meshI,glucose,100,6.012778862078166,0.1106618160442031,0.066920508951954,0.1850950092939901,0.667204243559892,6.062612620495104,6.063158673617846,5.734134633216816,6.384470416407687,5.908030025456434,6.214648086765979
2.0,relA,glucose,0,6.89303929875306,0.1148241285512477,0.0668704564456801,0.1842218340539388,0.7652878227972052,6.321664572290366,6.32223395794911,5.979150909462142,6.657275166781868,6.160476751837332,6.480196426627736
1.0,wildtype,LB,0,4.77289448646648,0.1144570686257723,0.0312014943480225,0.2864114214864838,2.2690638773791805,5.196343713002771,5.196811742198919,4.914800980372438,5.472212193963822,5.063848970859201,5.326655278125594
1.0,wildtype,glucoseCAA,0,5.167673330016131,0.1151532232350555,0.0555766844163078,0.2024358409275961,1.4771279192381863,6.0864448524556405,6.086993052122372,5.756675612696485,6.409567876765723,5.931254590641499,6.239077972696049
2.0,wildtype,LB,0,4.73596130980739,0.0981260087366953,0.0274455616979792,0.322739178050412,2.272564591054877,4.174177624216481,4.174553587991385,3.9480168004307905,4.395780371081119,4.067745752398974,4.278855768957218
2.0,wildtype,glucoseCAA,0,5.170441426289228,0.1177741464538601,0.052561002170701,0.2146760574253641,1.3028032663667155,6.094705129776313,6.095254073437508,5.764488340513585,6.4182666836145845,5.939304250001913,6.247545397527636
1.0,relA,glucose,4,7.050192966784704,0.1569452595927259,0.0917504005379408,0.1225385120425624,0.4339392796625571,10.353145747101596,10.354078244016588,9.792202686759902,10.90278348243355,10.08916448414077,10.61277726894908
1.0,wildtype,acetate,0,7.507487747191416,0.1104329896472254,0.1089131717057892,0.1119190303210079,0.3537727536958664,7.241618160252704,7.242270405160575,6.8492605568860805,7.626068133523324,7.056973651760323,7.4232201959538955
2.0,relA,glucose,4,7.069383768132812,0.1781868926214058,0.0891967598779749,0.1354439770108582,0.4050489280159054,11.645033457740697,11.64608231361886,11.014094720362715,12.263256167429612,11.348112047138894,11.93706235721258
2.0,wildtype,acetate,0,7.360883684014174,0.1126239281035697,0.1191839895898961,0.1165653664391429,0.3851859922434523,7.401786086525245,7.40245275758926,7.000750436029124,7.794739208347976,7.213057666485973,7.587404741277796
2.0,relA,glucose,2,7.233883840340177,0.1484162161636483,0.0828707121878083,0.1609326674947163,0.5748629870680184,8.904233399992876,8.905035394901349,8.421793757453598,9.376949886400821,8.677196049602427,9.127529751169284
