replicate,strain,carbon_source,inducer_conc,measured_SAV,psi_mem,psi_peri,phi_rib,growth_rate_hr,predicted_SAV_median,predicted_SAV_mean,predicted_SAV_sig2_lower,predicted_SAV_sig2_upper,predicted_SAV_sig1_lower,predicted_SAV_sig1_upper
1.0,meshI,glucoseCAA,0,6.394361744408569,0.0985306517896495,0.0352146069519003,0.1884892480319933,1.2406660694040064,5.1816276519814215,5.182094355717479,4.900882249216535,5.456714872574815,5.0495081353460325,5.311570174359953
1.0,meshI,glucoseCAA,100,5.22922805104673,0.0886422286820406,0.0343849804213456,0.1888662329649387,0.7735928329517952,4.619909842523393,4.620325952928957,4.369598832819576,4.865176049076434,4.5021128304088975,4.735765858898737
1.0,relA,glucoseCAA,0,5.575617905682313,0.0970528324162175,0.0354967365190964,0.1877503513144033,1.3145881127898524,5.105597099579334,5.106056955323747,4.828971102817771,5.376647937255003,4.975416186121857,5.2336329620393
1.0,relA,glucoseCAA,2,5.760561706025921,0.1081742734186557,0.0390470675296325,0.176130626279385,1.3106501093356155,5.874993533628377,5.8755226880979015,5.556680922877798,6.186890827435661,5.725194791219281,6.022323973017496
1.0,relA,glucoseCAA,4,6.689575439661565,0.1202455436705839,0.047782584441795,0.1540596802640351,1.0060209732262138,6.916730861797588,6.91735384444924,6.54197595426016,7.283932906436376,6.740370227739229,7.090185520287324
2.0,meshI,glucoseCAA,0,5.699800012980113,0.1012039254121078,0.0371055655940775,0.1825337248647881,1.2867785345592082,5.396498412054986,5.3969844689737165,5.104111111776259,5.682992897729039,5.258900188174174,5.531829366490898
2.0,meshI,glucoseCAA,100,5.521553368556243,0.0907529991108211,0.0357770489386893,0.1813352308097487,0.9013009628777184,4.804356488255156,4.804789211575513,4.544051987833264,5.059414775314546,4.681856513420098,4.924837974463609
2.0,relA,glucoseCAA,0,6.024643093715955,0.094925835517511,0.0353631324828344,0.1878995254594025,1.3218899385826106,4.983619173495687,4.984068042816983,4.713602054153884,5.248194329992824,4.856548414938707,5.108596128512979
2.0,relA,glucoseCAA,2,5.839935638695476,0.1078654983208733,0.0408489950462533,0.1698196113982342,1.3542007886450935,5.931568448309482,5.932102698421885,5.6101905560922845,6.246469245471349,5.780327176470758,6.080317647905001
2.0,relA,glucoseCAA,4,6.736020009955991,0.1255635819347857,0.0509672279518038,0.1473716627603435,0.856633501311384,7.368505168739134,7.369168842225995,6.969272709304932,7.759691441265181,7.1806253351029,7.553289219638483
