value,kde,parameter,model,volume_scale
88.2765,2.2220172070979727e-25,rho_prot,const_rho_mem,linear_width
89.32644481605351,4.54013726929989e-24,rho_prot,const_rho_mem,linear_width
90.37638963210702,8.313561140259076e-23,rho_prot,const_rho_mem,linear_width
91.42633444816053,1.3642744975509271e-21,rho_prot,const_rho_mem,linear_width
92.47627926421404,2.0063791115632568e-20,rho_prot,const_rho_mem,linear_width
93.52622408026755,2.644361552520351e-19,rho_prot,const_rho_mem,linear_width
94.57616889632106,3.123383562711554e-18,rho_prot,const_rho_mem,linear_width
95.62611371237458,3.306180383469807e-17,rho_prot,const_rho_mem,linear_width
96.67605852842809,3.1363510135913107e-16,rho_prot,const_rho_mem,linear_width
97.7260033444816,2.6663671151758912e-15,rho_prot,const_rho_mem,linear_width
98.77594816053511,2.0314814963715174e-14,rho_prot,const_rho_mem,linear_width
99.82589297658862,1.3870888632520253e-13,rho_prot,const_rho_mem,linear_width
100.87583779264213,8.487810461483015e-13,rho_prot,const_rho_mem,linear_width
101.92578260869566,4.6546781717938155e-12,rho_prot,const_rho_mem,linear_width
102.97572742474917,2.2876568409992858e-11,rho_prot,const_rho_mem,linear_width
104.02567224080268,1.007644955869711e-10,rho_prot,const_rho_mem,linear_width
105.07561705685619,3.977902741200625e-10,rho_prot,const_rho_mem,linear_width
106.1255618729097,1.4075263730195922e-09,rho_prot,const_rho_mem,linear_width
107.17550668896321,4.464373310139052e-09,rho_prot,const_rho_mem,linear_width
108.22545150501672,1.2695435834406851e-08,rho_prot,const_rho_mem,linear_width
109.27539632107023,3.2378987830716863e-08,rho_prot,const_rho_mem,linear_width
110.32534113712374,7.410830297201229e-08,rho_prot,const_rho_mem,linear_width
111.37528595317725,1.5237761462673182e-07,rho_prot,const_rho_mem,linear_width
112.42523076923077,2.8200037858341306e-07,rho_prot,const_rho_mem,linear_width
113.47517558528428,4.713111735766284e-07,rho_prot,const_rho_mem,linear_width
114.52512040133779,7.155287125507295e-07,rho_prot,const_rho_mem,linear_width
115.5750652173913,9.96494122198046e-07,rho_prot,const_rho_mem,linear_width
116.62501003344481,1.2930752934961148e-06,rho_prot,const_rho_mem,linear_width
117.67495484949832,1.5985558994096648e-06,rho_prot,const_rho_mem,linear_width
118.72489966555183,1.9329907358680808e-06,rho_prot,const_rho_mem,linear_width
119.77484448160536,2.3392153718309757e-06,rho_prot,const_rho_mem,linear_width
120.82478929765887,2.8636750560753223e-06,rho_prot,const_rho_mem,linear_width
121.87473411371238,3.5373493262613177e-06,rho_prot,const_rho_mem,linear_width
122.92467892976589,4.373205530762783e-06,rho_prot,const_rho_mem,linear_width
123.9746237458194,5.382095156602565e-06,rho_prot,const_rho_mem,linear_width
125.02456856187291,6.592968754781107e-06,rho_prot,const_rho_mem,linear_width
126.07451337792642,8.06258227956412e-06,rho_prot,const_rho_mem,linear_width
127.12445819397993,9.875675941513427e-06,rho_prot,const_rho_mem,linear_width
128.17440301003344,1.215190683918707e-05,rho_prot,const_rho_mem,linear_width
129.22434782608696,1.5071255104365e-05,rho_prot,const_rho_mem,linear_width
130.27429264214047,1.890337573984219e-05,rho_prot,const_rho_mem,linear_width
131.32423745819398,2.400143000834158e-05,rho_prot,const_rho_mem,linear_width
132.3741822742475,3.0729771247960275e-05,rho_prot,const_rho_mem,linear_width
133.424127090301,3.934598745817073e-05,rho_prot,const_rho_mem,linear_width
134.4740719063545,4.99131351981249e-05,rho_prot,const_rho_mem,linear_width
135.52401672240802,6.231700284422218e-05,rho_prot,const_rho_mem,linear_width
136.57396153846153,7.638735261478854e-05,rho_prot,const_rho_mem,linear_width
137.62390635451504,9.203274515899588e-05,rho_prot,const_rho_mem,linear_width
138.67385117056855,0.00010928846802497479,rho_prot,const_rho_mem,linear_width
139.72379598662206,0.00012826891423572593,rho_prot,const_rho_mem,linear_width
140.77374080267558,0.00014912197853532975,rho_prot,const_rho_mem,linear_width
141.8236856187291,0.00017208962252948797,rho_prot,const_rho_mem,linear_width
142.8736304347826,0.00019766895404751923,rho_prot,const_rho_mem,linear_width
143.9235752508361,0.00022674298015648862,rho_prot,const_rho_mem,linear_width
144.97352006688962,0.0002605228064765831,rho_prot,const_rho_mem,linear_width
146.02346488294313,0.0003002362367337293,rho_prot,const_rho_mem,linear_width
147.07340969899664,0.00034664969439868345,rho_prot,const_rho_mem,linear_width
148.12335451505015,0.0003996408669122184,rho_prot,const_rho_mem,linear_width
149.17329933110366,0.0004580802792725685,rho_prot,const_rho_mem,linear_width
150.22324414715717,0.0005201823516978963,rho_prot,const_rho_mem,linear_width
151.2731889632107,0.0005842656479715962,rho_prot,const_rho_mem,linear_width
152.3231337792642,0.0006496330615890936,rho_prot,const_rho_mem,linear_width
153.37307859531774,0.0007171896882138956,rho_prot,const_rho_mem,linear_width
154.42302341137122,0.0007895038487935944,rho_prot,const_rho_mem,linear_width
155.47296822742476,0.0008702123429780988,rho_prot,const_rho_mem,linear_width
156.52291304347824,0.0009628960781282818,rho_prot,const_rho_mem,linear_width
157.57285785953178,0.0010697801252826712,rho_prot,const_rho_mem,linear_width
158.62280267558526,0.0011907826201258092,rho_prot,const_rho_mem,linear_width
159.6727474916388,0.0013234059057771086,rho_prot,const_rho_mem,linear_width
160.72269230769228,0.0014636420722819263,rho_prot,const_rho_mem,linear_width
161.77263712374582,0.0016075777217062308,rho_prot,const_rho_mem,linear_width
162.8225819397993,0.0017529988915181156,rho_prot,const_rho_mem,linear_width
163.87252675585285,0.0019002234592300873,rho_prot,const_rho_mem,linear_width
164.92247157190633,0.0020516858393104516,rho_prot,const_rho_mem,linear_width
165.97241638795987,0.0022104099017074916,rho_prot,const_rho_mem,linear_width
167.02236120401338,0.0023781912037228437,rho_prot,const_rho_mem,linear_width
168.0723060200669,0.0025546042752699824,rho_prot,const_rho_mem,linear_width
169.1222508361204,0.002737475351411755,rho_prot,const_rho_mem,linear_width
170.1721956521739,0.002924430481624789,rho_prot,const_rho_mem,linear_width
171.22214046822742,0.003114367607969365,rho_prot,const_rho_mem,linear_width
172.27208528428093,0.003307897886719215,rho_prot,const_rho_mem,linear_width
173.32203010033444,0.0035067531148036167,rho_prot,const_rho_mem,linear_width
174.37197491638796,0.00371292381979293,rho_prot,const_rho_mem,linear_width
175.42191973244147,0.0039281715277133715,rho_prot,const_rho_mem,linear_width
176.47186454849498,0.004153803003586577,rho_prot,const_rho_mem,linear_width
177.5218093645485,0.004390111863550323,rho_prot,const_rho_mem,linear_width
178.571754180602,0.004635260073232265,rho_prot,const_rho_mem,linear_width
179.6216989966555,0.004884224486434546,rho_prot,const_rho_mem,linear_width
180.67164381270902,0.0051288585318651145,rho_prot,const_rho_mem,linear_width
181.72158862876253,0.00535959687309229,rho_prot,const_rho_mem,linear_width
182.77153344481604,0.005568239090520897,rho_prot,const_rho_mem,linear_width
183.82147826086955,0.0057504705502359164,rho_prot,const_rho_mem,linear_width
184.87142307692307,0.005906897213798488,rho_prot,const_rho_mem,linear_width
185.92136789297658,0.006042229686431052,rho_prot,const_rho_mem,linear_width
186.9713127090301,0.0061631849201228195,rho_prot,const_rho_mem,linear_width
188.0212575250836,0.006276097599364049,rho_prot,const_rho_mem,linear_width
189.0712023411371,0.006385066981291293,rho_prot,const_rho_mem,linear_width
190.12114715719065,0.006491067066431275,rho_prot,const_rho_mem,linear_width
191.17109197324413,0.006592182073491509,rho_prot,const_rho_mem,linear_width
192.22103678929767,0.006685011442411767,rho_prot,const_rho_mem,linear_width
193.27098160535115,0.006767053801746072,rho_prot,const_rho_mem,linear_width
194.3209264214047,0.006839364097540092,rho_prot,const_rho_mem,linear_width
195.37087123745818,0.006908225024195832,rho_prot,const_rho_mem,linear_width
196.42081605351171,0.006984543465865869,rho_prot,const_rho_mem,linear_width
197.4707608695652,0.007080565444094464,rho_prot,const_rho_mem,linear_width
198.52070568561874,0.007205002476925043,rho_prot,const_rho_mem,linear_width
199.57065050167222,0.007358816233422068,rho_prot,const_rho_mem,linear_width
200.62059531772576,0.007533812885205859,rho_prot,const_rho_mem,linear_width
201.67054013377924,0.0077147942394402,rho_prot,const_rho_mem,linear_width
202.72048494983278,0.007884149615252703,rho_prot,const_rho_mem,linear_width
203.77042976588626,0.008026576495099825,rho_prot,const_rho_mem,linear_width
204.8203745819398,0.008131794083754055,rho_prot,const_rho_mem,linear_width
205.87031939799328,0.008194549565960291,rho_prot,const_rho_mem,linear_width
206.92026421404682,0.008212956980643548,rho_prot,const_rho_mem,linear_width
207.9702090301003,0.008187009801148821,rho_prot,const_rho_mem,linear_width
209.02015384615385,0.008118456221277673,rho_prot,const_rho_mem,linear_width
210.07009866220733,0.00801185161912266,rho_prot,const_rho_mem,linear_width
211.12004347826087,0.0078757277661021,rho_prot,const_rho_mem,linear_width
212.16998829431438,0.007722919130680158,rho_prot,const_rho_mem,linear_width
213.2199331103679,0.007569676453184144,rho_prot,const_rho_mem,linear_width
214.2698779264214,0.007433715707159728,rho_prot,const_rho_mem,linear_width
215.3198227424749,0.0073317413255134835,rho_prot,const_rho_mem,linear_width
216.36976755852842,0.007277273621973156,rho_prot,const_rho_mem,linear_width
217.41971237458193,0.007279490046322155,rho_prot,const_rho_mem,linear_width
218.46965719063544,0.00734307629636449,rho_prot,const_rho_mem,linear_width
219.51960200668896,0.007468306943020466,rho_prot,const_rho_mem,linear_width
220.56954682274247,0.0076505421470699905,rho_prot,const_rho_mem,linear_width
221.61949163879598,0.007879132902735746,rho_prot,const_rho_mem,linear_width
222.6694364548495,0.008136621306667112,rho_prot,const_rho_mem,linear_width
223.719381270903,0.00839936865849386,rho_prot,const_rho_mem,linear_width
224.7693260869565,0.00864026115766337,rho_prot,const_rho_mem,linear_width
225.81927090301002,0.008833284800918528,rho_prot,const_rho_mem,linear_width
226.86921571906353,0.008958898391849941,rho_prot,const_rho_mem,linear_width
227.91916053511704,0.0090086030696491,rho_prot,const_rho_mem,linear_width
228.96910535117055,0.008987205261545669,rho_prot,const_rho_mem,linear_width
230.01905016722407,0.008912013290213457,rho_prot,const_rho_mem,linear_width
231.06899498327758,0.008809237264669773,rho_prot,const_rho_mem,linear_width
232.1189397993311,0.008708732509093113,rho_prot,const_rho_mem,linear_width
233.1688846153846,0.008638669780045257,rho_prot,const_rho_mem,linear_width
234.2188294314381,0.00862159342796261,rho_prot,const_rho_mem,linear_width
235.26877424749162,0.00867261152550674,rho_prot,const_rho_mem,linear_width
236.31871906354513,0.008799441296169181,rho_prot,const_rho_mem,linear_width
237.36866387959864,0.009003354683300855,rho_prot,const_rho_mem,linear_width
238.41860869565215,0.009280218654019437,rho_prot,const_rho_mem,linear_width
239.46855351170566,0.009621536839754159,rho_prot,const_rho_mem,linear_width
240.51849832775918,0.010015815665993999,rho_prot,const_rho_mem,linear_width
241.5684431438127,0.010450182244871773,rho_prot,const_rho_mem,linear_width
242.6183879598662,0.010911477086011947,rho_prot,const_rho_mem,linear_width
243.6683327759197,0.011386077367479673,rho_prot,const_rho_mem,linear_width
244.71827759197322,0.011858809947330146,rho_prot,const_rho_mem,linear_width
245.76822240802676,0.01231249649755534,rho_prot,const_rho_mem,linear_width
246.81816722408027,0.012729534248991026,rho_prot,const_rho_mem,linear_width
247.86811204013378,0.013095262924740416,rho_prot,const_rho_mem,linear_width
248.9180568561873,0.01340117785387026,rho_prot,const_rho_mem,linear_width
249.9680016722408,0.013645995903975628,rho_prot,const_rho_mem,linear_width
251.0179464882943,0.01383419414437259,rho_prot,const_rho_mem,linear_width
252.06789130434782,0.013973295900512706,rho_prot,const_rho_mem,linear_width
253.11783612040134,0.014071453595181398,rho_prot,const_rho_mem,linear_width
254.16778093645485,0.0141359870515963,rho_prot,const_rho_mem,linear_width
255.21772575250836,0.014172710989445942,rho_prot,const_rho_mem,linear_width
256.26767056856187,0.014185770345239396,rho_prot,const_rho_mem,linear_width
257.31761538461535,0.014177855775297973,rho_prot,const_rho_mem,linear_width
258.3675602006689,0.014150517472202735,rho_prot,const_rho_mem,linear_width
259.41750501672243,0.0141040085471126,rho_prot,const_rho_mem,linear_width
260.4674498327759,0.014036287302045175,rho_prot,const_rho_mem,linear_width
261.5173946488294,0.013941608678492349,rho_prot,const_rho_mem,linear_width
262.56733946488293,0.01380986488520638,rho_prot,const_rho_mem,linear_width
263.6172842809365,0.013627723658202959,rho_prot,const_rho_mem,linear_width
264.66722909698996,0.013381610960786846,rho_prot,const_rho_mem,linear_width
265.71717391304344,0.013061411026571662,rho_prot,const_rho_mem,linear_width
266.767118729097,0.01266324573890408,rho_prot,const_rho_mem,linear_width
267.8170635451505,0.01219018624554303,rho_prot,const_rho_mem,linear_width
268.867008361204,0.011650939091272376,rho_prot,const_rho_mem,linear_width
269.9169531772575,0.011057691228182818,rho_prot,const_rho_mem,linear_width
270.966897993311,0.010424582964478752,rho_prot,const_rho_mem,linear_width
