quantity,phi_rib,mean,median,sig2_lower,sig2_upper,sig1_lower,sig1_upper
phi_mem_mu,0.0,0.12258717697499999,0.122648,0.10586125,0.13879607500000002,0.11503872,0.13039991999999997
phi_mem_mu,0.02368421052631579,0.1217025637,0.121736,0.107100875,0.1361808,0.11502928,0.12859916
phi_mem_mu,0.04736842105263158,0.12081796275000001,0.120892,0.1081828,0.13340174999999999,0.114985,0.1268348
phi_mem_mu,0.07105263157894737,0.11993333667499999,0.11995700000000001,0.10921582499999999,0.1305427,0.11497,0.1250538
phi_mem_mu,0.09473684210526316,0.11904872725,0.1190335,0.1100965,0.12798,0.11483404000000001,0.12330632
phi_mem_mu,0.11842105263157895,0.1181641165,0.118151,0.11079385,0.12545082500000002,0.114723,0.1216458
phi_mem_mu,0.14210526315789473,0.1172795035,0.117251,0.111455825,0.123406125,0.1144792,0.12006916
phi_mem_mu,0.16578947368421054,0.11639489499999998,0.116363,0.11162949999999999,0.1214804,0.11401672,0.11876416
phi_mem_mu,0.18947368421052632,0.115510284,0.1154505,0.110906875,0.12006610000000001,0.113299,0.11775732
phi_mem_mu,0.2131578947368421,0.11462567374999999,0.114591,0.10944775000000001,0.119765725,0.11221536,0.11703832
phi_mem_mu,0.2368421052631579,0.11374105849999999,0.11372550000000001,0.1075396,0.120163325,0.11079384,0.11662444
phi_mem_mu,0.2605263157894737,0.112856440225,0.1128525,0.1052304,0.12066442499999999,0.10927436,0.11640716
phi_mem_mu,0.28421052631578947,0.11197184595,0.111917,0.1026557,0.12133840000000001,0.10757755999999999,0.11632115999999999
phi_mem_mu,0.3078947368421053,0.1110872191,0.11099049999999999,0.100011555,0.12217077500000001,0.10592852,0.11630248
phi_mem_mu,0.3315789473684211,0.110202612025,0.110073,0.09725718750000001,0.12320115000000001,0.10426668,0.11627915999999999
phi_mem_mu,0.35526315789473684,0.10931800377499999,0.109218,0.0944256025,0.124258075,0.10259196000000001,0.11623
phi_mem_mu,0.37894736842105264,0.10843338914999999,0.10825699999999999,0.091569855,0.125398175,0.10079184000000001,0.11626848
phi_mem_mu,0.40263157894736845,0.107548775325,0.107335,0.088832965,0.126681475,0.099074864,0.11636996
phi_mem_mu,0.4263157894736842,0.10666416330000002,0.106455,0.0860374725,0.12771805,0.097344264,0.11634008
phi_mem_mu,0.45,0.105779555275,0.10560549999999999,0.083096785,0.128889,0.095653188,0.116343
phi_mem_ppc,0.0,0.12269527625000001,0.122776,0.09887449000000001,0.146401575,0.11127168,0.13372612
phi_mem_ppc,0.02368421052631579,0.1217106147,0.1218365,0.0989899825,0.14420965000000002,0.1111804,0.132214
phi_mem_ppc,0.04736842105263158,0.12076962895,0.1205605,0.099256255,0.14141647499999999,0.11080804000000001,0.13110159999999998
phi_mem_ppc,0.07105263157894737,0.11993741335000001,0.1197365,0.0997165475,0.139818725,0.11041604000000001,0.1296852
phi_mem_ppc,0.09473684210526316,0.11919676505,0.11902850000000001,0.100514075,0.138786025,0.1099034,0.12834711999999998
phi_mem_ppc,0.11842105263157895,0.11810158315,0.118008,0.0996321375,0.13747662500000002,0.1094496,0.12688916
phi_mem_ppc,0.14210526315789473,0.117372772225,0.117361,0.0995141125,0.135439,0.10898208000000001,0.12596912
phi_mem_ppc,0.16578947368421054,0.11617088007499998,0.1162725,0.09878031500000001,0.13349592500000002,0.10789984,0.12438324
phi_mem_ppc,0.18947368421052632,0.115488443125,0.1155735,0.097236375,0.13356495,0.10693772,0.12399116
phi_mem_ppc,0.2131578947368421,0.11448696915,0.11441,0.0970240225,0.132477475,0.10597128,0.12297564
phi_mem_ppc,0.2368421052631579,0.113738323,0.113538,0.09586052,0.132930525,0.10513548,0.12251048
phi_mem_ppc,0.2605263157894737,0.11295454369999999,0.1132045,0.09394057,0.13084267500000002,0.10387992,0.1218118
phi_mem_ppc,0.28421052631578947,0.11201904160000001,0.1120555,0.0919972625,0.131202175,0.10263796,0.12139615999999999
phi_mem_ppc,0.3078947368421053,0.11074164002499999,0.1108045,0.09070778,0.13109525000000002,0.10108304,0.1201726
phi_mem_ppc,0.3315789473684211,0.11035312709999999,0.110168,0.08921612,0.13149435,0.1000764,0.12064728
phi_mem_ppc,0.35526315789473684,0.10917704595,0.109159,0.0858633625,0.132172075,0.098387708,0.11999064
phi_mem_ppc,0.37894736842105264,0.10841238307500001,0.1085255,0.084028015,0.13299015,0.097327316,0.11923292
phi_mem_ppc,0.40263157894736845,0.107470790075,0.107346,0.0819705475,0.13365245,0.095656232,0.11912552
phi_mem_ppc,0.4263157894736842,0.10689602734999999,0.10676,0.08031940750000001,0.134039975,0.094325944,0.11931583999999999
phi_mem_ppc,0.45,0.10551592922500001,0.10549349999999999,0.077188685,0.135100725,0.091937168,0.11899776000000001
phi_peri_mu,0.0,0.2751501695,0.2722115,0.204670025,0.36037357500000006,0.23664892,0.31311812
phi_peri_mu,0.02368421052631579,0.232241468,0.230178,0.18074905000000002,0.293316025,0.20401288,0.25979496
phi_peri_mu,0.04736842105263158,0.1961120295,0.194796,0.15892185,0.23911315,0.17633476,0.21566716
phi_peri_mu,0.07105263157894737,0.16567712475,0.16492449999999997,0.13971792500000002,0.19493185,0.152148,0.17914816
phi_peri_mu,0.09473684210526316,0.14002776825000002,0.139713,0.12254984999999999,0.158694275,0.1312276,0.14882016
phi_peri_mu,0.11842105263157895,0.11840187015,0.118361,0.107084375,0.130026075,0.11285288,0.12405928
phi_peri_mu,0.14210526315789473,0.100160206425,0.1001745,0.09260170250000001,0.107613175,0.096654928,0.10369832
phi_peri_mu,0.16578947368421054,0.08476638332499999,0.08470174999999999,0.0785937475,0.0910744575,0.081947968,0.08760454
phi_peri_mu,0.18947368421052632,0.07177008847500001,0.07177185,0.065295315,0.07842829000000001,0.068700192,0.074788312
