rho_prot_mu
334.039
314.047
293.894
295.572
282.889
317.414
320.953
291.542
311.959
307.183
307.239
287.283
258.228
273.603
311.255
256.465
304.757
289.674
332.705
312.67
287.4
303.742
286.595
271.156
289.129
295.332
317.959
333.165
259.188
296.137
275.524
304.615
309.314
315.409
284.926
309.098
279.582
357.812
320.763
323.088
267.707
312.243
325.08
385.202
330.444
318.98
323.837
316.184
285.718
305.528
304.928
300.558
303.848
307.534
327.3
318.175
285.718
314.325
271.395
259.899
252.801
321.752
294.885
305.72
289.281
287.619
307.376
309.4
289.93
290.954
316.065
300.19
289.113
297.466
273.745
327.354
311.577
269.606
323.136
302.919
295.059
281.614
283.5
295.605
293.845
300.186
278.832
277.407
308.049
322.281
315.485
305.495
332.686
316.878
327.661
320.051
284.855
296.137
293.168
316.015
304.685
317.957
309.505
350.019
301.728
357.734
344.48
261.003
332.613
307.558
312.393
282.612
315.596
282.725
268.281
279.996
289.068
266.615
342.42
310.428
312.72
279.199
280.691
320.617
313.699
309.675
329.615
245.337
333.884
311.938
304.118
301.73
323.65
294.236
298.738
304.385
315.587
269.312
265.091
287.154
278.616
265.404
292.572
329.625
315.777
324.551
296.261
288.839
273.512
282.811
275.915
279.961
294.687
282.367
277.02
326.173
304.421
340.733
265.298
274.713
314.246
261.395
248.127
316.323
304.475
322.52
265.71
317.782
313.16
307.904
319.457
292.669
343.74
331.044
346.637
280.712
248.699
272.799
293.444
269.765
294.249
299.51
274.506
286.895
293.227
294.395
326.624
282.155
303.946
280.92
282.389
302.698
294.157
287.864
291.174
318.492
304.289
283.599
280.565
298.215
295.462
295.584
298.477
295.047
291.074
288.281
316.214
262.859
254.512
330.626
300.254
316.322
264.403
281.145
289.116
286.544
291.544
283.227
324.416
288.719
289.735
285.108
277.398
328.172
321.825
328.923
317.129
377.116
250.281
278.133
285.448
311.162
283.807
294.981
285.096
302.943
310.917
303.857
275.389
294.023
299.302
267.403
338.316
247.925
237.499
293.07
349.788
240.275
250.377
363.026
281.066
314.686
322.532
293.642
265.851
318.999
318.957
308.875
288.392
276.806
306.045
338.62
351.225
304.615
279.804
311.022
328.485
259.0
340.679
279.739
280.215
261.82
269.043
306.623
283.941
304.375
282.549
292.394
274.57
282.156
308.55
337.159
315.171
277.443
297.352
282.758
313.767
275.641
278.455
285.336
290.137
300.84
301.46
304.617
302.605
295.016
254.544
235.62
231.86
254.12
271.631
274.143
315.756
314.401
297.366
290.115
295.92
303.03
287.519
291.346
277.934
288.312
271.718
289.643
240.501
308.175
306.393
308.942
279.721
296.379
290.065
315.464
268.489
323.014
322.336
261.15
255.54
331.369
296.328
305.96
298.068
312.244
266.37
267.966
280.307
324.051
294.082
279.248
298.536
305.679
280.32
304.173
276.207
259.874
284.767
294.937
295.596
295.708
333.247
273.106
330.399
324.527
327.195
276.547
289.308
332.143
290.692
279.158
275.656
298.838
296.277
280.577
296.198
300.183
305.853
310.144
261.452
293.249
302.635
295.502
267.905
321.035
317.539
295.412
308.484
292.713
286.81
290.252
285.27
288.304
290.084
307.001
316.512
283.62
277.027
308.455
315.235
267.353
240.581
323.361
309.844
309.198
278.868
277.51
271.234
296.139
280.616
299.569
302.897
318.983
283.432
288.908
304.528
283.15
277.643
290.799
320.427
325.425
331.159
274.452
309.32
304.797
326.545
310.514
293.373
294.289
290.174
300.159
298.916
263.322
253.388
320.117
322.397
309.026
336.194
300.673
293.568
299.863
312.155
259.205
295.0
267.506
257.879
246.777
280.062
318.11
310.313
282.942
307.833
298.062
288.546
270.904
287.304
229.824
261.888
326.61
261.139
281.051
303.186
279.924
284.618
272.963
311.754
282.741
297.201
299.817
354.957
266.528
270.892
259.759
291.022
311.661
318.144
301.622
313.068
302.46
315.807
327.146
324.841
281.468
267.204
246.682
271.455
310.883
310.232
306.77
305.689
267.715
331.317
