strain,overexpression,inducer_conc,carbon_source,quantity,mean_value,median_value,2.5%,97.5%,unit
wildtype,none,0,acetate,prot_per_biomass,297.84127975,297.85450000000003,293.31495,302.35855,ug/OD600/mL
wildtype,none,0,sorbitol,prot_per_biomass,298.106325,298.047,291.987875,304.30960000000005,ug/OD600/mL
wildtype,none,0,glycerol,prot_per_biomass,275.40039575000003,275.4065,270.924725,279.82507499999997,ug/OD600/mL
wildtype,none,0,glucose,prot_per_biomass,281.38021175,281.3485,274.68584999999996,288.055625,ug/OD600/mL
wildtype,none,0,glucoseCAA,prot_per_biomass,309.77078,309.79949999999997,301.334525,317.97772499999996,ug/OD600/mL
wildtype,none,0,LB,prot_per_biomass,254.4963895,254.508,249.1784,259.831075,ug/OD600/mL
wildtype,none,0,acetate,peri_per_biomass,28.927194574999998,28.875549999999997,23.523025,34.120667499999996,ug/OD600/mL
wildtype,none,0,sorbitol,peri_per_biomass,22.463258599999996,22.463250000000002,19.4892275,25.3545525,ug/OD600/mL
wildtype,none,0,glycerol,peri_per_biomass,19.8242708,19.7476,16.35057,23.725352500000003,ug/OD600/mL
wildtype,none,0,glucose,peri_per_biomass,14.955853784999999,14.95735,13.0602875,16.83361,ug/OD600/mL
wildtype,none,0,glucoseCAA,peri_per_biomass,11.276006477500001,11.2797,8.6452545,13.89797,ug/OD600/mL
wildtype,none,0,acetate,mem_per_biomass,25.981155225000002,25.9908,23.0622775,28.829915,ug/OD600/mL
wildtype,none,0,sorbitol,mem_per_biomass,21.923539624999997,21.931600000000003,17.644285,25.976865,ug/OD600/mL
wildtype,none,0,glycerol,mem_per_biomass,22.808501599999996,22.8003,19.16004,26.45088,ug/OD600/mL
wildtype,none,0,glucose,mem_per_biomass,16.47148735,16.46895,12.019255,20.7713325,ug/OD600/mL
wildtype,none,0,glucoseCAA,mem_per_biomass,18.438653300000002,18.4676,14.7428875,21.916787499999998,ug/OD600/mL
wildtype,none,0,LB,mem_per_biomass,24.76128765,24.746850000000002,21.7470025,27.8308225,ug/OD600/mL
wildtype,none,0,acetate,rna_per_biomass,60.97012134999999,60.961650000000006,58.7059425,63.3171,ug/OD600/mL
wildtype,none,0,sorbitol,rna_per_biomass,63.096222725,63.12435,58.9221375,67.220265,ug/OD600/mL
wildtype,none,0,glycerol,rna_per_biomass,76.002452175,76.00305,71.884955,80.16243250000001,ug/OD600/mL
wildtype,none,0,glucose,rna_per_biomass,82.24171894999999,82.26089999999999,78.4623725,86.083195,ug/OD600/mL
wildtype,none,0,glucoseCAA,rna_per_biomass,108.18414824999999,108.17,105.853825,110.51905000000001,ug/OD600/mL
wildtype,none,0,LB,rna_per_biomass,159.1608875,159.155,155.930825,162.425,ug/OD600/mL
wildtype,none,0,acetate,cells_per_biomass,1.4071840392500001,1.40787,1.22836725,1.5779072500000002,cells/OD600/mL
wildtype,none,0,sorbitol,cells_per_biomass,1.32299112575,1.325045,1.1240675,1.5074424999999998,cells/OD600/mL
wildtype,none,0,glycerol,cells_per_biomass,1.51692442775,1.51779,1.2510895,1.776385,cells/OD600/mL
wildtype,none,0,glucose,cells_per_biomass,0.9021838405000001,0.9028,0.803040875,0.9989302999999999,cells/OD600/mL
wildtype,none,0,glucoseCAA,cells_per_biomass,0.8093724047499999,0.808845,0.733575525,0.891000075,cells/OD600/mL
wildtype,none,0,LB,cells_per_biomass,0.5817553525000001,0.5824115,0.467417675,0.681382075,cells/OD600/mL
wildtype,none,0,acetate,growth_rate,0.372507843,0.37244200000000005,0.34825285,0.39633477500000003,hr^-1
wildtype,none,0,sorbitol,growth_rate,0.4818627895,0.4821225,0.422371775,0.53786725,hr^-1
wildtype,none,0,glycerol,growth_rate,0.658167869,0.6581815,0.6150993250000001,0.701355925,hr^-1
wildtype,none,0,glucose,growth_rate,0.8092995500000001,0.809597,0.754377275,0.863515025,hr^-1
wildtype,none,0,glucoseCAA,growth_rate,1.1961017299999999,1.196075,1.162248,1.229231,hr^-1
wildtype,none,0,LB,growth_rate,1.7865504735,1.79423,1.504845,2.0306819999999997,hr^-1
wildtype,none,0,acetate,width,0.7012285217500001,0.70108,0.6758768,0.7265294,um
wildtype,none,0,sorbitol,width,0.6585271002499998,0.6586695,0.598585425,0.7156204,um
wildtype,none,0,glycerol,width,0.70512472275,0.7114510000000001,0.55977385,0.8230341750000001,um
wildtype,none,0,glucose,width,0.770566509,0.7705685,0.7498777750000001,0.7923256,um
wildtype,none,0,glucoseCAA,width,0.82189575325,0.8214285,0.7723198,0.8745445,um
wildtype,none,0,LB,width,0.9783378372500001,0.9786645,0.950815975,1.0052815,um
wildtype,none,0,acetate,length,2.1274114424999997,2.1272650000000004,2.032766,2.2239195,um
wildtype,none,0,sorbitol,length,2.0794669125,2.0836699999999997,1.880196,2.262642,um
wildtype,none,0,glycerol,length,2.3345199675000003,2.336145,1.81484975,2.8389525,um
wildtype,none,0,glucose,length,2.6048618524999996,2.60454,2.505828,2.70792175,um
wildtype,none,0,glucoseCAA,length,2.6281291115,2.63284,2.2126242499999997,3.0359075,um
wildtype,none,0,LB,length,3.651709385,3.65164,3.2316675,4.0711847500000005,um
wildtype,none,0,acetate,volume,0.73366618525,0.7337045,0.68224125,0.7850669,fL
wildtype,none,0,sorbitol,volume,0.6377609982500001,0.6371765,0.5327698,0.745821325,fL
wildtype,none,0,glycerol,volume,0.8628326175,0.8673635,0.46164754999999996,1.2557155000000002,fL
wildtype,none,0,glucose,volume,1.1105437527500002,1.11019,1.0207884999999999,1.2018405,fL
wildtype,none,0,glucoseCAA,volume,1.2525722780000001,1.255465,1.052597,1.4556505000000002,fL
wildtype,none,0,LB,volume,2.5732323575000002,2.56989,2.2110905,2.9379340000000003,fL
wildtype,none,0,acetate,surface_area,4.6640407225,4.6661,4.4381112499999995,4.88354775,um^2
wildtype,none,0,sorbitol,surface_area,4.265200177499999,4.270245,3.82398725,4.69736025,um^2
wildtype,none,0,glycerol,surface_area,5.052275465,5.095085,3.6408247499999997,6.234184,um^2
wildtype,none,0,glucose,surface_area,6.2931608625,6.292485,5.9337785,6.659402,um^2
wildtype,none,0,glucoseCAA,surface_area,6.690790055,6.725735,5.7913334999999995,7.350536250000001,um^2
wildtype,none,0,LB,surface_area,10.9427051225,10.9732,9.63363075,12.0698775,um^2
