lower,upper,quantity,interval,idx
0.974601775,1.125574,tau,95%,1
1.004695,1.092565,tau,75%,1
1.02223,1.0738949999999998,tau,50%,1
1.035885,1.0590650000000001,tau,25%,1
1.0425755,1.051859,tau,10%,1
1.0471599999999999,1.0471599999999999,tau,median,1
0.3650339,0.435884325,C_0,95%,1
0.379326,0.420704125,C_0,75%,1
0.38775325,0.41257475,C_0,50%,1
0.3942375,0.40585575,C_0,25%,1
0.39786655,0.40257405,C_0,10%,1
0.40016799999999997,0.40016799999999997,C_0,median,1
3.76120575,4.017741,alpha,95%,1
3.81552625,3.96588125,alpha,75%,1
3.8462875000000003,3.9347950000000003,alpha,50%,1
3.86863625,3.9106537500000003,alpha,25%,1
3.880998,3.8980004999999998,alpha,10%,1
3.8889500000000004,3.8889500000000004,alpha,median,1
279.04542499999997,319.5167,rho_prot_min,95%,1
288.017875,311.60025,rho_prot_min,75%,1
292.61275,306.326,rho_prot_min,50%,1
295.98225,302.8075,rho_prot_min,25%,1
298.1742,300.8269,rho_prot_min,10%,1
299.52099999999996,299.52099999999996,rho_prot_min,median,1
-81.6512125,-45.243247499999995,rho_prot_slope,95%,1
-74.32628749999999,-52.8219,rho_prot_slope,75%,1
-70.2027,-57.364725,rho_prot_slope,50%,1
-66.94448750000001,-60.819024999999996,rho_prot_slope,25%,1
-65.06315000000001,-62.61089,rho_prot_slope,10%,1
-63.7759,-63.7759,rho_prot_slope,median,1
9.901581,10.770805,m_peri_mu,95%,1
10.0783875,10.5936125,m_peri_mu,75%,1
10.1875,10.4893,m_peri_mu,50%,1
10.2629625,10.407174999999999,m_peri_mu,25%,1
10.303955,10.3609,m_peri_mu,10%,1
10.3337,10.3337,m_peri_mu,median,1
0.0877923,0.1196431,w_sigma,95%,1
0.09327025,0.111743125,w_sigma,75%,1
0.096506775,0.10738824999999999,w_sigma,50%,1
0.0991364625,0.10419075,w_sigma,25%,1
0.10054355,0.10258735000000001,w_sigma,10%,1
0.101543,0.101543,w_sigma,median,1
0.4396857,0.5622391,ell_sigma,95%,1
0.461441625,0.5329287500000001,ell_sigma,75%,1
0.47496875,0.51664325,ell_sigma,50%,1
0.486033375,0.5053535,ell_sigma,25%,1
0.49180295,0.49962635,ell_sigma,10%,1
0.4958545,0.4958545,ell_sigma,median,1
0.26705275,0.35354050000000004,vol_sigma,95%,1
0.282701625,0.332871875,vol_sigma,75%,1
0.2921825,0.32174674999999997,vol_sigma,50%,1
0.299176,0.31332725,vol_sigma,25%,1
0.303643,0.30896945000000003,vol_sigma,10%,1
0.306361,0.306361,vol_sigma,median,1
0.00841853525,0.011937347500000002,phi_peri_sigma,95%,1
0.00904156875,0.0110113375,phi_peri_sigma,75%,1
0.0093803775,0.010574549999999999,phi_peri_sigma,50%,1
0.00966262375,0.010260137499999999,phi_peri_sigma,25%,1
0.009844706,0.010087935,phi_peri_sigma,10%,1
0.00996074,0.00996074,phi_peri_sigma,median,1
2.29769225,2.4918005,rho_mem_mu,95%,1
2.3366624999999996,2.4513225,rho_mem_mu,75%,1
2.36008,2.427895,rho_mem_mu,50%,1
2.3786325,2.4103587500000003,rho_mem_mu,25%,1
2.3884,2.400679,rho_mem_mu,10%,1
2.3944799999999997,2.3944799999999997,rho_mem_mu,median,1
