source,quantity,growth_rate_hr,median_value,2.5%,97.5%
Schmidt et al. 2016,ms_rho_mem_outer,0.42,2.81971,2.31640425,3.51812275
Schmidt et al. 2016,ms_rho_mem_outer,0.44,2.675305,2.2076689999999997,3.30981775
Schmidt et al. 2016,ms_rho_mem_outer,0.46,3.264475,2.70758375,4.00902675
Schmidt et al. 2016,ms_rho_mem_outer,0.47,2.89415,2.4073745,3.5405352500000005
Schmidt et al. 2016,ms_rho_mem_outer,0.5,2.9723699999999997,2.493688,3.607079
Schmidt et al. 2016,ms_rho_mem_outer,0.55,3.885185,3.30367725,4.64327
Schmidt et al. 2016,ms_rho_mem_outer,0.58,2.96313,2.535962,3.5055595000000004
Schmidt et al. 2016,ms_rho_mem_outer,0.63,3.52079,3.040279,4.1079324999999995
Schmidt et al. 2016,ms_rho_mem_outer,0.65,2.4638850000000003,2.13565825,2.8634012500000003
Schmidt et al. 2016,ms_rho_mem_outer,0.66,2.60798,2.2639704999999997,3.02739225
Schmidt et al. 2016,ms_rho_mem_outer,1.27,3.515125,3.0823799999999997,4.00043475
Schmidt et al. 2016,ms_rho_mem_outer,1.9,3.846115,3.119703,4.76785975
Soufi et al. 2015,ms_rho_mem_outer,0.6931471805599453,3.02637,2.6413575000000002,3.4937632499999998
