replicate,strain,carbon_source,inducer_conc,measured_SAV,phi_mem,phi_peri,phi_rib,predicted_SAV_mean,predicted_SAV_2sig_lower,predicted_SAV_2sig_upper,predicted_SAV_1sig_lower,predicted_SAV_1sig_upper
1.0,meshI,glucose,0,6.719054327181657,0.113087217531439,0.0650452934385339,0.1830980672429174,6.191465348021624,5.86168085772293,6.503780267538572,6.041864912637255,6.346398974308876
1.0,meshI,glucose,100,6.0293384598746655,0.1061178271693228,0.0669036278301894,0.1766175100008244,5.853461571519003,5.541680638841537,6.148726630248379,5.712028106194881,5.999937078791009
1.0,relA,glucose,0,6.5100766415498255,0.1159110557114803,0.0694656184459574,0.1801338059449036,6.418181082153445,6.076320721504083,6.741932180713408,6.263102658824679,6.578787984289143
1.0,relA,glucose,2,6.776163086381294,0.1429986604328286,0.0803876486311446,0.149186902470514,8.677689958198531,8.215478284713347,9.115417037096547,8.468016460422778,8.894838225603399
2.0,meshI,glucose,0,6.308364989120924,0.1201430433709546,0.0681550220801945,0.190484872722201,6.545453706037269,6.196814249481328,6.875624793574105,6.3873000753261975,6.7092454453701444
2.0,meshI,glucose,100,6.012778862078166,0.1106618160442031,0.0678086076152648,0.1850950092939901,6.038721114525591,5.717072449327758,6.343331185463157,5.89281134080999,6.1898325086497294
2.0,relA,glucose,0,6.89303929875306,0.1148241285512477,0.0677083144137677,0.1842218340539388,6.296514986831678,5.961135093886967,6.614128905478245,6.144376303904991,6.454077348089756
1.0,relA,glucose,4,7.050192966784704,0.1569452595927259,0.0925528069090125,0.1225385120425624,10.314246531284565,9.764864705830009,10.834526124923153,10.065029958953277,10.572347566772594
2.0,relA,glucose,4,7.069383768132812,0.1781868926214058,0.0900713987589123,0.1354439770108582,11.601486975071758,10.983541100594158,12.18669859578352,11.321167631423746,11.891799582239388
2.0,relA,glucose,2,7.233883840340177,0.1484162161636483,0.083695696507864,0.1609326674947163,8.869506940411995,8.39707825654976,9.316909807188098,8.655198691016025,9.0914551863304
1.0,meshI,glucoseCAA,0,6.394361744408569,0.0985306517896495,0.0360994741203059,0.1884892480319933,5.161114231762443,4.886210742746071,5.421455344133477,5.036409514423302,5.290264618409638
1.0,meshI,glucoseCAA,100,5.22922805104673,0.0886422286820406,0.0345532677611348,0.1888662329649387,4.5990565110902795,4.35409067148505,4.83104585180007,4.487932436619561,4.714142110816828
1.0,relA,glucoseCAA,0,5.575617905682313,0.0970528324162175,0.0360202331868507,0.1877503513144033,5.0839594403853825,4.813165552589101,5.34040864815794,4.961118965149394,5.211179125503689
1.0,relA,glucoseCAA,2,5.760561706025921,0.1081742734186557,0.0403541321610057,0.176130626279385,5.853982597610222,5.542173912807167,6.149273938360508,5.712536543064371,6.000471142904274
1.0,relA,glucoseCAA,4,6.689575439661565,0.1202455436705839,0.0480123670088857,0.1540596802640351,6.886361452914743,6.519563760590143,7.233728885669398,6.71997068535608,7.05868397946587
2.0,meshI,glucoseCAA,0,5.699800012980113,0.1012039254121078,0.0377376451944592,0.1825337248647881,5.374165652208941,5.087914113877908,5.645253677223357,5.244313109037544,5.508647382455752
2.0,meshI,glucoseCAA,100,5.521553368556243,0.0907529991108211,0.0360513742653924,0.1813352308097487,4.783147764820864,4.528376420885486,5.024423185943108,4.667575610588648,4.9028400164311
2.0,relA,glucoseCAA,0,6.024643093715955,0.094925835517511,0.0360166155979576,0.1878995254594025,4.963001323009379,4.698650192919733,5.2133490632666115,4.843083481755103,5.08719418350693
2.0,relA,glucoseCAA,2,5.839935638695476,0.1078654983208733,0.0416624379074133,0.1698196113982342,5.90812665372608,5.5934340199795685,6.20614917289337,5.76537235082332,6.055970085865878
2.0,relA,glucoseCAA,4,6.736020009955991,0.1255635819347857,0.0512303589262024,0.1473716627603435,7.336486463873337,6.945713147206897,7.706559467711421,7.159219612248674,7.520072802189586
