strain,carbon_source,temperature,overexpression,inducer,quantity,median_value,mean_value,2.5%,97.5%,unit
wildtype,glycerol,25,none,0,width,0.6161785,0.6162101295,0.5891329000000001,0.643015625,µm
wildtype,glycerol,30,none,0,width,0.5757140000000001,0.5722357594999999,0.469977525,0.6404966750000001,µm
wildtype,glycerol,42,none,0,width,0.524655,0.5236054537499999,0.43321587500000003,0.6091786,µm
wildtype,glucoseCAA,25,none,0,width,0.7415309999999999,0.7425449155,0.66462225,0.82634295,µm
wildtype,glucoseCAA,30,none,0,width,0.707926,0.70719536375,0.630703,0.77560675,µm
wildtype,glucoseCAA,42,none,0,width,0.6173935,0.6170304525,0.5343266,0.6950626249999999,µm
wildtype,glycerol,25,none,0,length,2.188765,2.1891221450000002,2.0145120000000003,2.36855175,µm
wildtype,glycerol,30,none,0,length,2.213985,2.21299774475,1.6420055000000002,2.8348035000000005,µm
wildtype,glycerol,42,none,0,length,2.365775,2.35347531225,1.5792907500000002,3.048659000000001,µm
wildtype,glucoseCAA,25,none,0,length,2.5955950000000003,2.5872513675,2.17175025,2.93841475,µm
wildtype,glucoseCAA,30,none,0,length,2.6293949999999997,2.6426840874999997,2.338038,3.0635317500000006,µm
wildtype,glucoseCAA,42,none,0,length,2.4303600000000003,2.4271386975000007,2.20231575,2.6326449999999997,µm
wildtype,glycerol,25,none,0,volume,0.6026885,0.601911376,0.5644518,0.6300993500000001,fL
wildtype,glycerol,30,none,0,volume,0.5391175,0.5414014567500001,0.45361335,0.6393805,fL
wildtype,glycerol,42,none,0,volume,0.5030840000000001,0.50060146525,0.34148995,0.6478347,fL
wildtype,glucoseCAA,25,none,0,volume,1.0609899999999999,1.06030149975,0.91300455,1.198501,fL
wildtype,glucoseCAA,30,none,0,volume,0.9787565,0.97818290575,0.834764525,1.11608525,fL
wildtype,glucoseCAA,42,none,0,volume,0.701494,0.70172173325,0.5810791999999999,0.821966125,fL
wildtype,glycerol,25,none,0,surface_area,4.24737,4.247288465,4.18798625,4.304244,µm^2
wildtype,glycerol,30,none,0,surface_area,4.02576,4.023990355,3.876357,4.1504414999999995,µm^2
wildtype,glycerol,42,none,0,surface_area,3.9636649999999998,3.9669425449999998,3.6218672499999998,4.32409875,µm^2
wildtype,glucoseCAA,25,none,0,surface_area,6.120215,6.1201460674999995,5.85860625,6.37078275,µm^2
wildtype,glucoseCAA,30,none,0,surface_area,5.900425,5.9022672824999995,5.629919,6.17185025,µm^2
wildtype,glucoseCAA,42,none,0,surface_area,4.78168,4.7819902425,4.5383819999999995,5.01272875,µm^2
wildtype,glycerol,25,none,0,surface_to_volume,7.297025,7.2964857825,7.193249,7.398852000000001,µm^-1
wildtype,glycerol,30,none,0,surface_to_volume,7.76418,7.7642886775,7.6020460000000005,7.9236015,µm^-1
wildtype,glycerol,42,none,0,surface_to_volume,8.51825,8.5151171925,8.152379250000001,8.881910999999999,µm^-1
wildtype,glucoseCAA,25,none,0,surface_to_volume,6.1542650000000005,6.157105079999999,5.9157255,6.40213175,µm^-1
wildtype,glucoseCAA,30,none,0,surface_to_volume,6.36113,6.3620387874999995,6.11940625,6.61656375,µm^-1
wildtype,glucoseCAA,42,none,0,surface_to_volume,7.303775,7.3047080475,7.05441225,7.554155,µm^-1
wildtype,glycerol,25,none,0,aspect_ratio,3.59194,3.5890581975000004,3.47116675,3.691891,none
wildtype,glycerol,30,none,0,aspect_ratio,3.87993,3.8737066275,3.6925820000000003,4.01406375,none
wildtype,glycerol,42,none,0,aspect_ratio,4.56902,4.5637814625,4.304095,4.7863627499999994,none
wildtype,glucoseCAA,25,none,0,aspect_ratio,3.52535,3.52205133,3.3382495,3.68160225,none
wildtype,glucoseCAA,30,none,0,aspect_ratio,3.743825,3.7399825025000006,3.595643,3.857799,none
wildtype,glucoseCAA,42,none,0,aspect_ratio,3.9733549999999997,3.9670634025,3.7815280000000002,4.12152075,none
wildtype,glycerol,25,none,0,growth_rate,0.30318049999999996,0.30302263225000003,0.278394425,0.32700060000000003,hr^-1
wildtype,glycerol,30,none,0,growth_rate,0.43677699999999997,0.436666528,0.38928592500000003,0.48403465,hr^-1
wildtype,glycerol,42,none,0,growth_rate,0.7047765,0.7049621897500001,0.6695970250000001,0.739166775,hr^-1
wildtype,glucoseCAA,25,none,0,growth_rate,0.6032985,0.60268798225,0.5747792,0.629181425,hr^-1
wildtype,glucoseCAA,30,none,0,growth_rate,0.9166810000000001,0.91652781025,0.876636075,0.9558621,hr^-1
wildtype,glucoseCAA,42,none,0,growth_rate,1.294845,1.29481311,1.2715785,1.31719,hr^-1
wildtype,glycerol,25,none,0,phiRb,0.07858105,0.078692850575,0.07219232,0.0860247775,none
wildtype,glycerol,30,none,0,phiRb,0.07142045,0.0715079566,0.05850784,0.08511908250000001,none
wildtype,glycerol,42,none,0,phiRb,0.0677406,0.06775070455,0.05718993,0.07859772250000001,none
wildtype,glucoseCAA,25,none,0,phiRb,0.1343995,0.13435176425,0.122188825,0.14618335000000002,none
wildtype,glucoseCAA,30,none,0,phiRb,0.13190249999999998,0.13175941925,0.120064875,0.142081225,none
wildtype,glucoseCAA,42,none,0,phiRb,0.112062,0.112318869,0.10523160000000001,0.121201575,none
