lower,upper,quantity,interval,idx
0.9638596,1.11743075,tau,95%,1
0.995978375,1.08747375,tau,75%,1
1.01494,1.0690675,tau,50%,1
1.02858,1.054125,tau,25%,1
1.0359955,1.0464325,tau,10%,1
1.04127,1.04127,tau,median,1
0.36806645,0.44263834999999996,C_0,95%,1
0.38178875,0.425433125,C_0,75%,1
0.39022124999999996,0.41602649999999997,C_0,50%,1
0.39708200000000005,0.408869375,C_0,25%,1
0.4008424,0.40545590000000004,C_0,10%,1
0.4030475,0.4030475,C_0,median,1
3.76846175,4.02632325,alpha,95%,1
3.81878625,3.96790125,alpha,75%,1
3.8489750000000003,3.936535,alpha,50%,1
3.8705575,3.9135975,alpha,25%,1
3.8825585,3.8997035,alpha,10%,1
3.891615,3.891615,alpha,median,1
268.85895,316.255,rho_prot_min,95%,1
278.9645,306.64675,rho_prot_min,75%,1
284.7765,300.89324999999997,rho_prot_min,50%,1
289.0435,296.72974999999997,rho_prot_min,25%,1
291.46875,294.41445,rho_prot_min,10%,1
292.89549999999997,292.89549999999997,rho_prot_min,median,1
-78.0394325,-34.63106749999999,rho_prot_slope,95%,1
-69.241925,-44.0938375,rho_prot_slope,75%,1
-64.011525,-49.241275,rho_prot_slope,50%,1
-60.137925,-53.1497625,rho_prot_slope,25%,1
-58.04286,-55.297205,rho_prot_slope,10%,1
-56.769800000000004,-56.769800000000004,rho_prot_slope,median,1
9.85042075,10.755,m_peri_mu,95%,1
10.0284,10.56775,m_peri_mu,75%,1
10.1396,10.451975000000001,m_peri_mu,50%,1
10.2232,10.3636,m_peri_mu,25%,1
10.263265,10.32107,m_peri_mu,10%,1
10.2934,10.2934,m_peri_mu,median,1
0.08760791999999999,0.119041625,w_sigma,95%,1
0.09304903749999999,0.111865,w_sigma,75%,1
0.0965984,0.10760025000000001,w_sigma,50%,1
0.09939265,0.10439875000000001,w_sigma,25%,1
0.10088,0.10287845,w_sigma,10%,1
0.101937,0.101937,w_sigma,median,1
0.438917375,0.56229955,ell_sigma,95%,1
0.46133450000000004,0.53363675,ell_sigma,75%,1
0.47525475,0.5174162499999999,ell_sigma,50%,1
0.485682,0.505945375,ell_sigma,25%,1
0.49219134999999997,0.49992355,ell_sigma,10%,1
0.49596450000000003,0.49596450000000003,ell_sigma,median,1
0.269014975,0.35493735000000004,vol_sigma,95%,1
0.282785625,0.331702125,vol_sigma,75%,1
0.29186925,0.32010225000000003,vol_sigma,50%,1
0.299205,0.31217887499999997,vol_sigma,25%,1
0.30347385,0.30832495,vol_sigma,10%,1
0.3057415,0.3057415,vol_sigma,median,1
0.00844613875,0.011869932500000001,phi_peri_sigma,95%,1
0.0090333975,0.011052525,phi_peri_sigma,75%,1
0.0094110625,0.010603075,phi_peri_sigma,50%,1
0.00971213125,0.01026605,phi_peri_sigma,25%,1
0.009875953000000002,0.01010231,phi_peri_sigma,10%,1
0.009995335,0.009995335,phi_peri_sigma,median,1
0.0222082275,0.0285170325,phi_mem_sigma,95%,1
0.023351249999999997,0.026953325,phi_mem_sigma,75%,1
0.024005075,0.0261445,phi_mem_sigma,50%,1
0.024546600000000002,0.025548275,phi_mem_sigma,25%,1
0.02483435,0.025253545000000002,phi_mem_sigma,10%,1
0.025061550000000002,0.025061550000000002,phi_mem_sigma,median,1
0.120259975,0.12882032499999999,phi_mem_mu,95%,1
0.12186875,0.127083125,phi_mem_mu,75%,1
0.122941,0.125983,phi_mem_mu,50%,1
0.123753625,0.125164,phi_mem_mu,25%,1
0.12418855,0.12471979999999999,phi_mem_mu,10%,1
0.1244675,0.1244675,phi_mem_mu,median,1
