lower,upper,quantity,interval,idx
0.47461935,0.51276765,w_min,95%,1
0.482253125,0.504886875,w_min,75%,1
0.4869,0.5001215,w_min,50%,1
0.49038675000000004,0.49659875,w_min,25%,1
0.49233354999999995,0.49469145000000003,w_min,10%,1
0.49339299999999997,0.49339299999999997,w_min,median,1
0.24345387500000001,0.27907615,w_slope,95%,1
0.250513375,0.27171724999999997,w_slope,75%,1
0.255434,0.2674975,w_slope,50%,1
0.258621125,0.264258125,w_slope,25%,1
0.26031475,0.262491,w_slope,10%,1
0.2614115,0.2614115,w_slope,median,1
3.7669942499999998,4.011424750000001,alpha,95%,1
3.81827875,3.960975,alpha,75%,1
3.848115,3.93092,alpha,50%,1
3.86970875,3.90936375,alpha,25%,1
3.882062,3.8981945000000002,alpha,10%,1
3.88957,3.88957,alpha,median,1
276.31055,323.55407499999995,rho_prot_min,95%,1
285.50075,313.031875,rho_prot_min,75%,1
290.72475,307.27524999999997,rho_prot_min,50%,1
295.036,302.937625,rho_prot_min,25%,1
297.46545,300.6409,rho_prot_min,10%,1
298.9975,298.9975,rho_prot_min,median,1
-83.59197999999999,-41.60281749999999,rho_prot_slope,95%,1
-74.284,-50.1452625,rho_prot_slope,75%,1
-69.451875,-54.8785,rho_prot_slope,50%,1
-65.7180875,-58.5663375,rho_prot_slope,25%,1
-63.522484999999996,-60.644355,rho_prot_slope,10%,1
-62.1059,-62.1059,rho_prot_slope,median,1
9.814181249999999,10.730955,m_peri_mu,95%,1
10.0042,10.54365,m_peri_mu,75%,1
10.117075,10.424624999999999,m_peri_mu,50%,1
10.1985625,10.3409125,m_peri_mu,25%,1
10.2448,10.302945,m_peri_mu,10%,1
10.27495,10.27495,m_peri_mu,median,1
0.068502235,0.083499375,w_sigma,95%,1
0.07124425,0.080361425,w_sigma,75%,1
0.073067125,0.07834125,w_sigma,50%,1
0.07442995,0.07691647500000001,w_sigma,25%,1
0.075169885,0.076189725,w_sigma,10%,1
0.07566775,0.07566775,w_sigma,median,1
0.4515294,0.5746370000000001,ell_sigma,95%,1
0.472890125,0.5445345,ell_sigma,75%,1
0.48618625,0.529158,ell_sigma,50%,1
0.497919125,0.518097625,ell_sigma,25%,1
0.5038671,0.5120753,ell_sigma,10%,1
0.5080205,0.5080205,ell_sigma,median,1
0.270116025,0.3558388,vol_sigma,95%,1
0.284042,0.33439050000000003,vol_sigma,75%,1
0.29363675,0.3238805,vol_sigma,50%,1
0.300920875,0.315321625,vol_sigma,25%,1
0.30520405,0.3105695,vol_sigma,10%,1
0.3077605,0.3077605,vol_sigma,median,1
0.0084200265,0.0120318175,phi_peri_sigma,95%,1
0.00896896375,0.0110753,phi_peri_sigma,75%,1
0.009322105,0.01058095,phi_peri_sigma,50%,1
0.009637835,0.010231612499999999,phi_peri_sigma,25%,1
0.0098201105,0.010066405,phi_peri_sigma,10%,1
0.009947425,0.009947425,phi_peri_sigma,median,1
0.0214942675,0.0304156325,phi_mem_sigma,95%,1
0.022932775,0.0281353375,phi_mem_sigma,75%,1
0.023822225,0.02693195,phi_mem_sigma,50%,1
0.0245460625,0.0260392375,phi_mem_sigma,25%,1
0.024979925,0.02560049,phi_mem_sigma,10%,1
0.025291050000000002,0.025291050000000002,phi_mem_sigma,median,1
0.11821922500000001,0.1308966,phi_mem_mu,95%,1
0.120784125,0.128049375,phi_mem_mu,75%,1
0.12229575000000001,0.12660475,phi_mem_mu,50%,1
0.123391375,0.125430125,phi_mem_mu,25%,1
0.12405165,0.12482045,phi_mem_mu,10%,1
0.1244485,0.1244485,phi_mem_mu,median,1
