lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer_conc
0.7350275,0.7350275,volume_mu,median,wildtype,acetate,none,0.0
1.379078,1.6772694999999995,volume_mu,95%,wildtype,glucose,lacZ,10.0
1.43477,1.6192825,volume_mu,75%,wildtype,glucose,lacZ,10.0
1.50593,1.5513,volume_mu,25%,wildtype,glucose,lacZ,10.0
1.52905,1.52905,volume_mu,median,wildtype,glucose,lacZ,10.0
1.3021535,1.7357099999999999,volume_mu,95%,wildtype,glucose,lacZ,20.0
1.3863287499999999,1.654715,volume_mu,75%,wildtype,glucose,lacZ,20.0
1.4918125,1.5594275,volume_mu,25%,wildtype,glucose,lacZ,20.0
1.52565,1.52565,volume_mu,median,wildtype,glucose,lacZ,20.0
1.402357,1.42349,volume_mu,95%,wildtype,glucose,lacZ,50.0
1.40759,1.41655,volume_mu,75%,wildtype,glucose,lacZ,50.0
1.41098,1.41267,volume_mu,25%,wildtype,glucose,lacZ,50.0
1.41185,1.41185,volume_mu,median,wildtype,glucose,lacZ,50.0
0.99130095,1.1219605,volume_mu,95%,wildtype,glucose,none,0.0
1.01159875,1.10125125,volume_mu,75%,wildtype,glucose,none,0.0
1.0427325,1.06750375,volume_mu,25%,wildtype,glucose,none,0.0
1.05456,1.05456,volume_mu,median,wildtype,glucose,none,0.0
1.1193525,1.3846064999999999,volume_mu,95%,wildtype,glucoseCAA,none,0.0
1.1704675,1.32906375,volume_mu,75%,wildtype,glucoseCAA,none,0.0
1.233,1.27173375,volume_mu,25%,wildtype,glucoseCAA,none,0.0
1.2529599999999999,1.2529599999999999,volume_mu,median,wildtype,glucoseCAA,none,0.0
0.56453335,0.78422235,volume_mu,95%,wildtype,glycerol,none,0.0
0.592976875,0.74273,volume_mu,75%,wildtype,glycerol,none,0.0
0.642440375,0.683297625,volume_mu,25%,wildtype,glycerol,none,0.0
0.6626755,0.6626755,volume_mu,median,wildtype,glycerol,none,0.0
0.6256019,0.7616416999999999,volume_mu,95%,wildtype,sorbitol,none,0.0
0.642360625,0.733333375,volume_mu,75%,wildtype,sorbitol,none,0.0
0.6709655,0.695267375,volume_mu,25%,wildtype,sorbitol,none,0.0
0.6828810000000001,0.6828810000000001,volume_mu,median,wildtype,sorbitol,none,0.0
0.10662965,0.13089205,peri_volume_mu,95%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.11247974999999999,0.12526974999999999,peri_volume_mu,75%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.117624625,0.120468875,peri_volume_mu,25%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.1190805,0.1190805,peri_volume_mu,median,malE-rbsB-fliC-KO,acetate,malE,10.0
0.10899995,0.11838805,peri_volume_mu,95%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.110606875,0.116574,peri_volume_mu,75%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.112831,0.114344375,peri_volume_mu,25%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.1135835,0.1135835,peri_volume_mu,median,malE-rbsB-fliC-KO,acetate,malE,50.0
0.1037129,0.12617645,peri_volume_mu,95%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.108852875,0.1212345,peri_volume_mu,75%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.113554625,0.116373,peri_volume_mu,25%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.1149985,0.1149985,peri_volume_mu,median,malE-rbsB-fliC-KO,acetate,malE,100.0
0.1047416,0.14332815,peri_volume_mu,95%,malE-rbsB-fliC-KO,acetate,none,0.0
0.1143745,0.135812625,peri_volume_mu,75%,malE-rbsB-fliC-KO,acetate,none,0.0
0.122929875,0.1277215,peri_volume_mu,25%,malE-rbsB-fliC-KO,acetate,none,0.0
0.1253555,0.1253555,peri_volume_mu,median,malE-rbsB-fliC-KO,acetate,none,0.0
0.10466220000000001,0.13954714999999998,peri_volume_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.111524875,0.130617,peri_volume_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.118657625,0.12291437499999999,peri_volume_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.1207925,0.1207925,peri_volume_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.10867170000000001,0.12742625000000002,peri_volume_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.11226662500000001,0.123719,peri_volume_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.11662362500000001,0.119384,peri_volume_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.1180255,0.1180255,peri_volume_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.11371775,0.120713,peri_volume_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.115193875,0.11941825,peri_volume_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.116801,0.117827375,peri_volume_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.117325,0.117325,peri_volume_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.12444685,0.17298945,peri_volume_mu,95%,malE-rbsB-fliC-KO,glucose,none,0.0
0.133687875,0.16300787500000002,peri_volume_mu,75%,malE-rbsB-fliC-KO,glucose,none,0.0
0.14471525000000002,0.15182175,peri_volume_mu,25%,malE-rbsB-fliC-KO,glucose,none,0.0
0.1481715,0.1481715,peri_volume_mu,median,malE-rbsB-fliC-KO,glucose,none,0.0
0.24493559999999998,0.30692519999999995,peri_volume_mu,95%,wildtype,LB,none,0.0
0.2554965,0.29646124999999995,peri_volume_mu,75%,wildtype,LB,none,0.0
0.270135875,0.28130137499999996,peri_volume_mu,25%,wildtype,LB,none,0.0
0.2756495,0.2756495,peri_volume_mu,median,wildtype,LB,none,0.0
0.107635,0.11642635,peri_volume_mu,95%,wildtype,acetate,none,0.0
0.109042375,0.1149975,peri_volume_mu,75%,wildtype,acetate,none,0.0
0.11126762500000001,0.112837,peri_volume_mu,25%,wildtype,acetate,none,0.0
0.112053,0.112053,peri_volume_mu,median,wildtype,acetate,none,0.0
0.17693135000000001,0.2009167,peri_volume_mu,95%,wildtype,glucose,lacZ,10.0
0.181788375,0.195718,peri_volume_mu,75%,wildtype,glucose,lacZ,10.0
0.187025125,0.19054712499999998,peri_volume_mu,25%,wildtype,glucose,lacZ,10.0
0.18877149999999998,0.18877149999999998,peri_volume_mu,median,wildtype,glucose,lacZ,10.0
0.16632295,0.21195919999999993,peri_volume_mu,95%,wildtype,glucose,lacZ,20.0
0.17488562500000002,0.20291325000000002,peri_volume_mu,75%,wildtype,glucose,lacZ,20.0
0.18570762500000002,0.19262775,peri_volume_mu,25%,wildtype,glucose,lacZ,20.0
0.18919350000000001,0.18919350000000001,peri_volume_mu,median,wildtype,glucose,lacZ,20.0
0.1667365,0.18477384999999996,peri_volume_mu,95%,wildtype,glucose,lacZ,50.0
0.17183337499999998,0.179044,peri_volume_mu,75%,wildtype,glucose,lacZ,50.0
0.174817,0.176094375,peri_volume_mu,25%,wildtype,glucose,lacZ,50.0
0.1754575,0.1754575,peri_volume_mu,median,wildtype,glucose,lacZ,50.0
0.13892074999999998,0.15252159999999998,peri_volume_mu,95%,wildtype,glucose,none,0.0
0.1412425,0.150312375,peri_volume_mu,75%,wildtype,glucose,none,0.0
0.144511625,0.14693,peri_volume_mu,25%,wildtype,glucose,none,0.0
0.1457405,0.1457405,peri_volume_mu,median,wildtype,glucose,none,0.0
0.14357025,0.18294034999999997,peri_volume_mu,95%,wildtype,glucoseCAA,none,0.0
0.15264875,0.17411274999999998,peri_volume_mu,75%,wildtype,glucoseCAA,none,0.0
0.16098062500000002,0.165872875,peri_volume_mu,25%,wildtype,glucoseCAA,none,0.0
0.1634215,0.1634215,peri_volume_mu,median,wildtype,glucoseCAA,none,0.0
0.09055488,0.16547444999999997,peri_volume_mu,95%,wildtype,glycerol,none,0.0
0.10357075,0.14986212499999998,peri_volume_mu,75%,wildtype,glycerol,none,0.0
0.12052225,0.132088875,peri_volume_mu,25%,wildtype,glycerol,none,0.0
0.1263125,0.1263125,peri_volume_mu,median,wildtype,glycerol,none,0.0
0.09509075,0.11198389999999998,peri_volume_mu,95%,wildtype,sorbitol,none,0.0
0.0979064,0.108861625,peri_volume_mu,75%,wildtype,sorbitol,none,0.0
0.10201062500000001,0.10488375,peri_volume_mu,25%,wildtype,sorbitol,none,0.0
0.1034385,0.1034385,peri_volume_mu,median,wildtype,sorbitol,none,0.0
4.629615,5.3355125,surface_area_mu,95%,malE-rbsB-fliC-KO,acetate,malE,10.0
4.75959625,5.19436875,surface_area_mu,75%,malE-rbsB-fliC-KO,acetate,malE,10.0
4.9293875,5.03331125,surface_area_mu,25%,malE-rbsB-fliC-KO,acetate,malE,10.0
4.98293,4.98293,surface_area_mu,median,malE-rbsB-fliC-KO,acetate,malE,10.0
4.579718499999999,4.946740999999999,surface_area_mu,95%,malE-rbsB-fliC-KO,acetate,malE,50.0
4.643752500000001,4.879375,surface_area_mu,75%,malE-rbsB-fliC-KO,acetate,malE,50.0
4.73077625,4.791615,surface_area_mu,25%,malE-rbsB-fliC-KO,acetate,malE,50.0
4.762074999999999,4.762074999999999,surface_area_mu,median,malE-rbsB-fliC-KO,acetate,malE,50.0
4.450968,5.187581499999999,surface_area_mu,95%,malE-rbsB-fliC-KO,acetate,malE,100.0
4.604345,5.03499375,surface_area_mu,75%,malE-rbsB-fliC-KO,acetate,malE,100.0
4.768535,4.8698525,surface_area_mu,25%,malE-rbsB-fliC-KO,acetate,malE,100.0
4.819335,4.819335,surface_area_mu,median,malE-rbsB-fliC-KO,acetate,malE,100.0
4.7046755,5.7937925,surface_area_mu,95%,malE-rbsB-fliC-KO,acetate,none,0.0
4.9083775,5.58185875,surface_area_mu,75%,malE-rbsB-fliC-KO,acetate,none,0.0
5.16624625,5.33708375,surface_area_mu,25%,malE-rbsB-fliC-KO,acetate,none,0.0
5.256195,5.256195,surface_area_mu,median,malE-rbsB-fliC-KO,acetate,none,0.0
4.5117835,5.5559275,surface_area_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
4.71802,5.35403125,surface_area_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
4.9688212499999995,5.11721125,surface_area_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
5.0426400000000005,5.0426400000000005,surface_area_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0
4.6005045,5.294854,surface_area_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
4.72685125,5.158921250000001,surface_area_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
4.8862175,4.9950399999999995,surface_area_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
4.938905,4.938905,surface_area_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0
4.7769895,5.0591905,surface_area_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
4.83397125,5.00389,surface_area_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
4.8985925,4.93997125,surface_area_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
4.918934999999999,4.918934999999999,surface_area_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0
5.404470000000001,6.892971,surface_area_mu,95%,malE-rbsB-fliC-KO,glucose,none,0.0
5.67980875,6.63939625,surface_area_mu,75%,malE-rbsB-fliC-KO,glucose,none,0.0
6.03952125,6.29398375,surface_area_mu,25%,malE-rbsB-fliC-KO,glucose,none,0.0
6.164664999999999,6.164664999999999,surface_area_mu,median,malE-rbsB-fliC-KO,glucose,none,0.0
10.34679,12.352015,surface_area_mu,95%,wildtype,LB,none,0.0
10.66985,12.0338,surface_area_mu,75%,wildtype,LB,none,0.0
11.1748875,11.5386375,surface_area_mu,25%,wildtype,LB,none,0.0
11.3573,11.3573,surface_area_mu,median,wildtype,LB,none,0.0
4.5231465,4.8819230000000005,surface_area_mu,95%,wildtype,acetate,none,0.0
4.5814312500000005,4.824605,surface_area_mu,75%,wildtype,acetate,none,0.0
4.66991,4.73213125,surface_area_mu,25%,wildtype,acetate,none,0.0
4.701015,4.701015,surface_area_mu,median,wildtype,acetate,none,0.0
7.420741499999999,8.249032,surface_area_mu,95%,wildtype,glucose,lacZ,10.0
7.56559,8.11037125,surface_area_mu,75%,wildtype,glucose,lacZ,10.0
7.772655,7.908388749999999,surface_area_mu,25%,wildtype,glucose,lacZ,10.0
7.840529999999999,7.840529999999999,surface_area_mu,median,wildtype,glucose,lacZ,10.0
