lower,upper,quantity,interval,width
0.0445329025,0.05280090749999999,phi_pred,95%,0.45
0.045617843750000005,0.05143776249999999,phi_pred,75%,0.45
0.04755445625,0.049207587500000004,phi_pred,25%,0.45
0.04837055,0.04837055,phi_pred,median,0.45
0.044155678819095476,0.052395390678391954,phi_pred,95%,0.4527638190954774
0.04525772449748744,0.051048334987437195,phi_pred,75%,0.4527638190954774
0.047158241708542714,0.04881405496231155,phi_pred,25%,0.4527638190954774
0.047978469095477386,0.047978469095477386,phi_pred,median,0.4527638190954774
0.04378690216080402,0.05197575816582915,phi_pred,95%,0.45552763819095476
0.04487983658919599,0.05066448285175879,phi_pred,75%,0.45552763819095476
0.046765816692839204,0.0484265716080402,phi_pred,25%,0.45552763819095476
0.04757785489949749,0.04757785489949749,phi_pred,median,0.45552763819095476
0.043387233165829146,0.051568409346733665,phi_pred,95%,0.45829145728643217
0.04448392148241205,0.050259404899497484,phi_pred,75%,0.45829145728643217
0.046368455527638186,0.04804589610552764,phi_pred,25%,0.45829145728643217
0.04719323165829146,0.04719323165829146,phi_pred,median,0.45829145728643217
0.042990409246231154,0.051172436683417075,phi_pred,95%,0.4610552763819096
0.04410333809673367,0.04985926633165828,phi_pred,75%,0.4610552763819096
0.04598954820979899,0.04765859359296482,phi_pred,25%,0.4610552763819096
0.04681586683417086,0.04681586683417086,phi_pred,median,0.4610552763819096
0.04258720577889446,0.05077964324120603,phi_pred,95%,0.4638190954773869
0.043720698618090456,0.04944444227386934,phi_pred,75%,0.4638190954773869
0.045600108291457296,0.047263348241206024,phi_pred,25%,0.4638190954773869
0.04643694597989951,0.04643694597989951,phi_pred,median,0.4638190954773869
0.04217415782663317,0.05039606144472362,phi_pred,95%,0.4665829145728643
0.04333107832914572,0.049043223586683414,phi_pred,75%,0.4665829145728643
0.045224881846733664,0.04687194576005025,phi_pred,25%,0.4665829145728643
0.04605547185929648,0.04605547185929648,phi_pred,median,0.4665829145728643
0.04179734467336683,0.049997140402010046,phi_pred,95%,0.46934673366834173
0.04293818630653266,0.0486496010678392,phi_pred,75%,0.46934673366834173
0.04484039409547738,0.046471266582914575,phi_pred,25%,0.46934673366834173
0.04566568542713568,0.04566568542713568,phi_pred,median,0.46934673366834173
0.04139375909547739,0.049618421507537674,phi_pred,95%,0.4721105527638191
0.0425409057160804,0.048263993247487445,phi_pred,75%,0.4721105527638191
0.04445564952889448,0.046092280778894476,phi_pred,25%,0.4721105527638191
0.04528408417085427,0.04528408417085427,phi_pred,median,0.4721105527638191
0.04097675638190955,0.049227650000000005,phi_pred,95%,0.4748743718592965
0.04216230904522612,0.04787845854271357,phi_pred,75%,0.4748743718592965
0.04407300753768843,0.045714448680904525,phi_pred,25%,0.4748743718592965
0.04490159798994975,0.04490159798994975,phi_pred,median,0.4748743718592965
0.0405674287562814,0.048837658329145724,phi_pred,95%,0.4776381909547739
0.04176170499371859,0.04748592974246231,phi_pred,75%,0.4776381909547739
0.04368615725502512,0.045335518498743725,phi_pred,25%,0.4776381909547739
0.04452719698492462,0.04452719698492462,phi_pred,median,0.4776381909547739
0.0401687682160804,0.04846004738693467,phi_pred,95%,0.4804020100502513
0.041361224246231156,0.047110750628140706,phi_pred,75%,0.4804020100502513
0.04329885552763818,0.04495255609296482,phi_pred,25%,0.4804020100502513
0.04414284170854271,0.04414284170854271,phi_pred,median,0.4804020100502513
0.03973998325376884,0.04807680427135679,phi_pred,95%,0.48316582914572864
0.040952860301507535,0.04672880288944724,phi_pred,75%,0.48316582914572864
0.042915907663316585,0.04456456397613066,phi_pred,25%,0.48316582914572864
0.04375535603015075,0.04375535603015075,phi_pred,median,0.48316582914572864
0.03931517645728644,0.04770072987437185,phi_pred,95%,0.48592964824120605
0.04054773674623115,0.04635013668341708,phi_pred,75%,0.48592964824120605
0.04252932236180905,0.044182311746231155,phi_pred,25%,0.48592964824120605
0.043370310301507536,0.043370310301507536,phi_pred,median,0.48592964824120605
0.03890954471105527,0.04732115081658291,phi_pred,95%,0.48869346733668345
0.040138820037688434,0.045972179177135676,phi_pred,75%,0.48869346733668345
0.04215577047738693,0.043807362123115576,phi_pred,25%,0.48869346733668345
0.042978891331658296,0.042978891331658296,phi_pred,median,0.48869346733668345
0.03849452708542713,0.046951059949748734,phi_pred,95%,0.4914572864321608
0.03973387110552763,0.04560138266331658,phi_pred,75%,0.4914572864321608
0.04177112148241206,0.043440745603015085,phi_pred,25%,0.4914572864321608
0.042597945226130654,0.042597945226130654,phi_pred,median,0.4914572864321608
0.03807428961055276,0.046572516206030146,phi_pred,95%,0.4942211055276382
0.039328199937185934,0.045211768059045226,phi_pred,75%,0.4942211055276382
0.041389885458542705,0.04306010769472362,phi_pred,25%,0.4942211055276382
0.0422114018844221,0.0422114018844221,phi_pred,median,0.4942211055276382
0.03762792100502511,0.046208768467336674,phi_pred,95%,0.4969849246231156
0.0389235251884422,0.044841624434673356,phi_pred,75%,0.4969849246231156
0.04099504817839196,0.04268801582914573,phi_pred,25%,0.4969849246231156
0.04182851733668341,0.04182851733668341,phi_pred,median,0.4969849246231156
0.03720182557788945,0.04582576811557789,phi_pred,95%,0.49974874371859296
0.03852120756909548,0.04445947496859297,phi_pred,75%,0.49974874371859296
0.040614017430904516,0.042305519158291456,phi_pred,25%,0.49974874371859296
0.04144166532663316,0.04144166532663316,phi_pred,median,0.49974874371859296
0.036767311708542715,0.04546673065326634,phi_pred,95%,0.5025125628140703
0.03810736796482411,0.04409093153266332,phi_pred,75%,0.5025125628140703
0.04023710113065328,0.041920637562814084,phi_pred,25%,0.5025125628140703
0.041053505025125635,0.041053505025125635,phi_pred,median,0.5025125628140703
0.036317441231155774,0.045098093040201,phi_pred,95%,0.5052763819095477
0.0376941400753769,0.04370961375628141,phi_pred,75%,0.5052763819095477
0.03986215389447237,0.041541706721105534,phi_pred,25%,0.5052763819095477
0.0406731290201005,0.0406731290201005,phi_pred,median,0.5052763819095477
0.03586984542713567,0.04472291165829145,phi_pred,95%,0.5080402010050251
0.03728779717336684,0.043329059547738705,phi_pred,75%,0.5080402010050251
0.03947883415829146,0.04117175056532663,phi_pred,25%,0.5080402010050251
0.040287359547738696,0.040287359547738696,phi_pred,median,0.5080402010050251
0.03540528639447238,0.044365119120603015,phi_pred,95%,0.5108040201005025
0.03688397528266331,0.042964326193467337,phi_pred,75%,0.5108040201005025
0.039089283040201005,0.040793830433417076,phi_pred,25%,0.5108040201005025
0.03991862763819096,0.03991862763819096,phi_pred,median,0.5108040201005025
0.03496656467336682,0.044015672964824115,phi_pred,95%,0.5135678391959799
0.036462659798994976,0.042599096356783925,phi_pred,75%,0.5135678391959799
0.03870812525125628,0.04041370678391959,phi_pred,25%,0.5135678391959799
0.03954506582914572,0.03954506582914572,phi_pred,median,0.5135678391959799
0.03451329641959798,0.04364790257537687,phi_pred,95%,0.5163316582914573
0.036049768530150746,0.04224269064070352,phi_pred,75%,0.5163316582914573
0.03832582050879397,0.04003894739321607,phi_pred,25%,0.5163316582914573
0.03915532763819095,0.03915532763819095,phi_pred,median,0.5163316582914573
0.03405819203517588,0.04331136095477384,phi_pred,95%,0.5190954773869347
0.03564222971105527,0.04186596727386934,phi_pred,75%,0.5190954773869347
0.037940089698492455,0.03966269001256281,phi_pred,25%,0.5190954773869347
