vessel_type,cal_factor,cal_factor_err,cal_intercept
16mm tube,0.8098280627445349,0.004103354510222592,0.009842743817078864
20mm tube,0.6457947768866954,0.020242282726057485,0.00867406950442115
25mm tube,0.4884436087280135,0.0026122911462944176,0.011044208093391295
