length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,date,carbon_source,run_no,temperature_C,overexpression,inducer,inducer_conc,image,strain
1.6970091084825432,0.7370120946985592,0.002845466916564392,0.6191669982988556,3.929240944288786,6.346011585055838,0.09351728399754722,0.15103725530346968,0,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.3677806128986214,0.7541119886107928,0.0014818554148592726,0.9452819522419511,5.609539081535407,5.9342496365567,0.13417410509646088,0.14194083022344442,1,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.5471077087649032,0.7726127456269114,0.0007465660943835899,1.073414773028926,6.182427771470631,5.759588862397768,0.14810788826403487,0.1379782466064902,2,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
1.9424811711813252,0.8085604048788273,0.00155812513099316,0.8590148030550875,4.934227400442744,5.744053982415852,0.11801947735484941,0.13738934059705718,3,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.185616508032831,0.7139091649922376,0.0013035170370162346,0.7796254266187597,4.901926468416503,6.287540530426501,0.11692040621156818,0.14996997560566067,4,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
3.004693672694781,0.7923058422203474,0.005080380271783966,1.3512009442945558,7.47898967104031,5.535068416448593,0.17958480050936898,0.13290754514912498,5,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
1.3820071323505134,0.7908239030243925,0.0012102797488423745,0.5493464098185762,3.433522871425777,6.250196251504968,0.08163717787120323,0.14860782998138503,6,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
1.8519101807053522,0.82860402078592,0.0017285298299191882,0.8496888626031359,4.820774623948755,5.673576336142226,0.11532163811863871,0.13572219572860517,7,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.200597441459042,0.8132762830342197,0.0017501223890515824,1.0023331242057805,5.6224886041116005,5.609401174451554,0.13470993772991768,0.13439637429587883,8,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
1.602550100656798,0.8994892231785432,4.071442851265852e-05,0.8278144648008624,4.528532124547892,5.470467498580455,0.10836601023642622,0.13090615692792293,9,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.0751349996309485,0.8153860820200759,0.0008739053114361034,0.9416597307052779,5.315688486140316,5.645020502426082,0.12728213712848158,0.13516786688239357,10,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.1113656940271976,0.7580150321177297,0.0010796259637577206,0.838790336841075,5.027952331478037,5.994289765441921,0.12013024225289493,0.143218438478096,11,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.4191127146779476,0.7053659203654989,0.0006838569415623072,0.8534333701102006,5.360686992522271,6.281318706614514,0.1279477252061625,0.14992116512814713,12,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.0896437238543215,0.8030105958859334,0.0001725858892021881,0.9227296908898255,5.271611485270321,5.713061514457927,0.12617602350353885,0.13674213017017173,13,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
1.9370042344623297,0.8557297052375753,0.0017644682979084628,0.9499709067189818,5.207353382807977,5.48159248454585,0.12476576414940443,0.1313364054277426,14,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
1.957157857353301,0.7379947335582554,0.004590277131834071,0.7319592913769576,4.537629065768072,6.199291571573482,0.10821425675370722,0.14784190600290786,15,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.7730351501198554,0.7208549292251512,0.0017910643650247268,1.0336606419254903,6.27990566313833,6.075403675465672,0.15020285429683267,0.14531157345512996,16,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.6636477710582476,0.6792277547064142,0.0014611018369714058,0.8831180519112631,5.683843240168799,6.4361080920808975,0.13559781010516514,0.15354437587557115,17,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.6889121752100564,0.6703845170732166,0.00044710237336288033,0.8702301976145922,5.663050908163342,6.507532057249288,0.1350457589199674,0.15518394936207042,18,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
1.71493074132733,0.7161009970857022,0.0002774992111667566,0.5945557524683965,3.8580756272469188,6.489005633583528,0.09174402087184663,0.15430684253067295,19,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
2.3049120922206394,0.7402713767028932,0.0027448629349650813,0.8858289457263291,5.3603752875653115,6.0512532508972265,0.1280956282768304,0.14460537657391553,20,2020-11-20,acetate,1,37.0,rbsB,ctc,30,201120173252.tif,malE-rbsB-fliC-KO
