dataset_name,growth_rate_hr,length,width,cell_volume_fL,envelope_volume_fL,drymass_fg,total_protein_mass_fg,periplasmic_protein_mass_fg,periplasmic_protein_density_fg_fL
Li et al. 2014,0.738700370046123,2.8730243533416933,0.7640421144585182,1.1472174928698002,0.1453057447434969,573.6087464349001,401.5261225044301,20.68698031723715,142.3686334890279
Li et al. 2014,1.5693898427772346,4.519984923240923,0.9352616633126953,2.7154852928644333,0.290595488897742,1357.7426464322166,950.4198525025515,36.98803006112292,127.28356589918945
Li et al. 2014,1.934364224818452,5.873162895403924,1.0221536382831855,3.96513435515804,0.42090931872990023,1982.56717757902,1387.797024305314,27.466741268106542,65.25572147223497
Peebo et al. 2015,0.21,2.384355893999958,0.6717784346508725,0.6629510510723454,0.10468451438317028,331.4755255361727,232.03286787532087,18.343156897785388,175.22321239075592
Peebo et al. 2015,0.22,2.3912213244153184,0.6734156452764052,0.6698632861268059,0.10525746961165472,334.93164306340293,234.45215014438205,16.679100966124356,158.46002215008167
Peebo et al. 2015,0.25,2.412273658815102,0.6783512566339998,0.6910354258793472,0.10701237901592775,345.5177129396736,241.86239905777148,18.12342337879155,169.35819524294527
Peebo et al. 2015,0.26,2.419445912632213,0.6800044860738251,0.6982404816476591,0.10760962673500585,349.12024082382953,244.38416857668065,16.67051747695258,154.91659977600864
Peebo et al. 2015,0.31,2.456507024938931,0.688331267020863,0.7354083976832726,0.1106916268471011,367.7041988416363,257.3929391891454,18.491853710438054,167.0573848912795
Peebo et al. 2015,0.35,2.4876493006871794,0.6950660454093652,0.7665622589575641,0.11327726318026776,383.2811294787821,268.29679063514743,20.191975386662314,178.25267683709046
Peebo et al. 2015,0.36,2.4956499521572324,0.6967600109436751,0.7745547925076991,0.11394108220667121,387.27739625384953,271.0941773776947,15.783557554587775,138.52385152844946
Peebo et al. 2015,0.41,2.5369916350116752,0.705291966397795,0.8157849821767009,0.11736929534248275,407.8924910883505,285.52474376184534,14.540949741159121,123.89057716269605
