carbon_source,width,length
glucose,0.8525432,2.8897634
glucose,0.79756546,2.517975
glucose,0.7911607,3.3289158
glucose,0.832615,2.3446083
glucose,0.831675,2.192373
glucose,0.8236544,2.7817013
glucose,0.75672215,2.9069002
glucose,0.7484981,2.6548839
glucose,0.890928,3.526061
glucose,0.77451265,2.8758929
glucose,0.79759336,2.7503376
glucose,0.7961952,2.6558175
glucose,0.8362068,3.801001
glucose,0.8607173,3.7153616
glucose,0.813793,2.479912
glucose,0.83125424,2.9393303
glucose,0.83389014,2.6635172
glucose,0.7334683,2.814329
glucose,0.8049141,2.2062757
glucose,0.9058296,2.0739858
glucose,0.80634755,2.8549545
glucose,0.92631304,2.6008666
glucose,0.8306849,3.7967937
glucose,0.80971444,2.9154758
glucose,0.8631761,1.9219624
glucose,0.85220665,2.146565
glucose,0.7699083,2.486208
glucose,0.7156395,3.134293
glucose,0.69467837,2.4784503
glucose,0.6957678,3.773934
glucose,0.71237487,2.3316813
glucose,0.6983416,3.8030639
glucose,0.8549356,4.091672
glucose,0.79299676,2.1794279
glucose,0.7486884,3.472984
glucose,0.7929423,1.9155275
glucose,0.7526094,1.9479259
glucose,0.78695786,1.8761873
glucose,0.805978,3.015994
glucose,0.7810771,3.0218418
glucose,0.78206164,2.9825463
glucose,0.76903284,2.579237
glucose,0.79738873,4.1795306
glucose,0.80408764,2.8740373
glucose,0.8290802,1.8646158
glucose,0.6575652,1.8133471
glucose,0.7408283,3.0712378
glucose,0.6999884,1.9748836
glucose,0.7851095,3.1001413
glucose,0.8183757,2.6551821
glucose,0.8656317,2.7664127
glucose,0.8034062,4.326715
glucose,0.70241064,2.4730198
glucose,0.70333797,2.8709455
glucose,0.79867834,2.6068497
glucose,0.74873835,2.7163372
glucose,0.7788371,2.1890604
glucose,0.8237698,2.6495414
glucose,0.85204923,2.3964767
glucose,0.76103365,4.1597977
glucose,0.80917215,4.197127
glucose,0.6932275,2.3504338
glucose,0.8264349,3.6694698
glucose,0.7746114,3.3469055
glucose,0.78336185,2.5690868
glucose,0.7629065,2.4602325
glucose,0.6699311,3.4411955
glucose,0.7251212,3.2450538
glucose,0.7193565,2.252475
glucose,0.88636994,3.9185872
glucose,0.7897584,2.18297
glucose,0.8297747,2.442247
glucose,0.78178376,2.5891194
glucose,0.7899093,3.3730037
glucose,0.81808454,5.3246474
glucose,0.73947674,1.9566145
glucose,0.7358736,2.0560756
glucose,0.76907164,3.064311
glucose,0.8229387,2.4179294
glucose,0.8488237,2.699375
glucose,0.7837635,2.675812
glucose,0.8153654,2.0340574
glucose,0.79315406,2.1927302
glucose,0.7902252,2.2163906
glucose,0.8276923,2.6273398
glucose,0.66696185,2.805387
glucose,0.7598516,3.7886908
glucose,0.7470447,2.3681514
glucose,0.74564004,3.9882054
glucose,0.85279745,2.7660193
glucose,0.7863937,2.2887418
glucose,0.8438549,3.4185436
glucose,0.83360606,2.1365132
glucose,0.9001974,2.1926775
glucose,0.81096286,2.16112
glucose,0.8012759,1.9264762
glucose,0.8269922,3.906035
glucose,0.8057175,2.710814
glucose,0.8636532,1.9364095
glucose,0.85681045,2.5409565
glucose,0.80044407,2.7613952
glucose,0.75549906,2.214158
glucose,0.7670259,2.8167844
glucose,0.8643526,2.1694415
glucose,0.836205,3.4161575
glucose,0.8167223,3.0892103
glucose,0.74765915,3.2794657
glucose,0.82099175,3.235015
glucose,0.81205714,4.331348
glucose,0.85863733,3.9436588
glucose,0.7593514,2.71673
glucose,0.7596405,2.069979
glucose,0.8330093,3.9898224
glucose,0.7536155,2.1810353
glucose,0.7829014,2.4550683
glucose,0.8263343,2.1733472
glucose,0.834012,2.2227356
glucose,0.32765505,0.9285442
glucose,0.75890166,1.2182847
glycerol,0.7018409,5.0550847
glycerol,0.4962302,1.5570118
glycerol,0.6745431,4.150371
glycerol,0.58674634,2.1548986
glycerol,0.7357413,2.247278
glycerol,0.64183265,2.040193
glycerol,0.705877,2.3172488
glycerol,0.6823401,3.2073882
glycerol,0.7077656,2.4040022
glycerol,0.66605306,3.12177
glycerol,0.6764024,3.442049
glycerol,0.4017715,0.71486676
glycerol,0.7481173,2.907062
glycerol,0.7512697,2.6953816
glycerol,0.42092425,1.9676853
glycerol,0.69201154,1.8072947
glycerol,0.7170386,1.6222059
glycerol,0.6099505,2.5298965
glycerol,0.65531874,4.022579
glycerol,0.7078007,2.080865
glycerol,0.68343943,3.3055205
glycerol,0.6879378,2.3943012
glycerol,0.4977728,1.9064989
glycerol,0.7539582,2.4244044
glycerol,0.45690936,1.4255555
glycerol,0.7949097,2.276122
glycerol,0.77026117,4.530742
glycerol,0.7176841,1.8745837
glycerol,0.73694265,2.0132782
glycerol,0.55591303,2.2824802
glycerol,0.72054285,4.318627
glycerol,0.7230577,4.083843
glycerol,0.53170913,1.657076
glycerol,0.67046654,1.5321606
glycerol,0.57229024,1.9406011
glycerol,0.78728384,2.9722853
glycerol,0.7450237,3.6357806
glycerol,0.7453607,2.6441514
glycerol,0.79348564,2.7019286
glycerol,0.6287465,2.1711466
glycerol,0.70167726,4.021006
glycerol,0.48415545,2.4171152
glycerol,0.67446035,3.2981942
glycerol,0.35332605,1.1095014
glycerol,0.72917265,2.124466
glycerol,0.62969726,2.4618669
glycerol,0.6922724,4.3664513
glycerol,0.7092372,2.4913902
glycerol,0.67723966,3.233502
glycerol,0.708243,2.8464572
glycerol,0.7848244,1.9300861
glycerol,0.74782085,3.2308998
glycerol,0.73524475,5.6968784
glycerol,0.7759738,2.1959474
glycerol,0.743788,2.9862518
glycerol,0.60061395,4.089065
glycerol,0.6248741,2.8603241
glycerol,0.77118695,2.0290267
glycerol,0.71814436,2.4843497
glycerol,0.73664165,2.8529916
glycerol,0.71262527,2.8347635
glycerol,0.8057458,3.2571146
glycerol,0.7233213,1.8995829
glycerol,0.6915734,2.247506
glycerol,0.7099227,3.9127061
glycerol,0.7190894,2.6755364
glycerol,0.6571553,2.4141803
glycerol,0.62453127,2.3484764
glycerol,0.68122214,3.2897286
glycerol,0.73267657,2.0723243
glycerol,0.6367473,2.3405628
glycerol,0.73795056,1.8736758
glycerol,0.71680343,1.7978135
glycerol,0.68095374,2.2392886
glycerol,0.6835363,3.2322693
glycerol,0.6439839,2.3013852
glycerol,0.62645584,2.3234203
glycerol,0.65893334,3.0098724
glycerol,0.65853894,2.1429296
glycerol,0.6688009,1.0477817
glycerol,0.65454984,2.5287626
glycerol,0.730788,3.4191263
glycerol,0.7214094,2.3888664
glycerol,0.7121689,2.095823
glycerol,0.6647112,3.4515321
glycerol,0.6281931,2.1038785
glycerol,0.68993497,3.065058
glycerol,0.6121216,2.3054338
glycerol,0.65816456,2.2126951
glycerol,0.6592274,2.2642348
glycerol,0.57721424,2.6544132
glycerol,0.6510925,3.1368916
glycerol,0.6129893,2.832723
glycerol,0.6508335,2.488397
glycerol,0.7479795,3.5003853
glycerol,0.7945183,3.6912203
glycerol,0.6220743,2.1741514
glycerol,0.70522165,2.2952414
glycerol,0.719558,3.5116518
glycerol,0.48717478,1.9404066
glycerol,0.7198959,1.951649
glycerol,0.6716474,2.503348
glycerol,0.58705056,2.1716142
glycerol,0.6878314,2.0668635
glycerol,0.7465231,2.4003499
glycerol,0.67055863,2.4212966
glycerol,0.753523,2.5771117
glycerol,0.66000825,2.6896846
glycerol,0.73859197,2.6249342
glycerol,0.50348186,0.9879175
glycerol,0.54372454,1.8459537
