carbon_source,fg_prot_per_cell,err_fg_prot_per_cell,mean_growth_rate_hr,std_growth_rate_hr
LB,544.9160007941955,319.75073537424015,1.8178571428571428,0.24690580428672837
acetate,210.00815738225086,33.77597568389513,0.37300000000000005,0.05431641305602502
glucose,311.80611002313776,33.21557628631146,0.8399333333333333,0.12734935206456438
glucoseCAA,382.51972109172414,53.84330227389517,1.231105263157895,0.07106092435903318
glycerol,178.4590522691617,59.38162357716778,0.6702777777777778,0.05735421986173039
sorbitol,223.16863886136724,49.00071617790582,0.48200000000000004,0.054172563781555216
