od_600nm_measured,od_600nm_true
1.226,1.65
1.19,1.6335
1.01,1.3068
0.854,1.04544
0.716,0.83655
0.595,0.6699
0.493,0.5346
0.403,0.429
0.331,0.3432
0.269,0.2739
0.217,0.21945
0.175,0.1749
0.139,0.14025
0.112,0.1122
0.089,0.08976
0.072,0.071775
0.039,0.0363
0.02,0.01815
