date,strain,overexpression,inducer_conc_ng_mL,carbon_source,od_600nm,od_595nm,dilution_factor,culture_volume_mL,extraction_volume_mL,perprot_conc
2020-09-23,malE-rbsB-KO,none,0,acetate,0.30732,0.878,2,1,0.4,19.3934660939737
2020-09-29,malE-rbsB-KO,none,0,acetate,0.31824,0.835,2,1,0.4,16.025641025641
2020-11-11,malE-rbsB-KO,none,0,acetate,0.36504,0.815,2,1,0.4,12.8753013368398
2020-11-11,malE-rbsB-KO,none,0,glucose,0.3354,0.775,2,1,0.4,11.6279069767442
2020-11-20,malE-rbsB-KO,none,0,acetate,0.2106,0.853,2,3,0.4,8.64197530864198
2021-08-10,malE-rbsB-KO,none,0,acetate,0.45006,0.816,2,1,0.4,10.4874905568146
2020-09-23,malE-rbsB-fliC-KO,none,0,glucose,0.52104,0.836,2,1,0.4,9.82650084446492
2020-09-23,malE-rbsB-fliC-KO,none,0,acetate,0.25272,0.733,2,1,0.4,12.1082621082621
2020-09-29,malE-rbsB-fliC-KO,none,0,acetate,0.30264,0.813,2,1,0.4,15.3978324081417
2020-09-29,malE-rbsB-fliC-KO,none,0,glucose,0.4641,0.818,2,1,0.4,10.2564102564103
2020-11-11,malE-rbsB-fliC-KO,none,0,acetate,0.3939,0.781,2,1,0.4,10.2056359482102
2020-11-11,malE-rbsB-fliC-KO,none,0,glucose,0.4251,0.793,2,1,0.4,10.0211714890614
2020-12-01,malE-rbsB-fliC-KO,none,0,glucose,0.36114,0.854,2,1,0.4,15.1741706817301
2020-12-04,malE-rbsB-fliC-KO,none,0,acetate,0.4095,0.831,2,1,0.4,12.2588522588523
2020-12-04,malE-rbsB-fliC-KO,none,0,glucose,0.5538,0.869,2,1,0.4,10.4369808595161
2021-08-10,malE-rbsB-fliC-KO,none,0,acetate,0.35256,0.84,2,1,0.4,14.7492625368732
2020-12-04,malE-rbsB-fliC-KO,malE,10,acetate,0.36348,0.767,2,1,0.4,10.2894244525146
2020-12-04,malE-rbsB-fliC-KO,malE,30,acetate,0.40014,0.821,2,1,0.4,12.0457839756085
2020-12-04,malE-rbsB-fliC-KO,malE,50,acetate,0.37986,0.852,2,1,0.4,14.3210656557679
2020-12-04,malE-rbsB-fliC-KO,malE,100,acetate,0.34164,0.875,2,1,0.4,17.2696405573118
2020-12-04,malE-rbsB-fliC-KO,malE,50,glucose,0.64428,0.948,2,1,0.4,11.4236046439436
2021-03-01,malE-rbsB-fliC-KO,malE,10,acetate,0.30888,0.794,2,1,0.4,13.8565138565139
2021-03-01,malE-rbsB-fliC-KO,malE,30,acetate,0.28002,0.779,2,1,0.4,14.21327048068
2021-03-01,malE-rbsB-fliC-KO,malE,50,acetate,0.30498,0.857,2,1,0.4,18.1651255820054
2021-11-02,malE-rbsB-fliC-KO,malE,10,acetate,0.32136,0.776,2,1,0.4,12.1981578292258
2021-11-02,malE-rbsB-fliC-KO,malE,30,acetate,0.29874,0.784,2,1,0.4,13.6573609158466
2021-11-02,malE-rbsB-fliC-KO,malE,50,acetate,0.25038,0.801,2,1,0.4,17.6531671858775
2022-06-24,malE-rbsB-fliC-KO,malE,10,acetate,0.30888,0.794,2,1,0.4,13.8565138565139
2022-06-24,malE-rbsB-fliC-KO,malE,30,acetate,0.28002,0.779,2,1,0.4,14.21327048068
2022-06-24,malE-rbsB-fliC-KO,malE,50,acetate,0.30498,0.857,2,1,0.4,18.1651255820054
2022-07-20,malE-rbsB-fliC-KO,malE,10,acetate,0.32136,0.776,2,1,0.4,12.1981578292258
2022-07-20,malE-rbsB-fliC-KO,malE,30,acetate,0.29874,0.784,2,1,0.4,13.6573609158466
2022-07-20,malE-rbsB-fliC-KO,malE,50,acetate,0.25038,0.801,2,1,0.4,17.6531671858775
2020-09-23,malE-rbsB-fliC-KO,rbsB,100,acetate,0.12792,0.757,2,1,0.4,27.6735459662289
2020-09-29,malE-rbsB-fliC-KO,rbsB,100,acetate,0.0897,0.734,2,1,0.4,34.3366778149387
2020-11-11,malE-rbsB-fliC-KO,rbsB,0,acetate,0.3237,0.779,2,1,0.4,12.2953351869015
2020-11-11,malE-rbsB-fliC-KO,rbsB,10,acetate,0.28626,0.829,2,1,0.4,17.3967721651645
2020-11-11,malE-rbsB-fliC-KO,rbsB,30,acetate,0.27846,0.96,2,1,0.4,27.2929684694391
2020-11-11,malE-rbsB-fliC-KO,rbsB,50,acetate,0.22854,0.929,2,1,0.4,30.541699483679
2020-11-11,malE-rbsB-fliC-KO,rbsB,100,acetate,0.18564,0.845,2,1,0.4,28.549881491058
2020-11-20,malE-rbsB-fliC-KO,rbsB,10,acetate,0.07254,0.726,2,3,0.4,13.4178843856263
2020-11-20,malE-rbsB-fliC-KO,rbsB,30,acetate,0.06006,0.798,2,3,0.4,24.1980241980242
2020-12-01,malE-rbsB-fliC-KO,rbsB,0,acetate,0.22854,0.745,2,1,0.4,14.4394854292465
2020-12-01,malE-rbsB-fliC-KO,rbsB,10,acetate,0.20358,0.845,2,1,0.4,26.0339915512329
2020-12-01,malE-rbsB-fliC-KO,rbsB,30,acetate,0.1794,0.857,2,1,0.4,30.8807134894091
2020-12-01,malE-rbsB-fliC-KO,rbsB,50,acetate,0.1482,0.801,2,1,0.4,29.8245614035088
2020-12-01,malE-rbsB-fliC-KO,rbsB,100,acetate,0.14274,0.778,2,1,0.4,27.7427490542245
2020-12-04,malE-rbsB-fliC-KO,rbsB,10,acetate,0.32838,0.824,2,1,0.4,14.8608319629697
2020-12-04,malE-rbsB-fliC-KO,rbsB,30,acetate,0.31044,0.919,2,1,0.4,21.83996907615
2020-12-04,malE-rbsB-fliC-KO,rbsB,50,acetate,0.37362,1.048,2,1,0.4,25.0521920668058
2020-12-04,malE-rbsB-fliC-KO,rbsB,100,acetate,0.2925,0.98,2,1,0.4,27.3504273504274
2020-12-04,malE-rbsB-fliC-KO,rbsB,50,glucose,0.5148,1.022,2,1,0.4,17.1717171717172
2022-03-04,malE-rbsB-fliC-KO,rbsB,30,sorbitol,0.16692,0.762,2,1,0.4,21.8068535825545
2022-03-04,malE-rbsB-fliC-KO,rbsB,100,sorbitol,0.23244,0.814,2,1,0.4,20.1342281879195
2021-08-10,wildtype,lacZ,50,acetate,0.15444,0.676,2,1,0.4,12.4320124320124
2021-08-10,wildtype,lacZ,10,glucose,0.15054,0.617,2,1,0.4,4.91563703998938
2021-08-10,wildtype,lacZ,20,glucose,0.1872,0.628,2,1,0.4,5.12820512820513
2021-08-10,wildtype,lacZ,50,glucose,0.06396,0.613,2,1,0.4,10.3189493433396
