protein_conc_ug_ml,od_595nm,replicate,protein_standard
0,0.58,1,BSA
1,0.622,1,BSA
2,0.681,1,BSA
4,0.751,1,BSA
6,0.823,1,BSA
8,0.98,1,BSA
10,1.06,1,BSA
0,0.59,2,BSA
2,0.694,2,BSA
4,0.811,2,BSA
6,0.862,2,BSA
8,0.944,2,BSA
10,1.058,2,BSA
12,1.137,2,BSA
15,1.212,2,BSA
20,1.365,2,BSA
0,0.572,1,lysozyme
4,0.8,1,lysozyme
6,0.888,1,lysozyme
8,1,1,lysozyme
10,1.056,1,lysozyme
15,1.25,1,lysozyme
20,1.6,1,lysozyme
