growth_rate_hr,width_um,length_um,surface_area_um2,volume_um3,surface_to_volume,phiRb_model
0.30,0.89,1.73,4.85,0.90,5.41,0.145
0.40,0.92,2.09,6.03,1.18,5.10,0.175
0.43,0.92,1.98,5.75,1.12,5.13,0.183
0.46,0.96,2.29,6.89,1.42,4.85,0.195
0.47,1.02,2.26,7.22,1.56,4.63,0.182
0.48,1.07,2.71,9.11,2.12,4.30,0.200
0.20,0.88,1.74,4.83,0.89,5.45,0.124
0.30,0.88,1.94,5.38,1.01,5.35,0.145
0.43,0.98,2.39,7.39,1.57,4.71,0.185
