clock_time,od_600nm,strain,overexpression,inducer,carbon_source,temperature,inducer_conc,run_idx
15:35,0.026,wildtype,rbsB,none,glucose,37,0,1
16:15,0.044,wildtype,rbsB,none,glucose,37,0,1
17:11,0.098,wildtype,rbsB,none,glucose,37,0,1
17:31,0.134,wildtype,rbsB,none,glucose,37,0,1
17:53,0.179,wildtype,rbsB,none,glucose,37,0,1
18:14,0.248,wildtype,rbsB,none,glucose,37,0,1
18:44,0.396,wildtype,rbsB,none,glucose,37,0,1
15:35,0.026,wildtype,rbsB,ctc,glucose,37,1,2
16:15,0.04,wildtype,rbsB,ctc,glucose,37,1,2
17:11,0.084,wildtype,rbsB,ctc,glucose,37,1,2
17:31,0.111,wildtype,rbsB,ctc,glucose,37,1,2
17:53,0.148,wildtype,rbsB,ctc,glucose,37,1,2
18:14,0.2,wildtype,rbsB,ctc,glucose,37,1,2
18:44,0.318,wildtype,rbsB,ctc,glucose,37,1,2
15:35,0.024,wildtype,rbsB,ctc,glucose,37,3,3
16:15,0.038,wildtype,rbsB,ctc,glucose,37,3,3
17:11,0.075,wildtype,rbsB,ctc,glucose,37,3,3
17:31,0.097,wildtype,rbsB,ctc,glucose,37,3,3
17:53,0.128,wildtype,rbsB,ctc,glucose,37,3,3
18:14,0.167,wildtype,rbsB,ctc,glucose,37,3,3
18:44,0.26,wildtype,rbsB,ctc,glucose,37,3,3
19:23,0.449,wildtype,rbsB,ctc,glucose,37,3,3
15:35,0.024,wildtype,rbsB,ctc,glucose,37,6,4
16:15,0.04,wildtype,rbsB,ctc,glucose,37,6,4
17:11,0.076,wildtype,rbsB,ctc,glucose,37,6,4
17:31,0.1,wildtype,rbsB,ctc,glucose,37,6,4
17:53,0.133,wildtype,rbsB,ctc,glucose,37,6,4
18:14,0.176,wildtype,rbsB,ctc,glucose,37,6,4
18:44,0.276,wildtype,rbsB,ctc,glucose,37,6,4
19:23,0.478,wildtype,rbsB,ctc,glucose,37,6,4
15:37,0.028,wildtype,lamB,none,glucose,37,0,5
16:17,0.049,wildtype,lamB,none,glucose,37,0,5
17:13,0.111,wildtype,lamB,none,glucose,37,0,5
17:33,0.149,wildtype,lamB,none,glucose,37,0,5
17:55,0.208,wildtype,lamB,none,glucose,37,0,5
18:16,0.286,wildtype,lamB,none,glucose,37,0,5
18:46,0.451,wildtype,lamB,none,glucose,37,0,5
15:37,0.026,wildtype,lamB,ctc,glucose,37,1,6
16:17,0.043,wildtype,lamB,ctc,glucose,37,1,6
17:13,0.096,wildtype,lamB,ctc,glucose,37,1,6
17:33,0.126,wildtype,lamB,ctc,glucose,37,1,6
17:55,0.174,wildtype,lamB,ctc,glucose,37,1,6
18:16,0.238,wildtype,lamB,ctc,glucose,37,1,6
18:46,0.373,wildtype,lamB,ctc,glucose,37,1,6
15:37,0.029,wildtype,lamB,ctc,glucose,37,3,7
16:17,0.046,wildtype,lamB,ctc,glucose,37,3,7
17:13,0.101,wildtype,lamB,ctc,glucose,37,3,7
17:33,0.134,wildtype,lamB,ctc,glucose,37,3,7
17:55,0.184,wildtype,lamB,ctc,glucose,37,3,7
18:16,0.25,wildtype,lamB,ctc,glucose,37,3,7
18:46,0.389,wildtype,lamB,ctc,glucose,37,3,7
15:37,0.03,wildtype,lamB,ctc,glucose,37,6,8
16:17,0.048,wildtype,lamB,ctc,glucose,37,6,8
17:13,0.105,wildtype,lamB,ctc,glucose,37,6,8
17:33,0.137,wildtype,lamB,ctc,glucose,37,6,8
17:55,0.188,wildtype,lamB,ctc,glucose,37,6,8
18:16,0.254,wildtype,lamB,ctc,glucose,37,6,8
18:46,0.407,wildtype,lamB,ctc,glucose,37,6,8
15:39,0.103,wildtype,lacZ,none,glucose,37,0,9
