length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,date,carbon_source,temperature_C,overexpression,inducer,inducer_conc,image,strain
1.9880890853735584,0.8544238074150241,4.694197598772627e-05,0.9766139044806342,5.336531221730022,5.464320339129313,0.12789746937662594,0.1309601151384816,0,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.1764688425183305,0.8001781437526682,8.25724316690482e-05,0.9603689959235424,5.471280893035995,5.697061146559107,0.13100283948260016,0.13640885955155269,1,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.155338965188186,0.960461154774533,1.242259606373377e-05,1.329625697984906,6.503471746522866,4.891204913066214,0.15653438428069077,0.11772815802065505,2,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.9871531311472257,0.8755758159560547,0.00017687811872146075,1.6228696024516476,8.216769738278723,5.063111494519188,0.19790024275202556,0.12194463588020892,3,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.473011829890186,0.9270448148914414,0.00014801894648027128,1.4606560850924055,7.202392679507163,4.930929842428663,0.17344927122398146,0.11874750873543825,4,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.1827999744978377,0.7551395904778275,0.0007317637644676857,0.8648606778090264,5.178345852210126,5.987491378760057,0.1237554653059415,0.14309294951350357,5,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
1.8077275752804653,0.7748793512228833,6.068156304039239e-05,0.7306868098255794,4.400651162660541,6.022622967165659,0.10501079207133035,0.1437151877647788,6,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
1.8581806645969785,0.7293910157467335,0.00028712262297766236,0.6748336968720089,4.257927074274919,6.30959463644343,0.10143294159032001,0.15030805672639388,7,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.895227676102795,0.8170515032577875,0.00022635367792912955,1.3752026541837918,7.431594894503156,5.403999819149523,0.1785662790858078,0.12984724727119595,8,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
1.8551355179190443,0.767193343473295,0.000117685293570819,0.7393631829476499,4.47126426907959,6.047453230297207,0.10669812589503547,0.1443108452731682,9,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.443713366755953,0.8391527875123289,0.00036086754704705616,1.1968187161531236,6.442303467792266,5.382856551992644,0.1546771439211514,0.12924024485372576,10,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.4603626143736723,0.7069822801383215,0.00026172994777403405,0.8733307574428939,5.46458921502878,6.257181678828142,0.1304611130651796,0.14938339449668392,11,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.489560981791714,0.8248564357740655,0.00043535941041890293,1.1834329153107004,6.451356012540551,5.451391396230349,0.15484150677924213,0.1308409667975052,12,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.3749998598783373,0.7196894687828588,0.00023848418557823503,0.8685585161235109,5.369806159675116,6.182434528005386,0.12823419555128723,0.14764024895364916,13,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.4480090304919337,0.9031069824944994,0.00030217170421830585,1.3752920711159717,6.945477173682068,5.0501833898062145,0.16712247828417337,0.12151780832166285,14,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.3549144832410978,0.8591376513922728,0.00040603751902135236,1.1991632634669025,6.356056742746659,5.300409824405941,0.15265609180660444,0.1273021751560836,16,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.5429985610638686,0.6440513178907471,0.0009831655616229682,0.7585295853209159,5.145368226803321,6.783345470468944,0.12244189771306535,0.1614200686203467,17,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.4584089017121293,0.7067200278272228,0.00030804943344017456,0.8719508694317137,5.458224462514863,6.259784414312486,0.13030634528938045,0.14944230214978335,18,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.267782608067453,0.811661195797332,9.953392838702523e-05,1.0333972106643616,5.782638942007682,5.595756290352358,0.13858494962753942,0.13410617737050443,19,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.1531525739680064,0.7459146185584576,0.000364428824005846,0.8322472560440356,5.045611369991099,6.062635032255519,0.12051342897528727,0.14480483786528783,20,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.6353895115614603,0.8773878702671616,0.0006166800118307996,1.4165498746300056,7.264175230606055,5.128075869904273,0.1747725083518208,0.12337900096702936,21,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
2.543015760382642,0.9110661442889914,0.0003424700879391389,1.4598466021366603,7.278616418279291,4.9858775624960625,0.17524878634354835,0.12004602818340691,22,2020-11-11_,glycerol,37.0,none,none,0,201111141722.tif,wildtype
3.9978127859011163,0.5927087953678702,0.0018976577710911795,1.048537613662736,7.444125687851112,7.099531376702265,0.17715512399581523,0.1689544768708674,0,2020-11-11_,glycerol,37.0,none,none,0,201111141521.tif,wildtype
2.6155111970944622,0.7792532617045165,0.00013697066374834615,1.1235132601381226,6.403023342428416,5.699107940783219,0.1534754289798913,0.1366031309332507,1,2020-11-11_,glycerol,37.0,none,none,0,201111141521.tif,wildtype
