growth_rate_hr,protein_fg_per_cell,RNA_fg_per_cell,DNA_fg_per_cell,drymass_per_cell
0.181,136,23,7.6,166.6
0.693,214,44,9.5,267.5
1.040,295,76,12.0,383
1.386,387,128,14.7,529.7
1.733,431,280,17.2,728.2
2.079,426,214,29.4,669.4
