strain,carbon_source,replicate,ug_rna_per_biomass,ug_protein_per_biomass,growth_rate_hr
wildtype,glycerol,1,74.4497084548105,334.26778801228136,0.6530573951223618
wildtype,glycerol,2,86.11809214970951,352.9251869513705,0.6530573951223618
wildtype,glycerol,3,67.30015606034333,333.24745207192063,0.6530573951223618
wildtype,glucose,1,81.71122994652407,409.78794199640345,0.8716150360198471
wildtype,glucose,2,89.97445068983137,424.4030316133166,0.8716150360198471
wildtype,glucose,3,74.99934683213587,339.4188123920675,0.8716150360198471
wildtype,glucoseCAA,1,105.85833591091864,341.7087518008623,1.3899655928024508
wildtype,glucoseCAA,2,107.47461793309824,405.7550313056921,1.3899655928024508
wildtype,glucoseCAA,3,111.12796741115324,487.81137516191006,1.3899655928024508
wildtype,sorbitol,1,58.4755313890262,390.41558865347406,0.61389262889115
wildtype,sorbitol,2,57.13216290883165,341.4846114657316,0.61389262889115
wildtype,sorbitol,3,73.65783306291691,369.17432653629953,0.61389262889115
wildtype,acetate,1,63.32605848974247,360.5422773172273,0.3694793729696594
wildtype,acetate,2,61.43646408839778,356.4664070314328,0.3694793729696594
wildtype,acetate,3,58.096296296296295,378.0621401766776,0.3694793729696594
wildtype,LB,1,155.2737978410206,415.2900146842878,2.2708142342170285
wildtype,LB,2,165.7614115841964,394.7007471236546,2.2708142342170285
wildtype,LB,3,156.54795553043152,374.5335556647817,2.2708142342170285
