date,strain,carbon_source,run_no,technical_rep,n_events,cells_per_biomass,growth_rate_hr
2022-11-17,wildtype,glucose,1,3.5,9537.333333333334,863888888.888889,0.8716150360198471
2022-11-17,wildtype,glucoseCAA,1,3.5,10689.333333333334,738796735.1237493,1.3899655928024508
2022-11-17,wildtype,glycerol,1,3.5,10070.166666666666,1174852777.7777777,0.6530573951223618
2022-11-17,wildtype,sorbitol,1,3.5,12566.5,1081188544.7394297,0.61389262889115
2022-12-02,wildtype,LB,1,2.0,38816.66666666666,463997040.07285976,2.2708142342170285
2022-12-02,wildtype,glucose,1,2.0,96933.66666666669,958383709.9811674,0.8716150360198471
2022-12-02,wildtype,glucoseCAA,1,3.5,101550.33333333331,831990090.5118603,1.3899655928024508
2022-12-02,wildtype,glycerol,1,2.5,96178.0,2280643631.4363146,0.6530573951223618
2022-12-02,wildtype,sorbitol,1,2.5,178462.5,1544556750.74184,0.61389262889115
2022-12-15,wildtype,LB,1,2.5,5700.5,681412226.7759563,2.2708142342170285
2022-12-15,wildtype,glucoseCAA,1,2.5,12345.0,823941647.597254,1.3899655928024508
2022-12-15,wildtype,glycerol,1,2.5,12423.25,1420959967.3202617,0.6530573951223618
2022-12-15,wildtype,sorbitol,1,2.5,13999.25,1687237431.1294763,0.61389262889115
2023-01-17,wildtype,LB,1,0.5,10583.5,613688701.1265738,2.2708142342170285
2023-01-17,wildtype,LB,2,1.0,6062.333333333333,575954578.3568585,2.2708142342170285
2023-01-17,wildtype,acetate,1,1.0,11743.333333333334,1476352969.3486588,0.3694793729696594
2023-01-17,wildtype,acetate,2,1.0,18859.666666666668,1594416264.0901768,0.3694793729696594
2023-01-17,wildtype,glucose,1,1.0,12089.333333333334,885943606.9235064,0.8716150360198471
2023-01-17,wildtype,glucoseCAA,1,1.0,10917.0,844595490.7161804,1.3899655928024508
2023-01-17,wildtype,glycerol,1,1.0,15268.666666666666,1817698412.698413,0.6530573951223618
2023-01-17,wildtype,sorbitol,1,1.0,16225.0,1307262891.344383,0.61389262889115
2023-01-19,wildtype,acetate,1,1.5,9724.25,1508638076.241135,0.3694793729696594
2023-01-19,wildtype,acetate,2,1.5,8243.0,1092821969.6969695,0.3694793729696594
2023-01-19,wildtype,glycerol,1,1.5,13965.5,1023434882.7470686,0.6530573951223618
2023-01-19,wildtype,sorbitol,1,1.5,13303.75,1060180441.712204,0.61389262889115
