strain,carbon_source,date,inducer_conc,replicate,allocation,mass_frac
meshI,glucose,2024-05-23,0,1,phi_cyto,0.820816036556986
meshI,glucose,2024-05-23,0,1,phi_ext,0.0009063511031661075
meshI,glucose,2024-05-23,0,1,phi_mem,0.113087217531439
meshI,glucose,2024-05-23,0,1,phi_peri,0.06413894233536785
meshI,glucose,2024-05-23,0,2,phi_cyto,0.8103041077866019
meshI,glucose,2024-05-23,0,2,phi_ext,0.000925739428951611
meshI,glucose,2024-05-23,0,2,phi_mem,0.1201430433709546
meshI,glucose,2024-05-23,0,2,phi_peri,0.06722928265124288
meshI,glucose,2024-05-23,100,1,phi_cyto,0.8259360150887615
meshI,glucose,2024-05-23,100,1,phi_ext,0.000610401256484424
meshI,glucose,2024-05-23,100,1,phi_mem,0.1061178271693228
meshI,glucose,2024-05-23,100,1,phi_peri,0.06629322657370502
meshI,glucose,2024-05-23,100,2,phi_cyto,0.8200952209884096
meshI,glucose,2024-05-23,100,2,phi_ext,0.0008880986633108026
meshI,glucose,2024-05-23,100,2,phi_mem,0.11066181604420314
meshI,glucose,2024-05-23,100,2,phi_peri,0.06692050895195409
meshI,glucoseCAA,2024-08-27,0,1,phi_cyto,0.8627406191844836
meshI,glucoseCAA,2024-08-27,0,1,phi_ext,0.0008848671684056
meshI,glucoseCAA,2024-08-27,0,1,phi_mem,0.09853065178964959
meshI,glucoseCAA,2024-08-27,0,1,phi_peri,0.035214606951900394
meshI,glucoseCAA,2024-08-27,0,2,phi_cyto,0.858488908497863
meshI,glucoseCAA,2024-08-27,0,2,phi_ext,0.0006320796003817524
meshI,glucoseCAA,2024-08-27,0,2,phi_mem,0.1012039254121078
meshI,glucoseCAA,2024-08-27,0,2,phi_peri,0.03710556559407751
meshI,glucoseCAA,2024-08-27,100,1,phi_cyto,0.8742858089036626
meshI,glucoseCAA,2024-08-27,100,1,phi_ext,0.00016828733978918213
meshI,glucoseCAA,2024-08-27,100,1,phi_mem,0.08864222868204062
meshI,glucoseCAA,2024-08-27,100,1,phi_peri,0.03438498042134563
