strain,carbon_source,date,inducer_conc,replicate,phi_cyto,phi_ext,phi_mem,phi_peri,phi_rib
meshI,glucose,2024-05-23,0,1,0.820816036556986,0.0009063511031661075,0.113087217531439,0.06413894233536785,0.1830980672429174
meshI,glucose,2024-05-23,0,2,0.8103041077866019,0.000925739428951611,0.1201430433709546,0.06722928265124288,0.190484872722201
meshI,glucose,2024-05-23,100,1,0.8259360150887615,0.000610401256484424,0.1061178271693228,0.06629322657370502,0.17661751000082446
meshI,glucose,2024-05-23,100,2,0.8200952209884096,0.0008880986633108026,0.11066181604420314,0.06692050895195409,0.1850950092939901
meshI,glucoseCAA,2024-08-27,0,1,0.8627406191844836,0.0008848671684056,0.09853065178964959,0.035214606951900394,0.18848924803199335
meshI,glucoseCAA,2024-08-27,0,2,0.858488908497863,0.0006320796003817524,0.1012039254121078,0.03710556559407751,0.18253372486478817
meshI,glucoseCAA,2024-08-27,100,1,0.8742858089036626,0.00016828733978918213,0.08864222868204062,0.03438498042134563,0.18886623296493874
meshI,glucoseCAA,2024-08-27,100,2,0.8707738323240758,0.00027432532670309997,0.09075299911082112,0.03577704893868933,0.1813352308097487
relA,glucose,2024-05-23,0,1,0.8135694960971185,0.0007965955482736577,0.11591105571148033,0.06866902289768376,0.18013380594490366
relA,glucose,2024-05-23,0,2,0.8160691789501812,0.0008378579680876409,0.11482412855124778,0.06687045644568014,0.1842218340539388
relA,glucose,2024-05-23,2,1,0.7753744739282747,0.0007656968434899668,0.14299866043282863,0.07962195178765469,0.149186902470514
relA,glucose,2024-05-25,4,1,0.749079882680149,0.0008024063710717411,0.15694525959272598,0.09175040053794081,0.1225385120425624
relA,glucose,2024-05-25,4,2,0.7300431852765463,0.0008746388809373338,0.17818689262140583,0.08919675987797497,0.1354439770108582
relA,glucose,2024-05-26,2,2,0.7662906187946636,0.0008249843200556284,0.1484162161636483,0.08287071218780837,0.1609326674947163
relA,glucoseCAA,2024-08-27,0,1,0.8644539659813013,0.0005234966677542954,0.09705283241621755,0.03549673651909642,0.18775035131440332
relA,glucoseCAA,2024-08-27,0,2,0.8666125601416231,0.0006534831151232379,0.09492583551751109,0.0353631324828344,0.1878995254594025
relA,glucoseCAA,2024-08-27,2,1,0.8489091206460707,0.0013070646313731967,0.10817427341865578,0.03904706752963253,0.17613062627938503
relA,glucoseCAA,2024-08-27,2,2,0.8477605703515902,0.0008134428611600021,0.10786549832087336,0.04084899504625339,0.16981961139823423
relA,glucoseCAA,2024-08-27,4,1,0.8292004428933528,0.0002297825670907801,0.1202455436705839,0.047782584441795,0.15405968026403513
relA,glucoseCAA,2024-08-27,4,2,0.8207272407478546,0.000263130974398512,0.12556358193478576,0.05096722795180389,0.14737166276034352
wildtype,LB,2024-05-24,0,1,0.8488387460858463,0.00481668798044908,0.11445706862577239,0.03120149434802254,0.2864114214864838
wildtype,LB,2024-05-24,0,2,0.8705540338103629,0.0026451369367379864,0.0981260087366953,0.02744556169797923,0.322739178050412
wildtype,acetate,2024-05-25,0,1,0.7764783022728796,0.0036713917970531535,0.11043298964722544,0.10891317170578928,0.1119190303210079
wildtype,acetate,2024-05-25,0,2,0.7634605172946535,0.003943450015379423,0.11262392810356975,0.11918398958989614,0.1165653664391429
wildtype,glucose,2024-05-22,0,1,0.8184060069760208,0.0009770076988871628,0.11452439692736889,0.0650386667558162,0.17886632447142184
wildtype,glucose,2024-05-22,0,2,0.796395020044409,0.0009116272578895781,0.12793281198876488,0.07348594201907706,0.1930141022804248
wildtype,glucose+acetate,2024-05-22,0,1,0.812312697245181,0.0008701249259047807,0.12098508782273998,0.06498540029244593,0.1773643765021992
wildtype,glucose+acetate,2024-05-22,0,2,0.8004363478931049,0.0007372766569892686,0.12931590963619388,0.06836559256637578,0.1866368478773229
wildtype,glucoseCAA,2024-05-24,0,1,0.8265088619044894,0.0017212552465216042,0.1151532232350555,0.05557668441630784,0.2024358409275961
wildtype,glucoseCAA,2024-05-24,0,2,0.8267062855704475,0.001587199939761107,0.11777414645386018,0.05256100217070102,0.2146760574253641
wildtype,glycerol,2024-05-22,0,1,0.7870264204314065,0.013231600766968232,0.11559575418699303,0.08340637468632112,0.1558391572212695
wildtype,glycerol,2024-05-22,0,2,0.7876462234871167,0.010686873910784588,0.11526372200677448,0.08545231500363963,0.165689127932587
wildtype,sorbitol,2024-05-22,0,1,0.7843273506768644,0.014803834644507302,0.11268330467924825,0.08746602976433385,0.152751532811954
wildtype,sorbitol,2024-05-22,0,2,0.780256673070023,0.012610369236186473,0.11383689823414947,0.09231570107497424,0.162645337452014
