clock_time,od_600nm,strain,carbon_source,date,run_no,elapsed_time_hr
2023-01-11 12:29:00,0.043,WT,LB,2020-09-13,1,0.0
2023-01-11 12:48:00,0.098,WT,LB,2020-09-13,1,0.31666666666666665
2023-01-11 12:56:00,0.136,WT,LB,2020-09-13,1,0.45
2023-01-11 13:05:00,0.186,WT,LB,2020-09-13,1,0.6
2023-01-11 13:13:00,0.255,WT,LB,2020-09-13,1,0.7333333333333333
2023-01-11 13:25:00,0.376,WT,LB,2020-09-13,1,0.9333333333333333
2023-01-11 11:43:00,0.117,WT,LB,2021-08-04,1,0.0
2023-01-11 11:57:00,0.188,WT,LB,2021-08-04,1,0.23333333333333334
2023-01-11 12:15:00,0.35,WT,LB,2021-08-04,1,0.5333333333333334
2023-01-11 11:43:00,0.13,WT,LB,2021-08-05,1,0.0
2023-01-11 11:57:00,0.199,WT,LB,2021-08-05,1,0.23333333333333334
2023-01-11 12:15:00,0.36,WT,LB,2021-08-05,1,0.5333333333333334
2023-01-11 13:20:00,0.087,WT,LB,2022-03-14,1,0.0
2023-01-11 13:34:00,0.129,WT,LB,2022-03-14,1,0.23333333333333334
2023-01-11 13:46:00,0.187,WT,LB,2022-03-14,1,0.43333333333333335
2023-01-11 14:02:00,0.341,WT,LB,2022-03-14,1,0.7
2023-01-11 13:08:00,0.057,WT,LB,2022-03-15,1,0.0
2023-01-11 13:23:00,0.09,WT,LB,2022-03-15,1,0.25
2023-01-11 13:46:00,0.213,WT,LB,2022-03-15,1,0.6333333333333333
2023-01-11 14:02:00,0.358,WT,LB,2022-03-15,1,0.9
2023-01-11 11:44:00,0.059,WT,acetate,2020-07-30,1,1.0666666666666669
2023-01-11 12:17:00,0.072,WT,acetate,2020-07-30,1,1.6166666666666667
2023-01-11 12:49:00,0.089,WT,acetate,2020-07-30,1,2.1500000000000004
2023-01-11 13:13:00,0.101,WT,acetate,2020-07-30,1,2.55
2023-01-11 14:01:00,0.136,WT,acetate,2020-07-30,1,3.35
2023-01-11 14:29:00,0.162,WT,acetate,2020-07-30,1,3.816666666666667
2023-01-11 15:02:00,0.198,WT,acetate,2020-07-30,1,4.366666666666667
2023-01-11 15:21:00,0.222,WT,acetate,2020-07-30,1,4.683333333333334
2023-01-11 15:38:00,0.246,WT,acetate,2020-07-30,1,4.966666666666667
2023-01-11 15:58:00,0.278,WT,acetate,2020-07-30,1,5.3
2023-01-11 16:17:00,0.31,WT,acetate,2020-07-30,1,5.616666666666666
2023-01-11 16:30:00,0.33,WT,acetate,2020-07-30,1,5.833333333333333
2023-01-11 16:48:00,0.366,WT,acetate,2020-07-30,1,6.133333333333334
2023-01-11 16:57:00,0.383,WT,acetate,2020-07-30,1,6.283333333333333
2023-01-11 10:40:00,0.057,WT,acetate,2020-07-30,1,0.0
2023-01-11 11:44:00,0.085,WT,acetate,2020-07-30,1,1.0666666666666669
2023-01-11 12:17:00,0.099,WT,acetate,2020-07-30,1,1.6166666666666667
2023-01-11 12:49:00,0.125,WT,acetate,2020-07-30,1,2.1500000000000004
2023-01-11 13:13:00,0.142,WT,acetate,2020-07-30,1,2.55
2023-01-11 14:01:00,0.187,WT,acetate,2020-07-30,1,3.35
2023-01-11 14:29:00,0.221,WT,acetate,2020-07-30,1,3.816666666666667
2023-01-11 15:02:00,0.269,WT,acetate,2020-07-30,1,4.366666666666667
2023-01-11 15:21:00,0.301,WT,acetate,2020-07-30,1,4.683333333333334
2023-01-11 15:58:00,0.378,WT,acetate,2020-07-30,1,5.3
2023-01-11 12:17:00,0.052,WT,acetate,2020-08-03,1,0.0
2023-01-11 12:45:00,0.062,WT,acetate,2020-08-03,1,0.4666666666666667
2023-01-11 14:02:00,0.095,WT,acetate,2020-08-03,1,1.75
2023-01-11 14:33:00,0.111,WT,acetate,2020-08-03,1,2.266666666666667
2023-01-11 14:49:00,0.125,WT,acetate,2020-08-03,1,2.533333333333333
2023-01-11 15:30:00,0.158,WT,acetate,2020-08-03,1,3.216666666666667
2023-01-11 16:33:00,0.229,WT,acetate,2020-08-03,1,4.2666666666666675
