length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,date,carbon_source,temperature_C,overexpression,inducer,inducer_conc,image,strain,run_no
3.7398834598456100,0.9514921080547490,0.0024775941144045400,2.4337253275192700,11.179261944233000,4.5934772580224600,0.27033550406568300,0.11107888840571800,0,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
1.2524802951817900,0.6283696315975910,4.79646517710125E-05,0.32345543674345000,2.472498077587820,7.644014589709600,0.05818486159134860,0.17988524841985600,1,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
3.5479126178569600,0.7930871923794120,0.0036330654295435100,1.6220917569931200,8.8398261538097,5.449646184132110,0.21253757049652100,0.13102684825333400,3,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
3.4294941042241600,0.9102524891817500,0.003917269846972560,2.0342917999204600,9.807127206855660,4.820904851132510,0.2367225575081630,0.11636607762830200,4,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
3.1994186531420600,0.8431794091454250,0.004971267250389250,1.6295532583050100,8.475024014829190,5.2008266508849900,0.2040034274839930,0.12518978833265500,5,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
3.4016759428029300,0.8139043626901180,0.0016026424009871200,1.628669373511370,8.697935598226200,5.340516460669770,0.20923656722863300,0.1284708674649690,6,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
3.5571851866313400,0.8581671138670820,0.00897587927380889,1.892044524214780,9.590212172485150,5.068703220113280,0.2311512301901690,0.12217007963176700,8,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
2.6097389370713200,0.898615760504274,0.009917069623121760,1.4651685544971700,7.367513990124330,5.028441244872880,0.17736466126000100,0.12105410037336700,9,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
3.0084178642099300,0.8956888723719910,0.002976026252181530,1.7074589724274300,8.465355684435410,4.957867697635240,0.2040336463062880,0.11949548984841500,10,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
2.4272574888862500,0.8133338522529800,0.0011103228368025800,1.1202263529890900,6.202040117302150,5.536416904274150,0.14875356656037200,0.1327888476855190,11,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
3.5501852167344800,0.832225348216817,0.0008229415847021160,1.7802793076399000,9.282005543884050,5.213791737089350,0.22351074542163500,0.125548134195831,12,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
2.4571011256969400,0.8360934985796050,0.007021776599241450,1.1960183942300200,6.453982002185310,5.396223029111770,0.1549488273775400,0.12955388322208400,13,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
4.428686345290040,0.9352029651997080,0.012058499496324100,2.8279871886800800,13.011599016636500,4.601010594644700,0.3148234532300490,0.11132421479497100,14,2021-12-17,glucose,37.0,none,cm,6,211217183759.tif,wildtype,7
2.9882237290660400,0.8844320874914570,0.004575215034090230,1.6547097266451000,8.302855378684020,5.017711109680820,0.20003289239956400,0.12088699859468900,0,2021-12-17,glucose,37.0,none,cm,6,211217183629.tif,wildtype,7
2.7751266585742700,0.8842728506595340,0.0055687027125908,1.5232765840958200,7.709371489334870,5.061045098327260,0.18561452294609700,0.1218521474590070,1,2021-12-17,glucose,37.0,none,cm,6,211217183629.tif,wildtype,7
3.8780739767961700,0.9220976300600460,0.0033689077321628400,2.3845039255472400,11.234218534879400,4.7113441141855800,0.2714957983088910,0.1138583985541490,2,2021-12-17,glucose,37.0,none,cm,6,211217183629.tif,wildtype,7
4.3487349161434000,0.8798556940839700,0.005883185044174030,2.4657656421816500,12.020547724431300,4.874975755520620,0.2903128293016580,0.1177373973971000,3,2021-12-17,glucose,37.0,none,cm,6,211217183629.tif,wildtype,7
3.314371543189970,0.9340370513964740,0.014673702721706700,2.0576768032398700,9.725572336280100,4.726481982479900,0.23486302748507700,0.11413990142440200,4,2021-12-17,glucose,37.0,none,cm,6,211217183629.tif,wildtype,7
