date,run_no,carbon_source,strain,overexpression,inducer,inducer_conc,temperature,width_median,length,volume,surface_area,surface_to_volume,aspect_ratio,periplasm_volume,periplasm_volume_fraction,delta,perturbation_idx,wt_carbon_idx,carbon_idx
2021-09-14,1,glucose,lpp14,none,none,0,37.0,0.986868638395656,2.621358692711496,1.759041453726612,8.116076572332675,4.690089532454967,2.6828447606046937,0.2240037133963818,0.129446471095757,0.0276,1,19,4
2022-03-30,1,glucose,lpp14,none,none,0,37.0,1.160549379877658,2.566339593125303,2.388394415709981,9.46560178415481,4.182278858475367,2.225070815673845,0.2612506092426727,0.1154308964939201,0.0276,1,19,4
2022-03-30,2,glucose,lpp14,none,none,0,37.0,1.1811359051500676,2.697784367692288,2.551366589139416,10.038742720320634,4.008472755294745,2.290360169476114,0.2770692990808495,0.1106338480461349,0.0276,1,19,4
2022-07-20,1,glucose,lpp14,none,none,0,37.0,1.051630827189523,2.4075118196961856,1.848982103725844,8.029437975364562,4.571437725493992,2.315003189436591,0.2216124881200619,0.1261716812236341,0.0276,1,19,4
2022-07-20,2,glucose,lpp14,none,none,0,37.0,1.0271045310283449,2.391860096772389,1.7657716536729846,7.796633457298714,4.678753894964056,2.3633005756974423,0.2151870834214445,0.1291336075010079,0.0276,1,19,4
2022-09-09,1,glucose,lpp14,none,none,0,37.0,1.077876169957842,2.5160950170690324,1.9928312893250155,8.533862794161832,4.405542061534342,2.3624203953985137,0.2355346131188665,0.1215929608983478,0.0275999999999999,1,19,4
2021-02-03,1,glucose,wildtype,lacZ,ctc,10,37.0,0.8799170022852216,2.989059613555388,1.6424494853287872,8.249484390067462,5.117546394040026,3.428949187280913,0.2029373159956595,0.1258916412933846,0.0246,2,19,4
2022-03-03,1,glucose,wildtype,lacZ,ctc,10,37.0,0.8640289352327201,2.8056301846261875,1.5769511547116877,7.802530590033263,5.366922004666223,3.2382849171876167,0.1919422525148182,0.132026281314789,0.0246,2,19,4
2022-03-03,2,glucose,wildtype,lacZ,ctc,10,37.0,0.7740008583932685,3.0368801881195,1.3642700205121807,7.491799124058336,5.769803475721103,3.9232537046213034,0.1842982584518351,0.1419371655027391,0.0246,2,19,4
2022-03-10,1,glucose,wildtype,lacZ,ctc,10,37.0,0.8566496325978464,2.7312483080428005,1.4143872655625582,7.343603221063203,5.28189541116762,3.2159878471147545,0.1806526392381548,0.1299346271147234,0.0246,2,19,4
2022-03-30,1,acetate,lpp14,none,none,0,37.0,0.8506460960106477,2.379509243861728,1.21473181842802,6.384703116105705,5.430202827313555,2.825658122540748,0.1762178060045174,0.1498735980338541,0.0276,3,18,1
2022-03-30,2,acetate,lpp14,none,none,0,37.0,0.8103891347399657,2.2473752111048824,1.0324359531271683,5.7291537143720666,5.719380540065512,2.807674731857059,0.158124642516669,0.1578549029058081,0.0276,3,18,1
2022-07-20,1,acetate,lpp14,none,none,0,37.0,0.8372872062975272,2.4436327361063888,1.2465828468447626,6.502499670033282,5.582125767362787,2.952342902042937,0.1794689908929186,0.1540666711792129,0.0276,3,18,1
2022-07-20,2,acetate,lpp14,none,none,0,37.0,0.8368295243379509,2.350447206215163,1.169242419685642,6.210249257141006,5.534374039661963,2.837335213842926,0.1714028794970917,0.1527487234946702,0.0276,3,18,1
2021-09-14,1,glycerol,lpp14,none,none,0,37.0,0.6767398650277757,1.970170725896577,0.6632942887883757,4.2489039093937455,6.894577803523544,2.9565474535982053,0.1172697478992673,0.1902903473772497,0.0276,4,15,3
2022-03-30,1,glycerol,lpp14,none,none,0,37.0,1.0335308560512964,2.462659300467664,1.7947953540098298,8.008393749093417,4.556702100265626,2.4004529518030613,0.2210316674749783,0.1257649779673312,0.0276,4,15,3
2022-03-30,2,glycerol,lpp14,none,none,0,37.0,1.0230578155917986,2.4604809663676086,1.7458746664918374,7.897433843607602,4.592675447617267,2.426513644250329,0.2179691740835697,0.1267578423542365,0.0276,4,15,3
2022-07-20,1,glycerol,lpp14,none,none,0,37.0,0.9180185584255895,2.7043811919934977,1.5934786833949606,7.787802649555436,4.983455216520938,2.978567661649925,0.21494335312773,0.1375433639759778,0.0276,4,15,3
2022-07-20,2,glycerol,lpp14,none,none,0,37.0,0.8992514948344831,2.5461904356456944,1.4366325146203989,7.193950062911536,5.1079249004388885,2.85811875848948,0.1985530217363584,0.1409787272521133,0.0276,4,15,3
2021-09-14,1,sorbitol,lpp14,none,none,0,37.0,0.6792317806050522,1.9230924011797244,0.6164298254254891,4.09554996609989,6.768101968542925,2.8623315825963984,0.1130371790643569,0.1867996143317847,0.0276,5,16,2
2022-03-30,1,sorbitol,lpp14,none,none,0,37.0,0.7731722013941846,1.9677836180489656,0.8088268128421826,4.783189671241286,6.079105937074523,2.5665261412116007,0.1320160349262594,0.1677833238632568,0.0276,5,16,2
2022-03-30,2,sorbitol,lpp14,none,none,0,37.0,0.7620947164283125,1.9662051023912788,0.7884154419532665,4.71450149399393,6.118366256689568,2.5972431585322675,0.1301202412342324,0.168866908684632,0.0276,5,16,2
2022-07-20,1,sorbitol,lpp14,none,none,0,37.0,0.7766629980902265,1.9260941808931888,0.7893590059840567,4.683695279617754,6.051130433746939,2.5139074025470816,0.12926998971745,0.1670111999714155,0.0275999999999999,5,16,2
2022-07-20,2,sorbitol,lpp14,none,none,0,37.0,0.7471284542178721,1.8158143011789265,0.7044904671262587,4.289942947528209,6.385099681904719,2.461323681473062,0.1184024253517785,0.1762287512205702,0.0276,5,16,2
