strain,carbon_source,overexpression,inducer,inducer_conc,temperature,run_idx,growth_rate_hr,od_init,perturbation_idx,wt_carbon_idx,carbon_idx
lpp14,glucose,none,none,0,37.0,141,0.7171606840153067,0.01448166181156,1,21,4
lpp14,glucose,none,none,0,37.0,168,0.805192304394003,0.3903658151999695,1,21,4
lpp14,glucose,none,none,0,37.0,176,0.7158624996140517,0.1596953537349735,1,21,4
wildtype,glucose,lacZ,ctc,5,37.0,69,0.8238077198796454,0.1139241095345288,2,21,4
wildtype,glucose,lacZ,ctc,5,37.0,72,0.6241661497133488,0.1797166582726193,2,21,4
wildtype,glucose,lacZ,ctc,5,37.0,213,0.6344730967181941,0.0208116746450482,2,21,4
wildtype,glucose,lacZ,ctc,20,37.0,71,0.743565697447947,0.1147398361630732,3,21,4
wildtype,glucose,lacZ,ctc,20,37.0,74,0.6298283162524739,0.0406779700664736,3,21,4
wildtype,glucose,lacZ,ctc,20,37.0,215,0.4479963995687839,0.0411700942952263,3,21,4
wildtype,glucose,lacZ,ctc,10,37.0,70,0.8324156983911238,0.1308318494308364,4,21,4
wildtype,glucose,lacZ,ctc,10,37.0,73,0.6694122514129294,0.1046607553455627,4,21,4
wildtype,glucose,lacZ,ctc,10,37.0,214,0.5189062656117012,0.0448266422242628,4,21,4
lpp14,acetate,none,none,0,37.0,137,0.3984204023257092,0.0851512589541523,5,20,1
lpp14,acetate,none,none,0,37.0,178,0.4011679908229615,0.125313093581035,5,20,1
lpp14,acetate,none,none,0,37.0,212,0.400619544436726,0.0786891409554701,5,20,1
lpp14,glycerol,none,none,0,37.0,136,0.6466544829999801,0.025936381567537,6,17,3
lpp14,glycerol,none,none,0,37.0,139,0.6538249977157251,0.0277367426202854,6,17,3
lpp14,glycerol,none,none,0,37.0,170,0.6682769837303781,0.2888406861333298,6,17,3
lpp14,glycerol,none,none,0,37.0,177,0.6771111630236248,0.1223417585588379,6,17,3
lpp14,sorbitol,none,none,0,37.0,138,0.2998694415451694,0.0860194917160298,7,18,2
lpp14,sorbitol,none,none,0,37.0,140,0.3129165143880242,0.0889261494675257,7,18,2
lpp14,sorbitol,none,none,0,37.0,171,0.403596878437826,0.223735602486779,7,18,2
lpp14,sorbitol,none,none,0,37.0,179,0.2868854496387861,0.2508623486828202,7,18,2
lpp14,sorbitol,none,none,0,37.0,191,0.4692146665535366,0.1318015651603401,7,18,2
malE-rbsB-fliC-KO,acetate,malE,ctc,10,37.0,32,0.4954411074510728,0.0831593395918531,8,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,10,37.0,40,0.395940895697859,0.0571981199516018,8,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,10,37.0,55,0.3111816826005456,0.0875772682599783,8,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,10,37.0,61,0.4954411074510728,0.0831593395918531,8,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,10,37.0,75,0.3812729512905579,0.1560127245262992,8,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,100,37.0,34,0.4626443582625633,0.0936294562100622,9,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,100,37.0,43,0.2466715913802201,0.0428321621047971,9,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,100,37.0,63,0.4626443582625633,0.0936294562100622,9,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,100,37.0,85,0.2471812013244765,0.0183617771903833,9,20,1
