date,strain,carbon_source,overexpression,temperature,inducer,inducer_conc,od_600nm,od_595nm,dilution_factor,culture_volume_mL,extraction_volume_mL,perturbation_idx,wt_carbon_idx,carbon_idx,idx
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.32994,0.775,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.41262,0.784,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.3588,0.762,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.41106,0.768,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.3159,0.73,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.39,0.74,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.3237,0.81,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.30186,0.788,2,1,0.4,14,21,4,12
2021-07-09,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.2769,0.781,2,1,0.4,14,21,4,12
2020-12-04,malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,0.37986,0.852,2,1,0.4,15,20,1,6
2021-02-03,malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,0.30498,0.857,2,1,0.4,15,20,1,6
2021-11-02,malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,0.25038,0.801,2,1,0.4,15,20,1,6
2022-06-24,malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,0.30498,0.857,2,1,0.4,15,20,1,6
2022-07-20,malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,0.25038,0.801,2,1,0.4,15,20,1,6
2021-07-09,malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,0.44226,1.015,2,1,0.4,15,20,1,6
2021-07-09,malE-rbsB-fliC-KO,acetate,malE,37,ctc,50,0.3198,0.905,2,1,0.4,15,20,1,6
2020-09-18,wildtype,glucoseCAA,none,37,none,0,0.3666,0.756,2,1,0.4,16,16,5,18
2020-10-06,wildtype,glucoseCAA,none,37,none,0,0.49608,0.83,4,2,0.4,16,16,5,18
2020-11-20,wildtype,glucoseCAA,none,37,none,0,0.6903,1.003,2,1,0.4,16,16,5,18
2021-01-24,wildtype,glucoseCAA,none,37,none,0,0.38376,0.744,2,1,0.4,16,16,5,18
2022-03-30,wildtype,glucoseCAA,none,37,none,0,0.12714,0.841,2,3,0.4,16,16,5,18
2022-03-30,wildtype,glucoseCAA,none,37,none,0,0.0624,0.614,2,1,0.4,16,16,5,18
2022-03-05,wildtype,glucoseCAA,none,37,none,0,0.39168,0.722,2,1,0.4,16,16,5,18
2022-03-06,wildtype,glucoseCAA,none,37,none,0,1.7,1.134,2,1,0.4,16,16,5,18
2022-03-11,wildtype,glucoseCAA,none,37,none,0,0.46098,0.8,2,1,0.4,16,16,5,18
2020-09-18,wildtype,glycerol,none,37,none,0,0.41496,0.875,2,1,0.4,17,17,3,19
2020-10-06,wildtype,glycerol,none,37,none,0,0.41574,0.9,4,2,0.4,17,17,3,19
2020-11-20,wildtype,glycerol,none,37,none,0,0.40014,0.907,2,1,0.4,17,17,3,19
2022-03-11,wildtype,glycerol,none,37,none,0,0.3861,0.844,2,1,0.4,17,17,3,19
2020-12-01,wildtype,sorbitol,none,37,none,0,0.3042,0.86,2,1,0.4,18,18,2,20
2022-03-30,wildtype,sorbitol,none,37,none,0,0.2106,0.76,2,1,0.4,18,18,2,20
2022-03-05,wildtype,sorbitol,none,37,none,0,0.096,0.664,2,1,0.4,18,18,2,20
2022-03-06,wildtype,sorbitol,none,37,none,0,0.128,0.81,2,2,0.4,18,18,2,20
2022-03-07,wildtype,sorbitol,none,37,none,0,0.126,0.928,2,3,0.4,18,18,2,20
2022-03-08,wildtype,sorbitol,none,37,none,0,0.10296,1.07,2,5,0.4,18,18,2,20
2022-03-11,wildtype,sorbitol,none,37,none,0,0.32448,0.862,2,1,0.4,18,18,2,20
2021-07-29,wildtype,sorbitol,none,37,none,0,0.33306,0.882,2,1,0.4,18,18,2,20
2020-09-23,wildtype,acetate,none,37,none,0,0.17706,0.826,2,1,0.4,20,20,1,13
2020-09-29,wildtype,acetate,none,37,none,0,0.21918,0.835,2,1,0.4,20,20,1,13
2020-09-18,wildtype,acetate,none,37,none,0,0.18174,0.787,2,1,0.4,20,20,1,13
2020-10-06,wildtype,acetate,none,37,none,0,0.24804,0.892,4,2,0.4,20,20,1,13
2020-11-20,wildtype,acetate,none,37,none,0,0.17394,0.808,2,1,0.4,20,20,1,13
2020-11-20,wildtype,acetate,none,37,none,0,0.1365,0.947,2,3,0.4,20,20,1,13
2021-10-08,wildtype,acetate,none,37,none,0,0.4719,1.054,2,1,0.4,20,20,1,13
2021-07-19,wildtype,acetate,none,37,none,0,0.36582,0.922,2,1,0.4,20,20,1,13
2021-07-29,wildtype,acetate,none,37,none,0,0.34086,0.841,2,1,0.52,20,20,1,13
2020-09-23,wildtype,glucose,none,37,none,0,0.38142,0.841,2,1,0.4,21,21,4,17
2020-09-29,wildtype,glucose,none,37,none,0,0.42978,0.824,2,1,0.4,21,21,4,17
2020-09-18,wildtype,glucose,none,37,none,0,0.44772,0.787,2,1,0.4,21,21,4,17
2020-10-06,wildtype,glucose,none,37,none,0,0.40014,0.8,4,2,0.4,21,21,4,17
2020-11-20,wildtype,glucose,none,37,none,0,0.41106,0.86,2,1,0.4,21,21,4,17
2020-11-20,wildtype,glucose,none,37,none,0,0.1677,0.826,2,3,0.4,21,21,4,17
2020-12-01,wildtype,glucose,none,37,none,0,0.4602,0.895,2,1,0.4,21,21,4,17
2021-01-21,wildtype,glucose,none,37,none,0,0.47346,0.845,2,1,0.4,21,21,4,17
2021-01-22,wildtype,glucose,none,37,none,0,0.4212,0.807,2,1,0.4,21,21,4,17
2021-01-23,wildtype,glucose,none,37,none,0,0.4095,0.861,2,1,0.4,21,21,4,17
2021-10-08,wildtype,glucose,none,37,none,0,0.34866,0.727,2,1,0.4,21,21,4,17
2022-03-07,wildtype,glucose,none,37,none,0,1.014,1.382,2,1,0.4,21,21,4,17
2022-03-08,wildtype,glucose,none,37,none,0,0.7293,1.018,2,1,0.4,21,21,4,17
2022-03-11,wildtype,glucose,none,37,none,0,0.32682,0.737,2,1,0.4,21,21,4,17
2021-07-16,wildtype,glucose,none,37,none,0,0.53586,0.852,2,1,0.4,21,21,4,17
2021-07-17,wildtype,glucose,none,37,none,0,0.6864,1.016,2,1,0.4,21,21,4,17
2021-07-08,wildtype,glucose,none,37,none,0,0.48048,0.876,2,1,0.4,21,21,4,17
2021-07-19,wildtype,glucose,none,37,none,0,0.35646,0.786,2,1,0.4,21,21,4,17
2021-07-29,wildtype,glucose,none,37,none,0,0.351,0.681,2,1,0.52,21,21,4,17
