date,strain,carbon_source,overexpression,temperature,inducer,inducer_conc,od_600nm,od_595nm,dilution_factor,culture_volume_mL,extraction_volume_mL,perturbation_idx,wt_carbon_idx,carbon_idx,idx
2022-04-14,lpp14,glucose,none,37,none,0,0.4797,0.828,2,1,0.4,1,21,4,2
2022-04-14,lpp14,glucose,none,37,none,0,0.28392,0.717,2,1,0.4,1,21,4,2
2022-04-01,lpp14,glucose,none,37,none,0,0.2301,0.68,2,1,0.4,1,21,4,2
2022-06-24,lpp14,glucose,none,37,none,0,0.40092,0.778,2,1,0.4,1,21,4,2
2022-07-20,lpp14,glucose,none,37,none,0,0.32292,0.749,2,1,0.4,1,21,4,2
2021-10-08,wildtype,glucose,lacZ,37,ctc,5,0.06396,0.613,2,1,0.4,2,21,4,14
2021-09-29,wildtype,glucose,lacZ,37,ctc,5,0.21762,0.662,2,1,0.4,2,21,4,14
2022-03-10,wildtype,glucose,lacZ,37,ctc,5,0.34866,0.866,2,2,0.4,2,21,4,14
2021-10-08,wildtype,glucose,lacZ,37,ctc,20,0.1872,0.628,2,1,0.4,3,21,4,16
2021-10-08,wildtype,glucose,lacZ,37,ctc,20,0.1404,0.615,2,1,0.4,3,21,4,16
2021-09-29,wildtype,glucose,lacZ,37,ctc,20,0.11076,0.624,2,1,0.4,3,21,4,16
2022-03-10,wildtype,glucose,lacZ,37,ctc,20,0.2418,0.762,2,2,0.4,3,21,4,16
2021-10-08,wildtype,glucose,lacZ,37,ctc,10,0.15054,0.617,2,1,0.4,4,21,4,15
2021-10-08,wildtype,glucose,lacZ,37,ctc,10,0.117,0.63,2,1,0.4,4,21,4,15
2021-09-29,wildtype,glucose,lacZ,37,ctc,10,0.09204,0.61,2,1,0.4,4,21,4,15
2022-03-10,wildtype,glucose,lacZ,37,ctc,10,0.38142,0.88,2,2,0.4,4,21,4,15
2022-04-14,lpp14,acetate,none,37,none,0,0.35724,0.947,2,1,0.4,5,20,1,1
2022-04-01,lpp14,acetate,none,37,none,0,0.34632,0.925,2,1,0.4,5,20,1,1
2022-06-24,lpp14,acetate,none,37,none,0,0.32136,0.897,2,1,0.4,5,20,1,1
2022-07-20,lpp14,acetate,none,37,none,0,0.25116,0.81,2,1,0.4,5,20,1,1
2022-04-14,lpp14,glycerol,none,37,none,0,0.42276,0.862,2,1,0.4,6,17,3,3
2022-04-14,lpp14,glycerol,none,37,none,0,0.32916,0.759,2,1,0.4,6,17,3,3
2022-04-01,lpp14,glycerol,none,37,none,0,0.35646,0.807,2,1,0.4,6,17,3,3
2022-06-24,lpp14,glycerol,none,37,none,0,0.30576,0.771,2,1,0.4,6,17,3,3
2022-07-20,lpp14,glycerol,none,37,none,0,0.3276,0.788,2,1,0.4,6,17,3,3
2022-04-14,lpp14,sorbitol,none,37,none,0,0.29406,0.833,2,1,0.4,7,18,2,4
2022-04-14,lpp14,sorbitol,none,37,none,0,0.24414,0.855,2,1,0.4,7,18,2,4
2022-04-01,lpp14,sorbitol,none,37,none,0,0.273,0.88,2,1,0.4,7,18,2,4
2022-06-24,lpp14,sorbitol,none,37,none,0,0.3237,0.905,2,1,0.4,7,18,2,4
2022-07-20,lpp14,sorbitol,none,37,none,0,0.4017,0.996,2,1,0.4,7,18,2,4
2020-12-04,malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,0.36348,0.767,2,1,0.4,8,20,1,5
2021-02-03,malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,0.30888,0.794,2,1,0.4,8,20,1,5
2021-11-02,malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,0.32136,0.776,2,1,0.4,8,20,1,5
2022-06-24,malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,0.30888,0.794,2,1,0.4,8,20,1,5
2022-07-20,malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,0.32136,0.776,2,1,0.4,8,20,1,5
2021-07-09,malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,0.41184,0.902,2,1,0.4,8,20,1,5
2021-07-09,malE-rbsB-fliC-KO,acetate,malE,37,ctc,10,0.31278,0.854,2,1,0.4,8,20,1,5
2020-12-04,malE-rbsB-fliC-KO,acetate,malE,37,ctc,100,0.34164,0.875,2,1,0.4,9,20,1,7
2021-07-09,malE-rbsB-fliC-KO,acetate,malE,37,ctc,100,0.4017,1.043,2,1,0.4,9,20,1,7
2021-07-09,malE-rbsB-fliC-KO,acetate,malE,37,ctc,100,0.2964,0.964,2,1,0.4,9,20,1,7
2020-09-23,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.25272,0.733,2,1,0.4,10,20,1,8
2020-09-29,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.30264,0.813,2,1,0.4,10,20,1,8
2020-11-11,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.3939,0.781,2,1,0.4,10,20,1,8
2020-11-20,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.2106,0.853,2,3,0.4,10,20,1,8
2020-12-04,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.4095,0.831,2,1,0.4,10,20,1,8
2021-10-08,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.45006,0.816,2,1,0.4,10,20,1,8
2021-10-08,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.35256,0.84,2,1,0.4,10,20,1,8
2021-07-09,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.4251,0.863,2,1,0.4,10,20,1,8
2021-07-09,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.34788,0.851,2,1,0.4,10,20,1,8
2021-07-09,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.3237,0.81,2,1,0.4,10,20,1,8
2021-07-09,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.30186,0.788,2,1,0.4,10,20,1,8
2021-07-09,malE-rbsB-fliC-KO,acetate,none,37,none,0,0.2769,0.781,2,1,0.4,10,20,1,8
2020-11-11,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,10,0.28626,0.829,2,1,0.4,11,20,1,9
2020-11-20,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,10,0.07254,0.726,2,3,0.4,11,20,1,9
2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,10,0.20358,0.845,2,1,0.4,11,20,1,9
2020-12-04,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,10,0.32838,0.824,2,1,0.4,11,20,1,9
2021-07-09,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,10,0.33852,1.049,2,1,0.4,11,20,1,9
2020-11-11,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,50,0.22854,0.929,2,1,0.4,12,20,1,10
2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,50,0.1482,0.801,2,1,0.4,12,20,1,10
2020-12-04,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,50,0.37362,1.048,2,1,0.4,12,20,1,10
2021-07-09,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,50,0.34008,1.074,2,1,0.4,12,20,1,10
2020-09-23,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,100,0.12792,0.757,2,1,0.4,13,20,1,11
2020-09-29,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,100,0.0897,0.734,2,1,0.4,13,20,1,11
2020-11-11,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,100,0.18564,0.845,2,1,0.4,13,20,1,11
2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,100,0.14274,0.778,2,1,0.4,13,20,1,11
2020-12-04,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,100,0.2925,0.98,2,1,0.4,13,20,1,11
2021-07-09,malE-rbsB-fliC-KO,acetate,rbsB,37,ctc,100,0.35334,1.144,2,1,0.4,13,20,1,11
2020-09-23,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.52104,0.836,2,1,0.4,14,21,4,12
2020-09-29,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.4641,0.818,2,1,0.4,14,21,4,12
2020-11-11,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.3354,0.775,2,1,0.4,14,21,4,12
2020-11-11,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.4251,0.793,2,1,0.4,14,21,4,12
2020-12-01,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.36114,0.854,2,1,0.4,14,21,4,12
2020-12-04,malE-rbsB-fliC-KO,glucose,none,37,none,0,0.5538,0.869,2,1,0.4,14,21,4,12
