length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,date,carbon_source,run_no,temperature_C,overexpression,inducer,inducer_conc,image,strain
2.9119934035322146,0.8369552212181752,0.0005617821167967354,1.4485935942194914,7.656715009573843,5.285619817820136,0.18412228167491973,0.12710416669633667,0,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.39126801971013,0.7507979346336218,0.003760718795076512,0.9478794355926495,5.640286928811141,5.950426517360431,0.13490319099269021,0.14232104414032754,1,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.780425248273567,0.857043645322585,0.0012955753728958038,1.4392019944421899,7.486244988795068,5.201663851012525,0.18007942109571262,0.1251244938452912,2,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.8371725187095254,0.8170183951994529,0.0006775072642931988,1.344660516723912,7.2822813200392735,5.415702498487567,0.1749474957667121,0.13010532665371077,3,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
3.4448576213293505,0.7387134637201432,0.0022127949906741843,1.370896070739267,7.994607820649352,5.831665865333026,0.19171622274658207,0.139847379271572,4,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.423658931122745,0.7986428526657485,0.0005688453306598481,1.0807736855107204,6.0809857521140875,5.62651166811164,0.14576311889255267,0.134869233815285,5,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.850742278707754,0.8378189088572626,0.003298059456517488,1.4176582260856276,7.503398069141787,5.2928117165868835,0.18040792861976307,0.12725770238564277,6,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
1.968856014958114,0.8021024068788734,0.004210656535119713,0.85976260217297,4.961278982972001,5.770521967846507,0.11865666028284627,0.13801095788878534,7,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.7420867537174876,0.7696085693642093,0.002693169466615233,1.1562514049224883,6.629808105873806,5.733881124510503,0.15891545485089587,0.13744022638532413,8,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
3.7885074270820356,0.797794128666053,0.003041312797008867,1.7608887997242215,9.495303516864803,5.392335687723094,0.22844285572189138,0.12973156269587754,9,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.204588087377081,0.7928632557831231,0.0010044983090565726,0.9579777519166238,5.491305688222419,5.732184987841291,0.13146261010303217,0.1372292935196201,10,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.0736054419678918,0.7752175618956157,0.0029846464294348,0.85676451558711,5.050095598123111,5.894379968178843,0.1207241889123305,0.14090708323698786,11,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
2.7609474316034084,0.7398972106384432,0.00258662474518297,1.0810663580652784,6.417699832870483,5.936453192712302,0.15363405328782054,0.14211343470420304,12,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
1.453648576186165,0.6480786220736817,0.0019065812416244894,0.4082567962254975,2.959627102785451,7.249425190586965,0.06992939571289675,0.17128776877549343,13,2023-07-11,glucose,1,37.0,mesh1,noind,0,230711130553.tif,wildtype
