length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,date,replicate,run_no,strain,temperature_C,carbon_source,inducer,inducer_conc,image
2.5270388768424437,0.7431451271101157,0.007319814338510184,0.9886513917563454,5.899774744221919,5.9674975359524165,0.14113882717580783,0.14275894248737547,0,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
2.4905662491481797,0.8151714673426635,0.0013568229212310484,1.158015261466104,6.37818249433819,5.50785702622183,0.15302921137739056,0.13214783644875985,1,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
2.804965540252336,0.6659864048762129,0.0013561922468648161,0.8997875570314222,5.868711582761532,6.522330228841546,0.13996804120862616,0.15555676461053597,2,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
3.220848718263917,0.9220353338319555,0.004535675563165112,1.9453626343575778,9.329701815959258,4.795867696430917,0.22517346143172,0.11574883646620447,3,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
3.038362480389675,0.7981709606147538,0.004736231080078171,1.3871480414562798,7.618779073258793,5.492405169141366,0.1830019108824752,0.13192673414320866,4,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
2.7841270671767977,0.8416580706771749,0.0010293757694189256,1.3929058550009537,7.361640707970735,5.2850956735806776,0.17698725507585755,0.12706332911188487,5,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
3.6427320891846477,0.816128227886625,0.002610310375234577,1.7632967554015992,9.339755419646155,5.296757559971226,0.22480438357841992,0.1274909528925094,6,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
2.7521365399368385,0.8011480200896293,0.000917284829901572,1.2527287404831366,6.926799435672066,5.529368978156137,0.16625857782006848,0.13271714174606383,7,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
2.5270388768424437,0.7431451271101157,0.007319814338510184,0.9886513917563454,5.899774744221919,5.9674975359524165,0.14113882717580783,0.14275894248737547,0,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
2.4905662491481797,0.8151714673426635,0.0013568229212310484,1.158015261466104,6.37818249433819,5.50785702622183,0.15302921137739056,0.13214783644875985,1,2024-05-29,1,1.0,lacZ,37.0,glucose,ctc,3,240529154422
